Location,year,Size
Salina,2003,39
Salina,2003,46
Salina,2003,46
Salina,2003,47
Salina,2003,47
Salina,2003,47
Salina,2003,48
Salina,2003,48
Salina,2003,48
Salina,2003,48
Salina,2003,48
Salina,2003,48
Salina,2003,49
Salina,2003,49
Salina,2003,49
Salina,2003,49
Salina,2003,49
Salina,2003,49
Salina,2003,49
Salina,2003,49
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,50
Salina,2003,51
Salina,2003,51
Salina,2003,51
Salina,2003,51
Salina,2003,51
Salina,2003,51
Salina,2003,51
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,52
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,53
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,54
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,55
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,56
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,57
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,58
Salina,2003,59
Salina,2003,59
Salina,2003,59
Salina,2003,59
Salina,2003,59
Salina,2003,59
Salina,2003,59
