"replicate","regime","sample_size","robust_weight","positive_definite","failed"
1,"weak",0,NA,TRUE,FALSE
2,"weak",0,NA,TRUE,FALSE
3,"weak",0,NA,TRUE,FALSE
4,"weak",0,NA,TRUE,FALSE
5,"weak",0,NA,TRUE,FALSE
6,"weak",0,NA,TRUE,FALSE
7,"weak",0,NA,TRUE,FALSE
8,"weak",0,NA,TRUE,FALSE
9,"weak",0,NA,TRUE,FALSE
10,"weak",0,NA,TRUE,FALSE
11,"weak",0,NA,TRUE,FALSE
12,"weak",0,NA,TRUE,FALSE
13,"weak",0,NA,TRUE,FALSE
14,"weak",0,NA,TRUE,FALSE
15,"weak",0,NA,TRUE,FALSE
16,"weak",0,NA,TRUE,FALSE
17,"weak",0,NA,TRUE,FALSE
18,"weak",0,NA,TRUE,FALSE
19,"weak",0,NA,TRUE,FALSE
20,"weak",0,NA,TRUE,FALSE
21,"weak",0,NA,TRUE,FALSE
22,"weak",0,NA,TRUE,FALSE
23,"weak",0,NA,TRUE,FALSE
24,"weak",0,NA,TRUE,FALSE
25,"weak",0,NA,TRUE,FALSE
26,"weak",0,NA,TRUE,FALSE
27,"weak",0,NA,TRUE,FALSE
28,"weak",0,NA,TRUE,FALSE
29,"weak",0,NA,TRUE,FALSE
30,"weak",0,NA,TRUE,FALSE
1,"correct_full_50",50,NA,TRUE,FALSE
2,"correct_full_50",50,NA,TRUE,FALSE
3,"correct_full_50",50,NA,TRUE,FALSE
4,"correct_full_50",50,NA,TRUE,FALSE
5,"correct_full_50",50,NA,TRUE,FALSE
6,"correct_full_50",50,NA,TRUE,FALSE
7,"correct_full_50",50,NA,TRUE,FALSE
8,"correct_full_50",50,NA,TRUE,FALSE
9,"correct_full_50",50,NA,TRUE,FALSE
10,"correct_full_50",50,NA,TRUE,FALSE
11,"correct_full_50",50,NA,TRUE,FALSE
12,"correct_full_50",50,NA,TRUE,FALSE
13,"correct_full_50",50,NA,TRUE,FALSE
14,"correct_full_50",50,NA,TRUE,FALSE
15,"correct_full_50",50,NA,TRUE,FALSE
16,"correct_full_50",50,NA,TRUE,FALSE
17,"correct_full_50",50,NA,TRUE,FALSE
18,"correct_full_50",50,NA,TRUE,FALSE
