"regime","sample_size","coverage","bias","rmse","mean_interval_width","median_absolute_error_ratio_to_weak","mean_robust_responsibility"
"weak",0,0.633333333333333,-0.0352343662938034,0.366316580725387,0.292384806469427,1,NA
"biased_full",50,0.533333333333333,0.0412050963178804,0.176313433463918,0.273203663449555,0.98676044071417,NA
"biased_robust",50,0.566666666666667,-0.0147906598975309,0.364468828029965,0.259079851843877,0.993844983148832,0.836810327813406
"correct_full",50,0.633333333333333,-0.00640368409148214,0.193327832819405,0.316298881800222,0.805815333907274,NA
"correct_robust",50,0.666666666666667,-0.0510204924668394,0.364792578281325,0.269403320407075,0.839885145907013,0.834629436374472
"biased_full",200,0.233333333333333,0.0558865058429793,0.156843178431248,0.224689192046628,1.14514177132489,NA
"biased_robust",200,0.433333333333333,-0.0155612875723838,0.361564202865813,0.248929530706613,1.00209725659261,0.68148927011665
"correct_full",200,0.733333333333333,-0.00812843602278808,0.123291015014101,0.21657913617178,0.466099500381317,NA
"correct_robust",200,0.633333333333333,-0.0542065666849431,0.358549743421918,0.215387279979713,0.680872222704652,0.753717827537965
"biased_full",800,0.2,0.0669045049018472,0.123045377939727,0.164663406483888,1.06678466133071,NA
"biased_robust",800,0.433333333333333,0.000523340880864193,0.361677225404572,0.212532988895642,1.03527182468052,0.7204357902631
"correct_full",800,0.8,-0.0191853934763598,0.103976447893474,0.151461012145968,0.298452356590566,NA
"correct_robust",800,0.766666666666667,-0.0558545958249126,0.3591613301151,0.183991140823609,0.408387379280712,0.737380723061895
