"task_id","scenario_id","replicate","sample_size","accuracy","borrowing","robust_responsibility","failed","error","process_model","convergence","positive_definite","condition_number","laplace_draws","parameter_coverage","derived_coverage","parameter_mean_abs_z","derived_mean_abs_z"
1,2,1,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,4483.57837858174,1000,0.9,1,0.823927634206209,0.758453518534267
2,26,2,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,4325.57907974648,1000,0.9,0.866666666666667,1.02903480581862,0.986720206998076
3,50,3,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,3331.4581993169,1000,0.8,0.733333333333333,1.63475740438487,1.25113577471632
4,74,4,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,1869.27903618717,1000,1,1,0.812463109109644,0.87575277311436
5,98,5,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,2473.98753163252,1000,0.7,0.6,1.75251090771031,1.58153487207671
6,122,6,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,2993.79076407466,1000,0.8,0.866666666666667,1.40910506850276,1.10038643893913
7,146,7,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,269441.567140866,1000,0.7,0.666666666666667,1.8154110467626,8.46765922317668
8,170,8,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,9160.17328162632,1000,1,1,0.493686784557752,0.388665212669239
9,194,9,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,6272.37978490908,1000,1,0.933333333333333,0.6990576479505,0.833527100613546
10,218,10,0,"weak","none",NA,FALSE,NA,"gamma_poisson",0,TRUE,2890.37404676636,1000,1,0.933333333333333,0.531606381084359,0.589081094174948
11,2,1,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,7654.34321177575,1000,0.9,1,0.864254188989961,0.661071704060901
12,26,2,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,5136.83905388876,1000,1,0.933333333333333,0.919378883067055,0.957425441102827
13,50,3,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3518.81708664278,1000,0.8,0.8,1.54603780311758,1.26136855676698
14,74,4,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,1735.67566666752,1000,1,1,0.946992496780494,0.990471633686713
15,98,5,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,2606.84997338299,1000,0.7,0.6,1.6510164279688,1.51830638347464
16,122,6,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3193.56195493654,1000,0.8,0.866666666666667,1.37309213899399,1.12569000359482
17,146,7,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,2067.83646166909,1000,0.5,0.6,2.55757626134125,1.4560680373943
18,170,8,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,6060.79156369042,1000,1,0.933333333333333,0.31858409684366,0.455730860693363
19,194,9,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,7266.39194489668,1000,1,0.933333333333333,0.901681950006655,1.03927342690065
20,218,10,50,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,2749.16060730052,1000,1,0.933333333333333,0.557150944409954,0.618799705256906
21,2,1,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,5994.23514101847,1000,0.9,1,0.680094709114448,0.50037196709761
22,26,2,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,5155.17340654378,1000,1,0.933333333333333,1.04511562023678,1.02366265860434
23,50,3,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3735.48769240091,1000,0.5,0.733333333333333,1.66731277137702,1.44629290152275
24,74,4,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,1947.88330881794,1000,1,1,1.03297920129078,0.992828978792399
25,98,5,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3235.00349347494,1000,0.8,0.733333333333333,1.36814211613453,1.37078216297764
26,122,6,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3495.3282562437,1000,0.8,0.733333333333333,1.4483220518725,1.27747889274241
27,146,7,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,2435.46953886781,1000,0.7,0.8,1.64456281148015,1.21222469006963
28,170,8,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,6662.08746007518,1000,1,1,0.360812406593632,0.361089081864706
29,194,9,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,6252.51702306277,1000,1,0.933333333333333,0.850055127341904,0.991244562917131
30,218,10,200,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3201.00579566994,1000,1,0.933333333333333,0.59814749937764,0.617230380005102
31,2,1,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,7258.49160681309,1000,0.9,1,0.71373182873731,0.539436330433997
32,26,2,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,7072.46663819383,1000,1,0.933333333333333,0.95246377452371,0.896215247932287
33,50,3,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3928.10544010313,1000,0.6,0.666666666666667,1.67715862651405,1.56528042583287
34,74,4,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,2334.29701730411,1000,1,1,0.85482881637501,0.910636323168956
35,98,5,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,4179.01791975274,1000,0.7,0.666666666666667,1.27371684846439,1.32866547776574
36,122,6,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3506.49791997378,1000,0.9,0.8,1.18739481065721,1.15709718160765
37,146,7,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3341.70919288077,1000,0.7,0.8,1.35488606950906,1.22022513226517
38,170,8,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,7241.29671521243,1000,1,1,0.374949904523885,0.416947318442129
39,194,9,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,5760.64662112088,1000,1,1,0.746372367355028,0.906542383769782
40,218,10,800,"correct","full",NA,FALSE,NA,"gamma_poisson",0,TRUE,3201.37230086795,1000,1,0.933333333333333,0.680211738594313,0.751546901138328
