"design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","scenario_id","sample_size","accuracy","borrowing","task_id"
"three_by_four",3,4,500,0.25,"baseline",1,2,0,"weak","none",1
"three_by_four",3,4,500,0.25,"baseline",2,26,0,"weak","none",2
"three_by_four",3,4,500,0.25,"baseline",3,50,0,"weak","none",3
"three_by_four",3,4,500,0.25,"baseline",4,74,0,"weak","none",4
"three_by_four",3,4,500,0.25,"baseline",5,98,0,"weak","none",5
"three_by_four",3,4,500,0.25,"baseline",6,122,0,"weak","none",6
"three_by_four",3,4,500,0.25,"baseline",7,146,0,"weak","none",7
"three_by_four",3,4,500,0.25,"baseline",8,170,0,"weak","none",8
"three_by_four",3,4,500,0.25,"baseline",9,194,0,"weak","none",9
"three_by_four",3,4,500,0.25,"baseline",10,218,0,"weak","none",10
"three_by_four",3,4,500,0.25,"baseline",1,2,50,"correct","full",11
"three_by_four",3,4,500,0.25,"baseline",2,26,50,"correct","full",12
"three_by_four",3,4,500,0.25,"baseline",3,50,50,"correct","full",13
"three_by_four",3,4,500,0.25,"baseline",4,74,50,"correct","full",14
"three_by_four",3,4,500,0.25,"baseline",5,98,50,"correct","full",15
"three_by_four",3,4,500,0.25,"baseline",6,122,50,"correct","full",16
"three_by_four",3,4,500,0.25,"baseline",7,146,50,"correct","full",17
"three_by_four",3,4,500,0.25,"baseline",8,170,50,"correct","full",18
"three_by_four",3,4,500,0.25,"baseline",9,194,50,"correct","full",19
"three_by_four",3,4,500,0.25,"baseline",10,218,50,"correct","full",20
"three_by_four",3,4,500,0.25,"baseline",1,2,200,"correct","full",21
"three_by_four",3,4,500,0.25,"baseline",2,26,200,"correct","full",22
"three_by_four",3,4,500,0.25,"baseline",3,50,200,"correct","full",23
"three_by_four",3,4,500,0.25,"baseline",4,74,200,"correct","full",24
"three_by_four",3,4,500,0.25,"baseline",5,98,200,"correct","full",25
"three_by_four",3,4,500,0.25,"baseline",6,122,200,"correct","full",26
"three_by_four",3,4,500,0.25,"baseline",7,146,200,"correct","full",27
"three_by_four",3,4,500,0.25,"baseline",8,170,200,"correct","full",28
"three_by_four",3,4,500,0.25,"baseline",9,194,200,"correct","full",29
"three_by_four",3,4,500,0.25,"baseline",10,218,200,"correct","full",30
"three_by_four",3,4,500,0.25,"baseline",1,2,800,"correct","full",31
"three_by_four",3,4,500,0.25,"baseline",2,26,800,"correct","full",32
"three_by_four",3,4,500,0.25,"baseline",3,50,800,"correct","full",33
"three_by_four",3,4,500,0.25,"baseline",4,74,800,"correct","full",34
"three_by_four",3,4,500,0.25,"baseline",5,98,800,"correct","full",35
"three_by_four",3,4,500,0.25,"baseline",6,122,800,"correct","full",36
"three_by_four",3,4,500,0.25,"baseline",7,146,800,"correct","full",37
"three_by_four",3,4,500,0.25,"baseline",8,170,800,"correct","full",38
"three_by_four",3,4,500,0.25,"baseline",9,194,800,"correct","full",39
"three_by_four",3,4,500,0.25,"baseline",10,218,800,"correct","full",40
"three_by_four",3,4,500,0.25,"baseline",1,2,50,"biased","full",41
"three_by_four",3,4,500,0.25,"baseline",2,26,50,"biased","full",42
"three_by_four",3,4,500,0.25,"baseline",3,50,50,"biased","full",43
"three_by_four",3,4,500,0.25,"baseline",4,74,50,"biased","full",44
"three_by_four",3,4,500,0.25,"baseline",5,98,50,"biased","full",45
"three_by_four",3,4,500,0.25,"baseline",6,122,50,"biased","full",46
"three_by_four",3,4,500,0.25,"baseline",7,146,50,"biased","full",47
"three_by_four",3,4,500,0.25,"baseline",8,170,50,"biased","full",48
"three_by_four",3,4,500,0.25,"baseline",9,194,50,"biased","full",49
"three_by_four",3,4,500,0.25,"baseline",10,218,50,"biased","full",50
"three_by_four",3,4,500,0.25,"baseline",1,2,200,"biased","full",51
"three_by_four",3,4,500,0.25,"baseline",2,26,200,"biased","full",52
"three_by_four",3,4,500,0.25,"baseline",3,50,200,"biased","full",53
"three_by_four",3,4,500,0.25,"baseline",4,74,200,"biased","full",54
"three_by_four",3,4,500,0.25,"baseline",5,98,200,"biased","full",55
"three_by_four",3,4,500,0.25,"baseline",6,122,200,"biased","full",56
"three_by_four",3,4,500,0.25,"baseline",7,146,200,"biased","full",57
"three_by_four",3,4,500,0.25,"baseline",8,170,200,"biased","full",58
"three_by_four",3,4,500,0.25,"baseline",9,194,200,"biased","full",59
"three_by_four",3,4,500,0.25,"baseline",10,218,200,"biased","full",60
"three_by_four",3,4,500,0.25,"baseline",1,2,800,"biased","full",61
"three_by_four",3,4,500,0.25,"baseline",2,26,800,"biased","full",62
"three_by_four",3,4,500,0.25,"baseline",3,50,800,"biased","full",63
"three_by_four",3,4,500,0.25,"baseline",4,74,800,"biased","full",64
"three_by_four",3,4,500,0.25,"baseline",5,98,800,"biased","full",65
"three_by_four",3,4,500,0.25,"baseline",6,122,800,"biased","full",66
"three_by_four",3,4,500,0.25,"baseline",7,146,800,"biased","full",67
"three_by_four",3,4,500,0.25,"baseline",8,170,800,"biased","full",68
"three_by_four",3,4,500,0.25,"baseline",9,194,800,"biased","full",69
"three_by_four",3,4,500,0.25,"baseline",10,218,800,"biased","full",70
"three_by_four",3,4,500,0.25,"baseline",1,2,50,"correct","robust",71
"three_by_four",3,4,500,0.25,"baseline",2,26,50,"correct","robust",72
"three_by_four",3,4,500,0.25,"baseline",3,50,50,"correct","robust",73
"three_by_four",3,4,500,0.25,"baseline",4,74,50,"correct","robust",74
"three_by_four",3,4,500,0.25,"baseline",5,98,50,"correct","robust",75
"three_by_four",3,4,500,0.25,"baseline",6,122,50,"correct","robust",76
"three_by_four",3,4,500,0.25,"baseline",7,146,50,"correct","robust",77
"three_by_four",3,4,500,0.25,"baseline",8,170,50,"correct","robust",78
"three_by_four",3,4,500,0.25,"baseline",9,194,50,"correct","robust",79
"three_by_four",3,4,500,0.25,"baseline",10,218,50,"correct","robust",80
"three_by_four",3,4,500,0.25,"baseline",1,2,200,"correct","robust",81
"three_by_four",3,4,500,0.25,"baseline",2,26,200,"correct","robust",82
"three_by_four",3,4,500,0.25,"baseline",3,50,200,"correct","robust",83
"three_by_four",3,4,500,0.25,"baseline",4,74,200,"correct","robust",84
"three_by_four",3,4,500,0.25,"baseline",5,98,200,"correct","robust",85
"three_by_four",3,4,500,0.25,"baseline",6,122,200,"correct","robust",86
"three_by_four",3,4,500,0.25,"baseline",7,146,200,"correct","robust",87
"three_by_four",3,4,500,0.25,"baseline",8,170,200,"correct","robust",88
"three_by_four",3,4,500,0.25,"baseline",9,194,200,"correct","robust",89
