"parameter","truth","prior_mean","prior_sd","posterior_mean","posterior_sd","q025","median","q975","covers_truth","contraction","standardized_bias","rhat","ess","transitions","prior_regime"
"survival_at_80",0.36,0.405465108108164,1.5,0.30911123351415,0.067143662841842,0.186162967911499,0.303408140382287,0.4549871360995,TRUE,0.955237558105439,-0.757908703993691,1.03038438116384,223.37634803496,2,"weak"
"survival_slope_20",0.64,0.5,1,0.649096173373663,0.0515029584547857,0.549195382506615,0.649817701938065,0.748828251363617,TRUE,0.948497041545214,0.176614579949787,1.01414438167986,209.524609071685,2,"weak"
"growth_increment_80",8.4,8,6,8.29285639277829,0.571595598563873,7.03038595497622,8.30698629883299,9.37057596312583,TRUE,0.904734066906021,-0.187446522490569,1.012225496583,199.937184978803,2,"weak"
"growth_slope_20",-2.4,-2,3,-2.63277073969093,0.24210458711361,-3.10549964037359,-2.62893092531296,-2.15190304620077,TRUE,0.91929847096213,-0.961447044296192,1.01546794441097,182.678839377648,2,"weak"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.54446983084526,0.11310349552401,1.32503736202802,1.54073766577193,1.76735305500834,TRUE,0.838423577822843,0.357128078861271,1.02039140678602,121.951354645357,2,"weak"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.6560159907921,0.329075870103001,-2.35901477518789,-1.63004371407084,-1.07268324750563,TRUE,0.780616086597999,0.112834738555052,1.06231306902817,74.7984286225723,2,"weak"
"recruitment_slope_20",1.5,1,1,1.54591455904071,0.205849905840201,1.13306428204395,1.5436556687999,1.96118993078576,TRUE,0.794150094159799,0.22304872500817,1.0542538939434,78.4636993761554,2,"weak"
"recruit_mean_80",44.6,45,10,47.5639229519433,1.24882551123344,45.5646642859621,47.4813633989287,50.3326733159457,FALSE,0.875117448876656,2.37336835713415,1.01440152097354,148.529769346277,2,"weak"
"recruit_mean_slope_20",0.4,0,2,-1.39239451673254,0.639774942854296,-2.66672721770646,-1.38637253097313,-0.305227408663697,FALSE,0.680112528572852,-2.8016016206198,1.0112170509038,150.29295274179,2,"weak"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.29738007119147,0.0522063552065282,1.18414861229129,1.30204267976248,1.37999522443055,TRUE,0.925419492562103,0.854629719305278,1.00941123694413,227.279507555894,2,"weak"
"survival_at_80",0.36,0.405465108108164,1.5,0.36717893114316,0.0367936215862059,0.294987219374922,0.368149025770611,0.44208383187427,TRUE,0.975470918942529,0.195113468956585,1.0064835850836,305.196418777168,4,"weak"
