"parameter","truth","prior_mean","prior_sd","posterior_mean","posterior_sd","q025","median","q975","covers_truth","contraction","standardized_bias","rhat","ess","transitions","prior_regime","process_model"
"survival_at_80",0.36,0.405465108108164,1.5,0.320666863953605,0.0823078859451607,0.174008906049654,0.31473018756916,0.505772386298255,TRUE,0.94512807603656,-0.477878098735294,1.01728824533537,220.264479344707,2,"weak","gamma_poisson"
"survival_slope_20",0.64,0.5,1,0.650658228781766,0.0598591138696917,0.540025039792948,0.647854136531333,0.778810042079887,TRUE,0.940140886130308,0.178055238254421,1.02793607663363,160.95431479882,2,"weak","gamma_poisson"
"growth_increment_80",8.4,8,6,8.21941914054815,0.664520273029692,6.74599011409836,8.26583919687508,9.40861311198358,TRUE,0.889246621161718,-0.271746200651706,1.02900265616713,159.714254252348,2,"weak","gamma_poisson"
"growth_slope_20",-2.4,-2,3,-2.59027324059883,0.259442147466306,-3.0876603025414,-2.59465116812711,-2.05872728684642,TRUE,0.913519284177898,-0.733393715928672,1.02912118890662,227.114467135245,2,"weak","gamma_poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.54604068988612,0.13922873849617,1.26776397185643,1.55582403752336,1.82489887388998,TRUE,0.801101802148329,0.30139821392549,1.01574734902943,150.121507374746,2,"weak","gamma_poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.67366204998205,0.378003072054737,-2.42618611131607,-1.63961503216783,-1.01457033385589,TRUE,0.747997951963508,0.0515475455582288,1.10069214277772,52.9387120328049,2,"weak","gamma_poisson"
"recruitment_slope_20",1.5,1,1,1.54883194332514,0.233515079363557,1.09899409372443,1.54754110473663,1.99204627041194,TRUE,0.766484920636443,0.209116873557953,1.08614258878518,58.700201056555,2,"weak","gamma_poisson"
"recruit_mean_80",44.6,45,10,46.8503993228116,1.6098503727921,43.7858737034298,46.884066228053,49.815616184449,TRUE,0.83901496272079,1.39789346938408,1.18625707633173,37.9803598713509,2,"weak","gamma_poisson"
"recruit_mean_slope_20",0.4,0,2,-0.996630536297313,0.897314931962641,-2.49188742194243,-1.07340176036296,0.799365265378123,TRUE,0.55134253401868,-1.5564552494881,1.18777936882674,38.1687007665712,2,"weak","gamma_poisson"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.31089998758275,0.0550000845618799,1.18692836609786,1.31776165680221,1.40153647853845,TRUE,0.921428450625886,1.05703508550012,1.02985188685309,168.311232889021,2,"weak","gamma_poisson"
"log_process_precision",NA,3.91202300542815,2,5.99963972268032,0.979637063253125,4.4234945375866,5.85375980081361,8.30253809372349,NA,0.510181468373437,NA,1.03757772765978,127.976630505788,2,"weak","gamma_poisson"
"survival_at_80",0.36,0.405465108108164,1.5,0.370632028190504,0.0403395450750715,0.297889488701031,0.368601215769248,0.45677871352904,TRUE,0.973106969949952,0.26356341328882,1.02287740523933,321.602773306834,4,"weak","gamma_poisson"
"survival_slope_20",0.64,0.5,1,0.631539801970104,0.0289538750395757,0.57487966436912,0.631167271105638,0.69093851930218,TRUE,0.971046124960424,-0.292195708461555,1.01486009463588,387.087585761506,4,"weak","gamma_poisson"
"growth_increment_80",8.4,8,6,7.85132629620416,0.34316854775536,7.15464003314448,7.86774723052969,8.48340816681907,TRUE,0.942805242040773,-1.59884612790034,1.01910999422913,281.16329422528,4,"weak","gamma_poisson"
"growth_slope_20",-2.4,-2,3,-2.38624748221714,0.140466227683478,-2.65738369522784,-2.39219803220417,-2.11268547650344,TRUE,0.953177924105507,0.0979062227958046,1.01136610557201,310.803301850082,4,"weak","gamma_poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.55103232902155,0.0800659404958301,1.38944412690821,1.55258034913632,1.69962986314056,TRUE,0.885620085005957,0.586453265327234,1.01185854114037,397.265165426242,4,"weak","gamma_poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.71580781693442,0.22252184751698,-2.19018034690955,-1.697925309241,-1.3212860313131,TRUE,0.851652101655347,-0.101835557395068,1.00719071222706,286.535318871676,4,"weak","gamma_poisson"
"recruitment_slope_20",1.5,1,1,1.57814301584512,0.125496565782942,1.34970644478571,1.57099697198389,1.84323008151628,TRUE,0.874503434217058,0.622670551641001,1.00797818348571,287.99872554374,4,"weak","gamma_poisson"
"recruit_mean_80",44.6,45,10,44.0217111126649,0.670417064547861,42.6108819876243,44.0203194396145,45.2809271252983,TRUE,0.932958293545214,-0.862580799200066,1.01429039094741,284.701302534667,4,"weak","gamma_poisson"
"recruit_mean_slope_20",0.4,0,2,0.692571404353052,0.336504765172913,0.0532273575147797,0.699246152336453,1.38182481211661,TRUE,0.831747617413544,0.869442084134273,1.01513298594309,283.790310725457,4,"weak","gamma_poisson"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.32952907856597,0.0271182246166213,1.26805517956206,1.33142881557924,1.37686781653816,FALSE,0.961259679119112,2.83079409348753,1.01248260279657,217.072598534061,4,"weak","gamma_poisson"
"log_process_precision",NA,3.91202300542815,2,6.46215365815529,0.915158364770667,5.00672575227673,6.31122075494799,8.57069299031068,NA,0.542420817614666,NA,1.01073686849717,371.788701707083,4,"weak","gamma_poisson"
"survival_at_80",0.36,0.405465108108164,1.5,0.354414657357705,0.0241127913474878,0.307828727547473,0.353495228396636,0.402441305277244,TRUE,0.983924805768342,-0.231634013740059,1.01496273352004,399.986895897298,8,"weak","gamma_poisson"
"survival_slope_20",0.64,0.5,1,0.607548337843916,0.0159459657616016,0.577653109158855,0.607340416762233,0.639980308193548,FALSE,0.984054034238398,-2.03510170793344,1.01855728906558,364.193129028043,8,"weak","gamma_poisson"
"growth_increment_80",8.4,8,6,8.09830912233862,0.211367492699082,7.67101388886548,8.10476872253989,8.49520650104774,TRUE,0.964772084550153,-1.42732864835979,1.01612614208024,389.062656314849,8,"weak","gamma_poisson"
"growth_slope_20",-2.4,-2,3,-2.36729810497346,0.0768183186633019,-2.5242511484295,-2.36443046522987,-2.21545916215603,TRUE,0.974393893778899,0.425704384000858,1.0131985352451,411.00242461567,8,"weak","gamma_poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.58727264136069,0.0527054821275063,1.48421526884486,1.58682238605193,1.69134100709074,TRUE,0.924706454103562,1.57849318943992,1.01272332370958,375.838376922656,8,"weak","gamma_poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.43174599600342,0.093919888396339,-1.62302907177139,-1.4303316010595,-1.25597321895662,FALSE,0.937386741069107,2.7832356811735,1.03396558119608,359.594897198858,8,"weak","gamma_poisson"
"recruitment_slope_20",1.5,1,1,1.42016805276285,0.0519491097481814,1.3201433931621,1.41767466081012,1.52190999308195,TRUE,0.948050890251819,-1.53673369234091,1.03258645782196,348.342623645792,8,"weak","gamma_poisson"
"recruit_mean_80",44.6,45,10,44.5110970295046,0.33665924402488,43.8440330563111,44.5126803212564,45.1717499845669,TRUE,0.966334075597512,-0.264074051353875,1.01441549083085,339.511965515985,8,"weak","gamma_poisson"
"recruit_mean_slope_20",0.4,0,2,0.46209469046621,0.15237500149897,0.158324133879061,0.462432523455276,0.754105295480649,TRUE,0.923812499250515,0.407512320625833,1.01871403977703,326.673701157387,8,"weak","gamma_poisson"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.325582895023,0.0153267014521323,1.29351599335581,1.32587481831862,1.3551908384822,FALSE,0.97810471221124,4.75118059518908,1.01640332126776,310.948078613985,8,"weak","gamma_poisson"
"log_process_precision",NA,3.91202300542815,2,5.84725029404223,0.414597741028181,5.14536447885618,5.83029271086869,6.66365077676769,NA,0.79270112948591,NA,1.00152882863692,359.657608706815,8,"weak","gamma_poisson"
"survival_at_80",0.36,0.405465108108164,1.5,0.354613042174444,0.0219528312586971,0.313113501916545,0.354054832936225,0.398205627395727,TRUE,0.985364779160869,-0.245387839139068,1.0093099974457,411.116014211689,12,"weak","gamma_poisson"
"survival_slope_20",0.64,0.5,1,0.623922255309806,0.0111811790162937,0.602192742259854,0.623936199896302,0.646462402743345,TRUE,0.988818820983706,-1.43792927979823,1.01111539168932,467.870401208402,12,"weak","gamma_poisson"
"growth_increment_80",8.4,8,6,8.0563428467258,0.174632364552811,7.70724729201678,8.05758166692752,8.39842594717179,FALSE,0.970894605907865,-1.96788925211097,1.00988910554129,397.637421373866,12,"weak","gamma_poisson"
"growth_slope_20",-2.4,-2,3,-2.32304008305322,0.063787021254663,-2.44983548445497,-2.32366095052113,-2.19177657847663,TRUE,0.978737659581779,1.20651373011324,1.0115892077293,400.155079768309,12,"weak","gamma_poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.57885665337919,0.041276239795913,1.49424178114539,1.5792388065474,1.66147577237171,TRUE,0.941033943148696,1.81167802524293,1.01276946505559,319.427367217311,12,"weak","gamma_poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.40685337046554,0.0765006335747793,-1.55944310901069,-1.40678400209321,-1.25991623722591,FALSE,0.948999577616814,3.74237175192215,1.01875614574684,297.934670589827,12,"weak","gamma_poisson"
"recruitment_slope_20",1.5,1,1,1.40852129448425,0.0394494327563231,1.3328363072064,1.4087667030369,1.48715953722239,FALSE,0.960550567243677,-2.31888519363029,1.01851015690932,315.47137499835,12,"weak","gamma_poisson"
"recruit_mean_80",44.6,45,10,44.6176878272923,0.261710313978749,44.104537447033,44.6086273493392,45.1156411122857,TRUE,0.973828968602125,0.0675855185963358,1.00793141632617,471.659465115869,12,"weak","gamma_poisson"
