"parameter","map","posterior_mean","posterior_sd","q025","q500","q975","prior_sd","contraction"
"survival_at_80",-0.878726833017099,-0.878924877812773,0.130468433126642,-1.13529050198167,-0.878468724003232,-0.629530371184444,1.5,0.913021044582239
"survival_slope_20",-0.422240326741956,-0.42409740353131,0.151557244298573,-0.721223737211735,-0.426173264268542,-0.131521700554431,1,0.848442755701427
"growth_increment_80",6.47114976161833,6.48491065050006,0.808732619050024,4.87894347727099,6.50400184900043,8.01529553384549,6,0.865211230158329
"growth_slope_20",-8.51635389303981,-8.50100297870379,0.66030215308837,-9.7839402249858,-8.50875900304065,-7.17078766769547,3,0.779899282303877
"log_growth_sd",1.06236329673668,1.06256430241964,0.230163583116535,0.602589645475452,1.06068534113204,1.51409116900045,0.7,0.671194881262093
"log_recruitment_at_80",-0.899363454404166,-0.904323196449375,0.226684829641858,-1.33884498606122,-0.905667642950466,-0.467142534024756,1.5,0.848876780238762
"recruitment_slope_20",1.56380207649921,1.57012522622195,0.206059105318574,1.16113402324645,1.5673994761881,1.97414428421606,1,0.793940894681426
"recruit_mean_80",43.8282376022982,43.8005738902571,0.814748119891032,42.1977141720039,43.7995100835731,45.3706467662831,10,0.918525188010897
"recruit_mean_slope_20",4.41117423812292,4.41356827261118,0.334539194723611,3.74087515577801,4.4135788026387,5.0494014214811,2,0.832730402638194
"log_recruit_sd",0.287574800679818,0.291403585928626,0.322108075863069,-0.343180932736863,0.292919081798411,0.901661198285169,0.7,0.539845605909902
"log_process_precision",2.22285241343459,2.23043254738477,0.456324701505747,1.33837926884618,2.23488446589418,3.14961536701965,2,0.771837649247126
