"parameter","map","posterior_mean","posterior_sd","q025","q500","q975","prior_sd","contraction"
"survival_at_80",1.30802332613267,1.31228880350665,0.441529417057584,0.418737871254534,1.30218207428585,2.19800958546817,1.5,0.705647055294944
"survival_slope_20",-0.68196771728313,-0.682635905507586,0.233790078521742,-1.15785821887562,-0.678008528002278,-0.222496256289357,1,0.766209921478258
"growth_increment_80",4.48931971029127,4.44939663500985,1.46324806069562,1.6736447898685,4.4583990709443,7.34857420505086,6,0.756125323217397
"growth_slope_20",-1.01960063288033,-0.979876430582994,1.36867858981873,-3.67455104095297,-1.00158816054612,1.71842375507283,3,0.543773803393758
"log_growth_sd",1.22704809447499,1.23088570730411,0.297544937075732,0.645442841937259,1.22326300718132,1.82992937963271,0.7,0.574935804177525
"log_recruitment_at_80",-2.18557353430263,-2.17731997171478,0.592681682965648,-3.31294485674696,-2.17870636948009,-1.00651440021183,1.5,0.604878878022902
"recruitment_slope_20",1.18933487967363,1.17337610452737,0.815498619521208,-0.507313007362738,1.19118965965379,2.73909883423788,1,0.184501380478792
"recruit_mean_80",48.4088872157165,48.4427179880734,1.57018435012307,45.3947795570153,48.4567917372679,51.4250651163596,10,0.842981564987693
"recruit_mean_slope_20",0.501130214385735,0.467652193467689,1.47006616634906,-2.39671064185196,0.451631653434721,3.46382778543363,2,0.264966916825469
"log_recruit_sd",0.977331495994268,0.974346210667028,0.323107990147167,0.33419250940959,0.972032684045905,1.6021508687165,0.7,0.538417156932618
"log_process_precision",0.64834939878604,0.646846662403446,0.222151056810326,0.213900913178536,0.646364253945724,1.06603443564829,2,0.888924471594837
