"regime","process_model","replicate","task_id"
"constant","poisson",1,1
"size_dependent","poisson",1,2
"time_varying_effort","poisson",1,3
"constant","gamma_poisson",1,4
"size_dependent","gamma_poisson",1,5
"time_varying_effort","gamma_poisson",1,6
"constant","poisson",2,7
"size_dependent","poisson",2,8
"time_varying_effort","poisson",2,9
"constant","gamma_poisson",2,10
"size_dependent","gamma_poisson",2,11
"time_varying_effort","gamma_poisson",2,12
"constant","poisson",3,13
"size_dependent","poisson",3,14
"time_varying_effort","poisson",3,15
"constant","gamma_poisson",3,16
"size_dependent","gamma_poisson",3,17
"time_varying_effort","gamma_poisson",3,18
"constant","poisson",4,19
"size_dependent","poisson",4,20
"time_varying_effort","poisson",4,21
"constant","gamma_poisson",4,22
"size_dependent","gamma_poisson",4,23
"time_varying_effort","gamma_poisson",4,24
"constant","poisson",5,25
"size_dependent","poisson",5,26
"time_varying_effort","poisson",5,27
"constant","gamma_poisson",5,28
"size_dependent","gamma_poisson",5,29
"time_varying_effort","gamma_poisson",5,30
"constant","poisson",6,31
"size_dependent","poisson",6,32
"time_varying_effort","poisson",6,33
"constant","gamma_poisson",6,34
"size_dependent","gamma_poisson",6,35
"time_varying_effort","gamma_poisson",6,36
"constant","poisson",7,37
"size_dependent","poisson",7,38
"time_varying_effort","poisson",7,39
"constant","gamma_poisson",7,40
"size_dependent","gamma_poisson",7,41
"time_varying_effort","gamma_poisson",7,42
"constant","poisson",8,43
"size_dependent","poisson",8,44
"time_varying_effort","poisson",8,45
"constant","gamma_poisson",8,46
"size_dependent","gamma_poisson",8,47
"time_varying_effort","gamma_poisson",8,48
"constant","poisson",9,49
"size_dependent","poisson",9,50
"time_varying_effort","poisson",9,51
"constant","gamma_poisson",9,52
"size_dependent","gamma_poisson",9,53
"time_varying_effort","gamma_poisson",9,54
"constant","poisson",10,55
"size_dependent","poisson",10,56
"time_varying_effort","poisson",10,57
"constant","gamma_poisson",10,58
"size_dependent","gamma_poisson",10,59
"time_varying_effort","gamma_poisson",10,60
"constant","poisson",11,61
"size_dependent","poisson",11,62
"time_varying_effort","poisson",11,63
"constant","gamma_poisson",11,64
"size_dependent","gamma_poisson",11,65
"time_varying_effort","gamma_poisson",11,66
"constant","poisson",12,67
"size_dependent","poisson",12,68
"time_varying_effort","poisson",12,69
"constant","gamma_poisson",12,70
"size_dependent","gamma_poisson",12,71
"time_varying_effort","gamma_poisson",12,72
"constant","poisson",13,73
"size_dependent","poisson",13,74
"time_varying_effort","poisson",13,75
"constant","gamma_poisson",13,76
"size_dependent","gamma_poisson",13,77
"time_varying_effort","gamma_poisson",13,78
"constant","poisson",14,79
"size_dependent","poisson",14,80
"time_varying_effort","poisson",14,81
"constant","gamma_poisson",14,82
"size_dependent","gamma_poisson",14,83
"time_varying_effort","gamma_poisson",14,84
"constant","poisson",15,85
"size_dependent","poisson",15,86
"time_varying_effort","poisson",15,87
"constant","gamma_poisson",15,88
"size_dependent","gamma_poisson",15,89
"time_varying_effort","gamma_poisson",15,90
"constant","poisson",16,91
"size_dependent","poisson",16,92
"time_varying_effort","poisson",16,93
"constant","gamma_poisson",16,94
"size_dependent","gamma_poisson",16,95
"time_varying_effort","gamma_poisson",16,96
"constant","poisson",17,97
"size_dependent","poisson",17,98
"time_varying_effort","poisson",17,99
"constant","gamma_poisson",17,100
"size_dependent","gamma_poisson",17,101
"time_varying_effort","gamma_poisson",17,102
"constant","poisson",18,103
"size_dependent","poisson",18,104
"time_varying_effort","poisson",18,105
"constant","gamma_poisson",18,106
"size_dependent","gamma_poisson",18,107
"time_varying_effort","gamma_poisson",18,108
"constant","poisson",19,109
"size_dependent","poisson",19,110
"time_varying_effort","poisson",19,111
"constant","gamma_poisson",19,112
"size_dependent","gamma_poisson",19,113
"time_varying_effort","gamma_poisson",19,114
"constant","poisson",20,115
"size_dependent","poisson",20,116
"time_varying_effort","poisson",20,117
"constant","gamma_poisson",20,118
"size_dependent","gamma_poisson",20,119
"time_varying_effort","gamma_poisson",20,120
