"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_mean","prior_sd","contraction"
"survival_at_80",0.36,0.318837974637795,0.0334667117948501,0.259744126449403,0.316785985321086,0.407412453478399,TRUE,-1.22993933836483,0.405465108108164,1.5,0.977688858803433
"survival_slope_20",0.64,0.564464304167806,0.0262890018755982,0.508041169237428,0.568421092698418,0.614438654066517,FALSE,-2.87328123713619,0.5,1,0.973710998124402
"growth_increment_80",8.4,8.25189465592321,0.16494162883538,7.88012428397289,8.28013309758808,8.4610511479024,TRUE,-0.897925800312106,8,6,0.972509728527437
"growth_slope_20",-2.4,-2.26853423035239,0.112382109916134,-2.44561502545024,-2.28036132981561,-1.94556969808194,TRUE,1.16981047735904,-2,3,0.962539296694622
"log_growth_sd",1.50407739677627,1.41435385891952,0.0352257523939582,1.36330791836666,1.41045594628324,1.48208879646835,FALSE,-2.54710067944914,1.6094379124341,0.7,0.94967749658006
"log_recruitment_at_80",-1.69314718055995,-1.79055495280531,0.0600923504178824,-1.89681399478902,-1.79774111048546,-1.65590280441575,TRUE,-1.62096791967673,-1.6094379124341,1.5,0.959938433054745
"recruitment_slope_20",1.5,1.53452888037257,0.0283825061366789,1.47815324188282,1.54023109614472,1.57176755218171,TRUE,1.21655502182554,1,1,0.971617493863321
"recruit_mean_80",44.6,44.7656634643947,0.179007148570467,44.514396061447,44.7145893374735,45.2876102548207,TRUE,0.925457255298006,45,10,0.982099285142953
"recruit_mean_slope_20",0.4,0.203584117014377,0.0745086550896256,-0.0599074260989591,0.210462470466563,0.307556961478125,FALSE,-2.63614854877405,0,2,0.962745672455187
"log_recruit_sd",1.25276296849537,1.2338998263128,0.0139008471925283,1.21120494903322,1.23374628618967,1.27719758023663,TRUE,-1.35697788208947,1.38629436111989,0.7,0.980141646867817
