"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_mean","prior_sd","contraction","rhat","ess"
"survival_at_80",0.36,0.317728121540629,0.0450287991372053,0.216673575171382,0.319428942849536,0.401787395373893,TRUE,-0.938774279335447,0.405465108108164,1.5,0.969980800575196,1.09849638622126,44.8941687398648
"survival_slope_20",0.64,0.611144776153231,0.0364316509069144,0.532615483394582,0.616707413566996,0.686326731034384,TRUE,-0.792037229399678,0.5,1,0.963568349093086,1.1451909301038,37.3018870454204
"growth_increment_80",8.4,8.50155587839101,0.176764385979827,8.21575794880559,8.51030246311499,8.86314615380765,TRUE,0.574526807694143,8,6,0.970539269003362,1.38299202212985,19.1875157095977
"growth_slope_20",-2.4,-2.43904411008054,0.103405495411269,-2.64483986823212,-2.4280259685744,-2.25625148102257,TRUE,-0.377582544576068,-2,3,0.965531501529577,1.28401095119604,20.9529815228153
"log_growth_sd",1.50407739677627,1.53513711647353,0.0562519954266897,1.41295478429103,1.53356039004893,1.66226674905083,TRUE,0.552153207395749,1.6094379124341,0.7,0.9196400065333,1.0556201955177,48.1304686656903
"log_recruitment_at_80",-1.69314718055995,-1.7236167735392,0.0914904263818966,-1.9113629078589,-1.72302530055678,-1.5756923909085,TRUE,-0.333035861611058,-1.6094379124341,1.5,0.939006382412069,1.14259481135558,37.3957882569639
"recruitment_slope_20",1.5,1.52982482353447,0.0439963630480662,1.45704999764802,1.52357168535236,1.62040896407538,TRUE,0.677892931783663,1,1,0.956003636951934,1.17017731032086,36.7156403836537
"recruit_mean_80",44.6,44.4825961046353,0.403812478021847,43.7910601336506,44.4406147243398,45.2181024615333,TRUE,-0.290738651613261,45,10,0.959618752197815,1.31114678759742,31.997580827251
"recruit_mean_slope_20",0.4,0.527365274741363,0.207443253362433,0.176566335332094,0.53193180849577,0.880471098214635,TRUE,0.613976461884915,0,2,0.896278373318783,1.27301357640347,35.1718123920578
"log_recruit_sd",1.25276296849537,1.26569451228918,0.0207345261406889,1.2250491539455,1.26548752429379,1.30379204283028,TRUE,0.623672019609508,1.38629436111989,0.7,0.970379248370445,1.2149518175052,41.1033682816212
