"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_mean","prior_sd","contraction"
"survival_at_80",0.36,0.29119667951797,0.0336095100087957,0.219965935778129,0.290936302666956,0.358007307550331,FALSE,-2.04713845765747,0.405465108108164,1.5,0.977593659994136
"survival_slope_20",0.64,0.621514621272387,0.0269208975960609,0.564584847198352,0.627830974655724,0.661779487450445,TRUE,-0.686655363613054,0.5,1,0.973079102403939
"growth_increment_80",8.4,8.59305751408906,0.0924637335021917,8.46866806287077,8.57520072635436,8.79148031968818,FALSE,2.08792687442681,8,6,0.984589377749635
"growth_slope_20",-2.4,-2.57776109695256,0.0446916239138886,-2.67355098906969,-2.56895792666673,-2.50565447953252,FALSE,-3.97750364352532,-2,3,0.985102792028704
"log_growth_sd",1.50407739677627,1.51571824133175,0.0463729497579298,1.44265855948504,1.50408641044862,1.60937132584789,TRUE,0.251026613925602,1.6094379124341,0.7,0.933752928917243
"log_recruitment_at_80",-1.69314718055995,-1.64965447850413,0.0648519928124519,-1.75352698751996,-1.65170765978434,-1.54773526244521,TRUE,0.670645575712529,-1.6094379124341,1.5,0.956765338125032
"recruitment_slope_20",1.5,1.50114713090694,0.0344711427773939,1.45180312133565,1.51499088773349,1.55961126410403,TRUE,0.0332780063123609,1,1,0.965528857222606
"recruit_mean_80",44.6,44.3215821623962,0.25691159450621,43.8536242118107,44.3425031044778,44.7453865384973,TRUE,-1.0837106754133,45,10,0.974308840549379
"recruit_mean_slope_20",0.4,0.623175987016366,0.142776085792547,0.334271548768493,0.616455793155746,0.848625029914682,TRUE,1.56311882187777,0,2,0.928611957103726
"log_recruit_sd",1.25276296849537,1.27352697969461,0.0164599282765009,1.23613876371066,1.27534679172444,1.29677589823696,TRUE,1.26148855878559,1.38629436111989,0.7,0.976485816747856
