"scenario","method","group","n","coverage","rmse","mean_posterior_sd"
"dense_profiles","maturity_fixed_recruitment_slope","growth",40,0.95,0.634431386785796,0.566326511142323
"rich_design","maturity_fixed_recruitment_slope","growth",40,0.325,1.59983129871312,0.479263187809251
"standard","maturity_fixed_recruitment_slope","growth",40,0.475,2.38808251870426,1.14943675696847
"dense_profiles","maturity_shape_informed","growth",40,0.95,0.578104804571,0.549584148161607
"rich_design","maturity_shape_informed","growth",40,0.375,1.50578032186104,0.47647241678236
"standard","maturity_shape_informed","growth",40,0.525,2.16385299673983,1.15397780772214
"dense_profiles","maturity_weak","growth",40,0.95,0.550286715202357,0.53935127451227
"rich_design","maturity_weak","growth",40,0.325,1.50271194547939,0.480051394868344
"standard","maturity_weak","growth",40,0.525,2.10581869979767,1.1616612634572
"dense_profiles","ungated_weak","growth",40,0.95,0.543757853170779,0.542444230834507
"rich_design","ungated_weak","growth",40,0.325,1.45573789567968,0.475011349722903
"standard","ungated_weak","growth",40,0.7,2.00571905662023,1.22931608233756
"dense_profiles","maturity_fixed_recruitment_slope","lambda",10,1,0.0160277951684339,0.0282302580711942
"rich_design","maturity_fixed_recruitment_slope","lambda",10,0.9,0.0173978869996449,0.0252644450982503
"standard","maturity_fixed_recruitment_slope","lambda",10,1,0.032733398529718,0.0586456619143453
"dense_profiles","maturity_shape_informed","lambda",10,1,0.0240068360311921,0.0280407666183869
"rich_design","maturity_shape_informed","lambda",10,0.9,0.0216025287649259,0.0243979792293255
"standard","maturity_shape_informed","lambda",10,1,0.0411718211475402,0.0560269650037571
"dense_profiles","maturity_weak","lambda",10,0.8,0.0272200792695174,0.028084836047608
"rich_design","maturity_weak","lambda",10,0.9,0.0223328194190509,0.0248619712419545
"standard","maturity_weak","lambda",10,1,0.0569909898552033,0.0531676354560621
"dense_profiles","ungated_weak","lambda",10,1,0.0246435517158952,0.0287593866778317
"rich_design","ungated_weak","lambda",10,0.9,0.0217938738974323,0.0247887996968497
"standard","ungated_weak","lambda",10,1,0.0478804284137582,0.0582862083216033
"dense_profiles","maturity_fixed_recruitment_slope","recruit_size",40,1,0.557020315171667,0.615410622125874
"rich_design","maturity_fixed_recruitment_slope","recruit_size",40,0.9,0.39038964817222,0.419059040494762
"standard","maturity_fixed_recruitment_slope","recruit_size",40,0.9,0.647044297407029,0.841185368682707
"dense_profiles","maturity_shape_informed","recruit_size",40,0.975,0.623170273521642,0.595927603669556
"rich_design","maturity_shape_informed","recruit_size",40,0.9,0.423271723335418,0.403973687325953
"standard","maturity_shape_informed","recruit_size",40,0.95,0.532700586488326,0.820537292977938
"dense_profiles","maturity_weak","recruit_size",40,1,0.655098488999886,0.585430977519673
"rich_design","maturity_weak","recruit_size",40,0.925,0.436533123142226,0.412692297027182
"standard","maturity_weak","recruit_size",40,0.975,0.56054109384196,0.792677498331765
"dense_profiles","ungated_weak","recruit_size",40,0.975,0.582439115317451,0.504812660171342
"rich_design","ungated_weak","recruit_size",40,0.925,0.416874944141393,0.349188604164244
"standard","ungated_weak","recruit_size",40,0.95,0.988775487724702,0.78409031496347
"dense_profiles","maturity_fixed_recruitment_slope","recruitment",30,0.3,0.150578572310377,0.0269044879450955
"rich_design","maturity_fixed_recruitment_slope","recruitment",30,0.6,0.154703504314268,0.0291638454168066
"standard","maturity_fixed_recruitment_slope","recruitment",30,0.5,0.256395033501731,0.0635160321184189
"dense_profiles","maturity_shape_informed","recruitment",30,0.666666666666667,0.144038063771094,0.0520584556188429
"rich_design","maturity_shape_informed","recruitment",30,0.5,0.170850072873674,0.0540505267260074
"standard","maturity_shape_informed","recruitment",30,0.6,0.202260633273242,0.0933573666745037
"dense_profiles","maturity_weak","recruitment",30,0.633333333333333,0.156830438038375,0.0552886763228644
"rich_design","maturity_weak","recruitment",30,0.5,0.178407618733095,0.0548028625234271
"standard","maturity_weak","recruitment",30,0.4,0.264990256108662,0.113200063545592
"dense_profiles","ungated_weak","recruitment",30,0.233333333333333,0.212360359587987,0.0479199633540915
"rich_design","ungated_weak","recruitment",30,0.233333333333333,0.173881206232233,0.0478278882991105
"standard","ungated_weak","recruitment",30,0.2,0.56175330099529,0.12081834743943
"dense_profiles","maturity_fixed_recruitment_slope","survival",30,1,0.0167759549403762,0.0214143259681968
"rich_design","maturity_fixed_recruitment_slope","survival",30,0.666666666666667,0.0374666647528669,0.0209733082840726
"standard","maturity_fixed_recruitment_slope","survival",30,0.766666666666667,0.064009366972328,0.0472359109210999
"dense_profiles","maturity_shape_informed","survival",30,0.966666666666667,0.0168027178616406,0.0212681991972755
"rich_design","maturity_shape_informed","survival",30,0.7,0.0351931349814463,0.0208687751887608
"standard","maturity_shape_informed","survival",30,0.833333333333333,0.0557987740856957,0.0455484911460581
"dense_profiles","maturity_weak","survival",30,1,0.0162374772274158,0.0211255453673815
"rich_design","maturity_weak","survival",30,0.7,0.0352234816393858,0.0207979699958939
"standard","maturity_weak","survival",30,0.833333333333333,0.0553258902747066,0.0448969945722656
"dense_profiles","ungated_weak","survival",30,0.966666666666667,0.0160787140510871,0.0216357470651096
"rich_design","ungated_weak","survival",30,0.7,0.0340334676418446,0.0208326436156759
"standard","ungated_weak","survival",30,0.833333333333333,0.0519268475890689,0.0449279630461639
