"scenario","method","quantity","n","coverage","rmse","mean_posterior_sd"
"dense_profiles","maturity_fixed_recruitment_slope","growth_increment_110",10,1,0.41258698218468,0.596430825419937
"rich_design","maturity_fixed_recruitment_slope","growth_increment_110",10,0.7,0.683625809259255,0.487011677951242
"standard","maturity_fixed_recruitment_slope","growth_increment_110",10,0.9,1.37864188568141,1.46116208696588
"dense_profiles","maturity_shape_informed","growth_increment_110",10,1,0.37531359205816,0.584286463856696
"rich_design","maturity_shape_informed","growth_increment_110",10,0.7,0.6531499678105,0.479218825446676
"standard","maturity_shape_informed","growth_increment_110",10,0.9,1.35437660307233,1.48175406543127
"dense_profiles","maturity_weak","growth_increment_110",10,1,0.349701518718212,0.5731629921884
"rich_design","maturity_weak","growth_increment_110",10,0.7,0.655236930417791,0.48514594042654
"standard","maturity_weak","growth_increment_110",10,0.9,1.38629088567713,1.43281080252783
"dense_profiles","ungated_weak","growth_increment_110",10,1,0.367036964095994,0.574942890439022
"rich_design","ungated_weak","growth_increment_110",10,0.7,0.64303930048821,0.471109680437371
"standard","ungated_weak","growth_increment_110",10,1,1.38205106309324,1.54127705739011
"dense_profiles","maturity_fixed_recruitment_slope","growth_increment_50",10,0.9,0.889931302916946,0.648327961896235
"rich_design","maturity_fixed_recruitment_slope","growth_increment_50",10,0.2,2.14081909886788,0.583959892512766
"standard","maturity_fixed_recruitment_slope","growth_increment_50",10,0.3,3.17497452666873,1.27550907617691
"dense_profiles","maturity_shape_informed","growth_increment_50",10,0.9,0.800924009066218,0.622453598742999
"rich_design","maturity_shape_informed","growth_increment_50",10,0.2,1.9953316034535,0.587682702929861
"standard","maturity_shape_informed","growth_increment_50",10,0.4,2.6435551227062,1.26786414731719
"dense_profiles","maturity_weak","growth_increment_50",10,0.9,0.767950487847278,0.617157313937477
"rich_design","maturity_weak","growth_increment_50",10,0.2,1.99380804995351,0.593431181844174
"standard","maturity_weak","growth_increment_50",10,0.4,2.48841182554979,1.32207167384058
"dense_profiles","ungated_weak","growth_increment_50",10,0.9,0.749684167776525,0.622548378755077
"rich_design","ungated_weak","growth_increment_50",10,0.2,1.91388058455059,0.587539986082213
"standard","ungated_weak","growth_increment_50",10,0.8,2.23474191045554,1.37465217968989
"dense_profiles","maturity_fixed_recruitment_slope","growth_increment_80",10,1,0.590083811840246,0.514741795994722
"rich_design","maturity_fixed_recruitment_slope","growth_increment_80",10,0.4,1.36133534197375,0.446126213425596
"standard","maturity_fixed_recruitment_slope","growth_increment_80",10,0.7,1.50166788259828,1.07998403464117
"dense_profiles","maturity_shape_informed","growth_increment_80",10,1,0.520826124150926,0.499402498466284
"rich_design","maturity_shape_informed","growth_increment_80",10,0.5,1.26881552104986,0.444849468840263
"standard","maturity_shape_informed","growth_increment_80",10,0.8,1.25443417616319,1.09385500998697
"dense_profiles","maturity_weak","growth_increment_80",10,1,0.485438048437365,0.48783783937785
"rich_design","maturity_weak","growth_increment_80",10,0.4,1.26618545869876,0.444549426670572
"standard","maturity_weak","growth_increment_80",10,0.8,1.15972514082347,1.10001939977372
"dense_profiles","ungated_weak","growth_increment_80",10,1,0.485553264532464,0.490511681798127
"rich_design","ungated_weak","growth_increment_80",10,0.4,1.21463897137416,0.442456930368015
"standard","ungated_weak","growth_increment_80",10,1,1.10021365080545,1.18547855136164
"dense_profiles","maturity_fixed_recruitment_slope","growth_sd.log_growth_sd",10,0.9,0.54736467860117,0.505805461258398
"rich_design","maturity_fixed_recruitment_slope","growth_sd.log_growth_sd",10,0,1.82596718560296,0.3999549673474
"standard","maturity_fixed_recruitment_slope","growth_sd.log_growth_sd",10,0,2.92841754894787,0.781091830089938
"dense_profiles","maturity_shape_informed","growth_sd.log_growth_sd",10,0.9,0.532185351162467,0.49219403158045
"rich_design","maturity_shape_informed","growth_sd.log_growth_sd",10,0.1,1.7468977062689,0.394138669912639
"standard","maturity_shape_informed","growth_sd.log_growth_sd",10,0,2.88664414050947,0.772438008153148
"dense_profiles","maturity_weak","growth_sd.log_growth_sd",10,0.9,0.513393292577363,0.479246952545354
"rich_design","maturity_weak","growth_sd.log_growth_sd",10,0,1.73917830410885,0.397079030532088
"standard","maturity_weak","growth_sd.log_growth_sd",10,0,2.87731321725053,0.791743177686688
"dense_profiles","ungated_weak","growth_sd.log_growth_sd",10,0.9,0.500185919847672,0.481773972345803
"rich_design","ungated_weak","growth_sd.log_growth_sd",10,0,1.71023536947365,0.398938802004015
"standard","ungated_weak","growth_sd.log_growth_sd",10,0,2.82436348786695,0.815856540908577
