"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","scenario","replicate","method","group"
"survival_50",0.354343693774205,0.406692333012936,0.0377166439157753,0.33852365063197,0.404122669026446,0.476815895860798,TRUE,1.38794531548542,"standard",1,"ungated_weak","survival"
"survival_80",0.589040434058665,0.613993706595246,0.0462684094447224,0.51528651924905,0.615704387370654,0.701879496492889,TRUE,0.539315546742382,"standard",1,"ungated_weak","survival"
"survival_110",0.789181706522253,0.782216711319059,0.0634082503215966,0.62698746810932,0.789808028099605,0.883751580501449,TRUE,-0.109843674409373,"standard",1,"ungated_weak","survival"
"growth_increment_50",12,8.94874597486861,1.56128980673551,6.11828246783306,8.93769564179164,12.0659265817263,TRUE,-1.95431624030854,"standard",1,"ungated_weak","growth"
"growth_increment_80",8.4,7.80853103639132,1.29233130713038,5.12455716326407,7.86819635740132,10.2402958444039,TRUE,-0.45767595379395,"standard",1,"ungated_weak","growth"
"growth_increment_110",4.8,6.66831609791405,1.75457743354717,3.04293357869417,6.73134393565372,9.88479102221879,TRUE,1.06482396398826,"standard",1,"ungated_weak","growth"
"growth_sd.log_growth_sd",4.5,7.48245211165085,0.863470462354505,6.00041267447299,7.43962364814545,9.23715189897995,FALSE,3.45402910890353,"standard",1,"ungated_weak","growth"
"recruitment_50",0.000177489191913507,0.135338640209408,0.0413872718353532,0.0754230829814309,0.127662906176599,0.225338698910937,FALSE,3.2657661407399,"standard",1,"ungated_weak","recruitment"
"recruitment_80",0.183939720585721,0.481908282364825,0.0583316371338581,0.378841423888837,0.474113543351863,0.601038984872204,FALSE,5.1081810218241,"standard",1,"ungated_weak","recruitment"
"recruitment_110",2.3850093400699,1.77944517460212,0.215300984750269,1.39098718026229,1.76923976112918,2.21648067218007,FALSE,-2.81264001727713,"standard",1,"ungated_weak","recruitment"
"recruit_mean_50",44,44.4929477569148,0.938964091272502,42.6488682108283,44.5077011945014,46.2903610048582,TRUE,0.524991063552495,"standard",1,"ungated_weak","recruit_size"
"recruit_mean_80",44.6,44.848277379704,0.395018285460165,44.1094964338013,44.8555821808469,45.5937295485815,TRUE,0.628521232668429,"standard",1,"ungated_weak","recruit_size"
"recruit_mean_110",45.2,45.2036070024932,0.36050134261187,44.519684404445,45.1808626735502,45.9241262649218,TRUE,0.0100055175025542,"standard",1,"ungated_weak","recruit_size"
"recruit_sd.log_recruit_sd",3.5,3.09715804553551,0.257453345511168,2.62303229851923,3.09561505879336,3.63371512162357,TRUE,-1.56471827415822,"standard",1,"ungated_weak","recruit_size"
