"scenario","replicate","method","success","error","positive_definite","condition_number"
"standard",1,"ungated_weak",TRUE,"",TRUE,886.135285929429
"standard",1,"maturity_weak",TRUE,"",TRUE,1332.73701230748
"standard",1,"maturity_shape_informed",TRUE,"",TRUE,1530.06364441377
"standard",1,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,385.711274520428
"dense_profiles",1,"ungated_weak",TRUE,"",TRUE,1713.0304625229
"dense_profiles",1,"maturity_weak",TRUE,"",TRUE,3259.7334771375
"dense_profiles",1,"maturity_shape_informed",TRUE,"",TRUE,3650.74894895219
"dense_profiles",1,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,1708.72051964066
"rich_design",1,"ungated_weak",TRUE,"",TRUE,1302.3107491314
"rich_design",1,"maturity_weak",TRUE,"",TRUE,2026.93569473546
"rich_design",1,"maturity_shape_informed",TRUE,"",TRUE,2075.77042720509
"rich_design",1,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,727.799499954539
"standard",2,"ungated_weak",TRUE,"",TRUE,1162.95033924957
"standard",2,"maturity_weak",TRUE,"",TRUE,1767.96816521861
"standard",2,"maturity_shape_informed",TRUE,"",TRUE,1969.83851751798
"standard",2,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,578.243653626732
"dense_profiles",2,"ungated_weak",TRUE,"",TRUE,3948.60477518562
"dense_profiles",2,"maturity_weak",TRUE,"",TRUE,4777.64255547184
"dense_profiles",2,"maturity_shape_informed",TRUE,"",TRUE,4941.47812252485
"dense_profiles",2,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,1192.2556908475
"rich_design",2,"ungated_weak",TRUE,"",TRUE,1755.93610046991
"rich_design",2,"maturity_weak",TRUE,"",TRUE,2307.30961280016
"rich_design",2,"maturity_shape_informed",TRUE,"",TRUE,2328.00511982838
"rich_design",2,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,958.294892795854
"standard",3,"ungated_weak",TRUE,"",TRUE,937.096489745258
"standard",3,"maturity_weak",TRUE,"",TRUE,1678.1213586884
"standard",3,"maturity_shape_informed",TRUE,"",TRUE,1691.13179780386
"standard",3,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,527.783887469501
"dense_profiles",3,"ungated_weak",TRUE,"",TRUE,3375.80215986664
"dense_profiles",3,"maturity_weak",TRUE,"",TRUE,4879.10882564591
"dense_profiles",3,"maturity_shape_informed",TRUE,"",TRUE,4940.71818452097
"dense_profiles",3,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,2080.27666129583
"rich_design",3,"ungated_weak",TRUE,"",TRUE,1534.15756568053
"rich_design",3,"maturity_weak",TRUE,"",TRUE,1963.76563747026
"rich_design",3,"maturity_shape_informed",TRUE,"",TRUE,1964.4825601131
"rich_design",3,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,789.180692111868
"standard",4,"ungated_weak",TRUE,"",TRUE,3500.62616729999
"standard",4,"maturity_weak",TRUE,"",TRUE,5308.55350545683
"standard",4,"maturity_shape_informed",TRUE,"",TRUE,5734.44313304029
"standard",4,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,1293.7499226105
"dense_profiles",4,"ungated_weak",TRUE,"",TRUE,2739.86535170673
"dense_profiles",4,"maturity_weak",TRUE,"",TRUE,4479.28640662771
"dense_profiles",4,"maturity_shape_informed",TRUE,"",TRUE,4619.14062081264
"dense_profiles",4,"maturity_fixed_recruitment_slope",TRUE,"",TRUE,1904.52134362127
"rich_design",4,"ungated_weak",TRUE,"",TRUE,2344.80048023613
"rich_design",4,"maturity_weak",TRUE,"",TRUE,2993.66735079781
"rich_design",4,"maturity_shape_informed",TRUE,"",TRUE,3043.31116162944
