"scenario","method","group","n","coverage","rmse","mean_posterior_sd","mean_contraction"
"dense_profiles","maturity_fixed_recruitment_slope","growth",30,0.933333333333333,0.374460986860034,0.286645592034031,0.892710560808112
"rich_design","maturity_fixed_recruitment_slope","growth",30,0.2,0.868896157883716,0.23703289336799,0.922413316745904
"standard","maturity_fixed_recruitment_slope","growth",30,0.366666666666667,1.17738041962816,0.584696809007513,0.826511626064286
"dense_profiles","maturity_shape_informed","growth",30,0.933333333333333,0.335467051191867,0.278554764569349,0.895040502424989
"rich_design","maturity_shape_informed","growth",30,0.266666666666667,0.812052031170957,0.236658905351014,0.922410319683619
"standard","maturity_shape_informed","growth",30,0.433333333333333,1.0121043678041,0.588068372481902,0.82629297314351
"dense_profiles","maturity_weak","growth",30,0.933333333333333,0.317081211390303,0.274522691888632,0.896489348835044
"rich_design","maturity_weak","growth",30,0.2,0.811002711990891,0.238726280160582,0.921566773142841
"standard","maturity_weak","growth",30,0.466666666666667,0.963851924267471,0.589797174162064,0.825204412395891
"dense_profiles","ungated_weak","growth",30,0.933333333333333,0.314908143321887,0.275970966774196,0.89608338046734
"rich_design","ungated_weak","growth",30,0.166666666666667,0.780205098583641,0.235242485632527,0.922423029684303
"standard","ungated_weak","growth",30,0.566666666666667,0.901052597206715,0.623384771390314,0.817069257789608
"dense_profiles","maturity_fixed_recruitment_slope","process",10,NA,NA,0.494380741202984,0.752809629398508
"rich_design","maturity_fixed_recruitment_slope","process",10,NA,NA,0.157986241816362,0.921006879091819
"standard","maturity_fixed_recruitment_slope","process",10,NA,NA,0.396307297954186,0.801846351022907
"dense_profiles","maturity_shape_informed","process",10,NA,NA,0.592993157695523,0.703503421152239
"rich_design","maturity_shape_informed","process",10,NA,NA,0.168710672332261,0.91564466383387
"standard","maturity_shape_informed","process",10,NA,NA,0.491735979258849,0.754132010370576
"dense_profiles","maturity_weak","process",10,NA,NA,0.58798609064457,0.706006954677715
"rich_design","maturity_weak","process",10,NA,NA,0.166926057405516,0.916536971297242
"standard","maturity_weak","process",10,NA,NA,0.529088562015983,0.735455718992009
"dense_profiles","ungated_weak","process",10,NA,NA,0.58108890875511,0.709455545622445
"rich_design","ungated_weak","process",10,NA,NA,0.170424726086271,0.914787636956864
"standard","ungated_weak","process",10,NA,NA,0.636915466044799,0.6815422669776
"dense_profiles","maturity_fixed_recruitment_slope","recruit_size",30,1,0.35158872191802,0.401394123611018,0.89398229683196
"rich_design","maturity_fixed_recruitment_slope","recruit_size",30,0.9,0.24508731906011,0.263739104811615,0.929041426184024
"standard","maturity_fixed_recruitment_slope","recruit_size",30,0.866666666666667,0.39397486534341,0.537672510269947,0.845053389553289
"dense_profiles","maturity_shape_informed","recruit_size",30,0.966666666666667,0.392999223398305,0.389170370127294,0.896494357004286
"rich_design","maturity_shape_informed","recruit_size",30,0.9,0.26409067672903,0.255759687351216,0.930335122512627
"standard","maturity_shape_informed","recruit_size",30,0.933333333333333,0.319447472644152,0.535064742569536,0.843394709361386
"dense_profiles","maturity_weak","recruit_size",30,1,0.41405854082586,0.383431619864236,0.89748642247501
"rich_design","maturity_weak","recruit_size",30,0.9,0.272289615100463,0.261543625461525,0.928916286069183
"standard","maturity_weak","recruit_size",30,0.966666666666667,0.337086344480437,0.521142625967426,0.842575390099769
"dense_profiles","ungated_weak","recruit_size",30,0.966666666666667,0.366638411986835,0.329705263148461,0.908406749249649
"rich_design","ungated_weak","recruit_size",30,0.9,0.25943362993458,0.22461866903311,0.935203395669785
"standard","ungated_weak","recruit_size",30,1,0.627626725258375,0.505621196975442,0.835712032346328
