"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_sd","contraction","scenario","replicate","method","group"
"survival_at_80",0.36,0.468513736367101,0.197102495864471,0.0611651570441287,0.471354931923655,0.85626395576774,TRUE,0.55054470970127,1.5,0.868598336090353,"standard",1,"ungated_weak","survival"
"survival_slope_20",0.64,0.56564834988982,0.13899851237088,0.267734216716937,0.568189830835899,0.833532656504989,TRUE,-0.534909682427338,1,0.86100148762912,"standard",1,"ungated_weak","survival"
"growth_increment_80",8.4,7.80853103639132,1.29233130713038,5.12455716326407,7.86819635740132,10.2402958444039,TRUE,-0.45767595379395,6,0.784611448811604,"standard",1,"ungated_weak","growth"
"growth_slope_20",-2.4,-0.760143292318189,0.69536999202672,-2.05153058593109,-0.775655590608226,0.6081034069148,FALSE,2.35825060972547,3,0.76821000265776,"standard",1,"ungated_weak","growth"
"log_growth_sd",1.50407739677627,2.00596861845843,0.114894083380439,1.79182754934321,2.00682024496285,2.22323250424369,FALSE,4.36829475387593,0.7,0.835865595170801,"standard",1,"ungated_weak","growth"
"log_recruitment_at_80",-1.69314718055995,-0.737245659468311,0.120464042436212,-0.970637570674581,-0.746308473516429,-0.50909548239977,FALSE,7.93516058202845,1.5,0.919690638375859,"standard",1,"ungated_weak","recruitment"
"recruitment_slope_20",1.5,0.870822661203741,0.126411471440662,0.625812807897117,0.872746956539231,1.10710823153387,FALSE,-4.97721711191058,1,0.873588528559338,"standard",1,"ungated_weak","recruitment"
"recruit_mean_80",44.6,44.848277379704,0.395018285460165,44.1094964338013,44.8555821808469,45.5937295485815,TRUE,0.628521232668429,10,0.960498171453984,"standard",1,"ungated_weak","recruit_size"
"recruit_mean_slope_20",0.4,0.236886415192797,0.394274549303564,-0.518193262689122,0.240592799163143,1.04337570041219,TRUE,-0.41370558940546,2,0.802862725348218,"standard",1,"ungated_weak","recruit_size"
"log_recruit_sd",1.25276296849537,1.12703785851807,0.0832081755460357,0.964330550659049,1.12998661288605,1.29025550778406,TRUE,-1.51097063662621,0.7,0.881131177791378,"standard",1,"ungated_weak","recruit_size"
"log_process_precision",NA,3.96750226163048,0.741143516889455,2.4119735615014,3.97688775422597,5.35170144221286,NA,NA,2,0.629428241555273,"standard",1,"ungated_weak","process"
"survival_at_80",0.36,0.482436025095671,0.198443888441627,0.0860779616683577,0.472739715200207,0.890072079931708,TRUE,0.616980578526034,1.5,0.867704074372249,"standard",1,"maturity_weak","survival"
"survival_slope_20",0.64,0.567626100025101,0.139030524699359,0.301980845788333,0.565180463186282,0.825132691095683,TRUE,-0.520561223022076,1,0.860969475300641,"standard",1,"maturity_weak","survival"
"growth_increment_80",8.4,7.96264327055481,1.23038220808342,5.64139503068144,7.94221106768094,10.4536979447298,TRUE,-0.355464120475589,6,0.794936298652763,"standard",1,"maturity_weak","growth"
"growth_slope_20",-2.4,-0.655144137121529,0.704925984480292,-1.8669894288871,-0.678401112995628,0.816812265547794,FALSE,2.4752327212975,3,0.765024671839903,"standard",1,"maturity_weak","growth"
"log_growth_sd",1.50407739677627,1.99057573757905,0.114652288796517,1.77970249189262,1.9877356961835,2.19955290957522,FALSE,4.24325014275294,0.7,0.836211016004976,"standard",1,"maturity_weak","growth"
"log_recruitment_at_80",-1.69314718055995,-0.432697767443012,0.205240444555767,-0.837289814968837,-0.436998913646773,-0.0479065709663611,FALSE,6.14133055424389,1.5,0.863173036962822,"standard",1,"maturity_weak","recruitment"
"recruitment_slope_20",1.5,0.643028626828781,0.1537167902913,0.35979518137247,0.644858344020684,0.934245358564599,FALSE,-5.57500173889411,1,0.8462832097087,"standard",1,"maturity_weak","recruitment"
"recruit_mean_80",44.6,44.6123706720044,0.689045607865352,43.3455390009465,44.5967886323619,45.9659982831807,TRUE,0.0179533428022333,10,0.931095439213465,"standard",1,"maturity_weak","recruit_size"
"recruit_mean_slope_20",0.4,0.325524222426818,0.528215025354038,-0.804860054141733,0.359253441413323,1.28249413511244,TRUE,-0.140995189455779,2,0.735892487322981,"standard",1,"maturity_weak","recruit_size"
"log_recruit_sd",1.25276296849537,1.13520715151266,0.0788747380789653,0.978329029934285,1.14132225848163,1.28787527580308,TRUE,-1.49041150368086,0.7,0.887321802744335,"standard",1,"maturity_weak","recruit_size"
"log_process_precision",NA,3.98750693781874,0.679187065105046,2.48946926741339,3.99015039641133,5.32351145512157,NA,NA,2,0.660406467447477,"standard",1,"maturity_weak","process"
"survival_at_80",0.36,0.494124220934586,0.19385131079926,0.101068777194458,0.512281020976425,0.822911066510542,TRUE,0.691892256913738,1.5,0.870765792800493,"standard",1,"maturity_shape_informed","survival"
"survival_slope_20",0.64,0.552233414471944,0.148625587876083,0.269372712781577,0.551489524017258,0.832444593540303,TRUE,-0.590521368374548,1,0.851374412123917,"standard",1,"maturity_shape_informed","survival"
"growth_increment_80",8.4,7.82297486550092,1.25704204911209,5.49702341903973,7.73412092954572,10.3979639118688,TRUE,-0.459034075197933,6,0.790492991814652,"standard",1,"maturity_shape_informed","growth"
"growth_slope_20",-2.4,-0.587694788448836,0.720858123028196,-2.10780379532655,-0.588397268768949,0.74138570755734,FALSE,2.51409417977839,3,0.759713958990601,"standard",1,"maturity_shape_informed","growth"
"log_growth_sd",1.50407739677627,1.98769622027578,0.110219241738668,1.77128224387825,1.99128692829029,2.19334081050962,FALSE,4.38778942651571,0.7,0.842543940373332,"standard",1,"maturity_shape_informed","growth"
"log_recruitment_at_80",-1.69314718055995,-0.875863807687251,0.208366508813237,-1.26800687103247,-0.891635899118333,-0.456752168953127,FALSE,3.92233558803465,1.5,0.861088994124509,"standard",1,"maturity_shape_informed","recruitment"
"recruitment_slope_20",1.5,0.957975681034084,0.123821871270341,0.713875958953284,0.962308216703323,1.19944697090746,FALSE,-4.37745216903168,0.2,0.380890643648294,"standard",1,"maturity_shape_informed","recruitment"
"recruit_mean_80",44.6,44.7006126715568,0.807914499609973,43.1664381929979,44.7145992831334,46.1323028210209,TRUE,0.124533810948298,10,0.919208550039003,"standard",1,"maturity_shape_informed","recruit_size"
"recruit_mean_slope_20",0.4,0.194613675165855,0.510821781607928,-0.7894758893617,0.207407924282119,1.20432905113061,TRUE,-0.402070413261636,2,0.744589109196036,"standard",1,"maturity_shape_informed","recruit_size"
"log_recruit_sd",1.25276296849537,1.11844092163237,0.0798829970124119,0.968025014551035,1.11394167605355,1.27889053209383,TRUE,-1.68148482013177,0.7,0.885881432839412,"standard",1,"maturity_shape_informed","recruit_size"
"log_process_precision",NA,3.70263080027533,0.649427572320431,2.38055970262879,3.72413406345766,4.88999609184216,NA,NA,2,0.675286213839784,"standard",1,"maturity_shape_informed","process"
"survival_at_80",0.36,0.568386742111798,0.197918511139896,0.171411961642859,0.568452738878103,0.947278396259478,TRUE,1.05289162146386,1.5,0.868054325906736,"standard",1,"maturity_fixed_recruitment_slope","survival"
"survival_slope_20",0.64,0.497960523111046,0.149574492358424,0.187373046423605,0.497591961275508,0.774805506572246,TRUE,-0.94962366008628,1,0.850425507641576,"standard",1,"maturity_fixed_recruitment_slope","survival"
"growth_increment_80",8.4,7.23729953863941,1.1639136608035,5.00805734933347,7.22177973527215,9.35599532211595,TRUE,-0.998957655121885,6,0.806014389866084,"standard",1,"maturity_fixed_recruitment_slope","growth"
"growth_slope_20",-2.4,-0.120068334666099,0.68448349408595,-1.34979716909767,-0.122819199043311,1.20239408597798,FALSE,3.33087895476353,3,0.771838835304683,"standard",1,"maturity_fixed_recruitment_slope","growth"
"log_growth_sd",1.50407739677627,1.97736545707263,0.101438961834357,1.77334784328791,1.97691428580987,2.16913440986935,FALSE,4.66574235123973,0.7,0.855087197379489,"standard",1,"maturity_fixed_recruitment_slope","growth"
"log_recruitment_at_80",-1.69314718055995,-1.85480676182055,0.102511232877918,-2.05507121273793,-1.8641472147595,-1.65659478718013,TRUE,-1.57699382518527,1.5,0.931659178081388,"standard",1,"maturity_fixed_recruitment_slope","recruitment"
"recruitment_slope_20",1.5,1.5,0,1.5,1.5,1.5,TRUE,NA,NA,NA,"standard",1,"maturity_fixed_recruitment_slope","recruitment"
"recruit_mean_80",44.6,44.717175945235,0.985181098869907,42.6736852146656,44.7328303750275,46.7868228818348,TRUE,0.118938482852937,10,0.901481890113009,"standard",1,"maturity_fixed_recruitment_slope","recruit_size"
"recruit_mean_slope_20",0.4,0.110718063145007,0.502687939223862,-0.946832929632409,0.085149936609757,1.16954823049481,TRUE,-0.57547021577967,2,0.748656030388069,"standard",1,"maturity_fixed_recruitment_slope","recruit_size"
"log_recruit_sd",1.25276296849537,1.04967500350577,0.0947666470026211,0.872116895261449,1.04864599450495,1.22645514026301,FALSE,-2.14303208368216,0.7,0.864619075710541,"standard",1,"maturity_fixed_recruitment_slope","recruit_size"
"log_process_precision",NA,2.86654600686641,0.349529147893657,2.23074091228251,2.85323241668075,3.61283732049935,NA,NA,2,0.825235426053171,"standard",1,"maturity_fixed_recruitment_slope","process"
"survival_at_80",0.36,0.328505245123912,0.0834617301473567,0.160999637334047,0.32821191201434,0.49508299004437,TRUE,-0.377355643364715,1.5,0.944358846568429,"dense_profiles",1,"ungated_weak","survival"
