"scenario","populations","transitions","initial_n","profile_detection","replicate","task_id"
"standard",3,4,500,0.25,1,1
"dense_profiles",3,4,500,1,1,2
"rich_design",6,6,500,0.5,1,3
"standard",3,4,500,0.25,2,4
"dense_profiles",3,4,500,1,2,5
"rich_design",6,6,500,0.5,2,6
"standard",3,4,500,0.25,3,7
"dense_profiles",3,4,500,1,3,8
"rich_design",6,6,500,0.5,3,9
"standard",3,4,500,0.25,4,10
"dense_profiles",3,4,500,1,4,11
"rich_design",6,6,500,0.5,4,12
"standard",3,4,500,0.25,5,13
"dense_profiles",3,4,500,1,5,14
"rich_design",6,6,500,0.5,5,15
"standard",3,4,500,0.25,6,16
"dense_profiles",3,4,500,1,6,17
"rich_design",6,6,500,0.5,6,18
"standard",3,4,500,0.25,7,19
"dense_profiles",3,4,500,1,7,20
"rich_design",6,6,500,0.5,7,21
"standard",3,4,500,0.25,8,22
"dense_profiles",3,4,500,1,8,23
"rich_design",6,6,500,0.5,8,24
"standard",3,4,500,0.25,9,25
"dense_profiles",3,4,500,1,9,26
"rich_design",6,6,500,0.5,9,27
"standard",3,4,500,0.25,10,28
"dense_profiles",3,4,500,1,10,29
"rich_design",6,6,500,0.5,10,30
