"design","initial_n","profile_detection","initial_profile","process_model","attempted","successful","positive_definite_rate","mean_parameter_coverage","mean_derived_coverage","mean_parameter_abs_z","mean_derived_abs_z","median_condition_number"
"one_by_twelve",500,0.25,"baseline","gamma_poisson",10,10,1,0.73,0.673333333333333,1.65746081720914,1.72660430561053,14036.1521312708
"six_by_two",500,0.25,"baseline","gamma_poisson",10,10,1,0.67,0.72,1.85520507176447,1.55569178348034,1120.48908832521
"three_by_four",500,0.25,"baseline","gamma_poisson",10,10,1,0.87,0.86,1.09189871848977,1.7473663248013,3828.51863953169
"one_by_twelve",2500,0.25,"baseline","gamma_poisson",10,10,1,0.82,0.76,1.18657307757055,1.5197751453407,40282.1579893174
"six_by_two",2500,0.25,"baseline","gamma_poisson",10,10,1,0.78,0.786666666666667,1.53359892287518,1.37189228523032,2655.99834740405
"three_by_four",2500,0.25,"baseline","gamma_poisson",10,10,1,0.83,0.84,1.17668279128628,1.12087925029145,6187.3334970624
"one_by_twelve",500,1,"baseline","gamma_poisson",10,10,1,0.74,0.713333333333333,1.3926919075451,1.7686799716612,12915.8152702767
"six_by_two",500,1,"baseline","gamma_poisson",10,10,1,0.93,0.906666666666667,0.849160788136807,0.911636761306754,5702.65549224913
"three_by_four",500,1,"baseline","gamma_poisson",10,10,1,0.87,0.866666666666667,1.17285699202159,1.57518796947775,8660.02922637359
"one_by_twelve",2500,1,"baseline","gamma_poisson",10,10,1,0.77,0.746666666666667,1.4353540685873,1.72969110342369,22603.026112532
"six_by_two",2500,1,"baseline","gamma_poisson",10,10,1,0.93,0.926666666666667,0.818173858477853,0.822422959424958,10707.6240796675
"three_by_four",2500,1,"baseline","gamma_poisson",10,10,1,0.9,0.886666666666667,0.890967961609062,1.02407218639182,6343.28158816691
"one_by_twelve",500,0.25,"cohort_pulse","gamma_poisson",10,10,1,0.79,0.753333333333333,1.39639857719084,Inf,5235.37689565057
"six_by_two",500,0.25,"cohort_pulse","gamma_poisson",10,10,1,0.82,0.826666666666667,1.28746988540018,1.16548236079957,1540.26125318301
"three_by_four",500,0.25,"cohort_pulse","gamma_poisson",10,10,1,0.71,0.726666666666667,1.61416005200448,1.37278014539344,1565.5258604126
"one_by_twelve",2500,0.25,"cohort_pulse","gamma_poisson",10,10,1,0.79,0.773333333333333,1.36461063880468,1.55460411992866,16334.8080872882
"six_by_two",2500,0.25,"cohort_pulse","gamma_poisson",10,10,1,0.75,0.8,1.32305393795224,1.19962333365176,2953.4239636748
