"scenario_id","design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","process_model","failed","error","process_model","convergence","positive_definite","condition_number","laplace_draws","parameter_coverage","derived_coverage","parameter_mean_abs_z","derived_mean_abs_z"
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,18211.7472242901,500,0.5,0.533333333333333,1.76435840363461,2.26542771261884
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,16140.6094112074,500,0.5,0.533333333333333,1.71681960029515,2.13339250478759
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,6663.89987914276,500,0.9,0.933333333333333,0.910922742948419,0.733142957043939
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,4483.57837858174,500,0.9,1,0.796623536852401,0.730343354681831
3,"six_by_two",6,2,500,0.25,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,2058.29221337881,500,0.7,0.8,1.76862824973496,1.19496719305751
3,"six_by_two",6,2,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,841.571811697073,500,0.6,0.666666666666667,2.52109951985906,1.99155396003715
4,"one_by_twelve",1,12,2500,0.25,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,20405.646070557,500,0.9,0.8,0.94716386146524,1.49112654523686
4,"one_by_twelve",1,12,2500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,51810.1367837384,500,1,0.866666666666667,0.990225009496119,1.52999288398707
5,"three_by_four",3,4,2500,0.25,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,2011.81981048608,500,0.8,0.8,2.85451399079642,2.10476963674204
5,"three_by_four",3,4,2500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1563.17830947422,500,0.8,0.8,1.72749593507874,1.28725740560836
6,"six_by_two",6,2,2500,0.25,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,3647.18012613887,500,0.8,0.733333333333333,1.54054016613017,1.52240565284025
6,"six_by_two",6,2,2500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,3284.81748539792,500,0.8,0.733333333333333,1.52215393731893,1.47230977494984
7,"one_by_twelve",1,12,500,1,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,17454.216497928,500,0.4,0.4,2.9631153672802,4.04627322147123
7,"one_by_twelve",1,12,500,1,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,10349.0551764467,500,0.5,0.466666666666667,2.32018417601248,2.98282065882037
8,"three_by_four",3,4,500,1,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,5304.1317436485,500,1,0.933333333333333,1.06698331737439,0.984411329123396
8,"three_by_four",3,4,500,1,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,4571.86837643718,500,1,1,0.706301629238983,0.724363489314444
9,"six_by_two",6,2,500,1,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,4383.22591632817,500,1,1,0.542969024431128,0.615716298694313
9,"six_by_two",6,2,500,1,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,3824.07396127508,500,1,1,0.571657070601714,0.62493088177601
10,"one_by_twelve",1,12,2500,1,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,15965.5567771299,500,0.7,0.6,1.5495010283687,1.69363912370302
10,"one_by_twelve",1,12,2500,1,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,57339.7966082701,500,0.7,0.666666666666667,1.37874477227412,1.53194139650092
11,"three_by_four",3,4,2500,1,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,6389.13944798664,500,1,0.933333333333333,0.932392489781445,0.949389179502431
11,"three_by_four",3,4,2500,1,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,27503.9430222525,500,1,1,0.882116582913022,0.857314530411587
12,"six_by_two",6,2,2500,1,"baseline",1,"poisson",FALSE,NA,"poisson",0,TRUE,6562.61694738312,500,1,1,0.939897899774412,0.945667138273745
12,"six_by_two",6,2,2500,1,"baseline",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,10601.8462035449,500,1,1,0.856862224876902,0.846358808271829
13,"one_by_twelve",1,12,500,0.25,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,2365.11455139542,500,1,0.866666666666667,0.934643044350177,1.20990270529315
13,"one_by_twelve",1,12,500,0.25,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,3060.88408883194,500,1,0.866666666666667,0.955211988026548,1.21153936722003
14,"three_by_four",3,4,500,0.25,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,FALSE,798.510777850724,500,1,1,0.62037136886299,0.311053773618363
14,"three_by_four",3,4,500,0.25,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1049.04138943738,500,0.9,0.933333333333333,0.972286419200434,0.718916520405741
15,"six_by_two",6,2,500,0.25,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,634.269031314942,500,0.8,0.866666666666667,1.06049370675221,0.88467052247635
15,"six_by_two",6,2,500,0.25,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1474.93346136377,500,0.9,0.933333333333333,1.02477376598775,0.839173483599911
16,"one_by_twelve",1,12,2500,0.25,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,18194.4964027173,500,1,0.866666666666667,0.781280875923662,1.20813677390091
16,"one_by_twelve",1,12,2500,0.25,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,15318.3114698702,500,1,0.866666666666667,0.726008367824032,1.16743753112058
17,"three_by_four",3,4,2500,0.25,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,1098.89246676203,500,0.4,0.466666666666667,2.82057510447713,2.56681194072498
17,"three_by_four",3,4,2500,0.25,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1101.75922813424,500,0.5,0.466666666666667,2.39589410578748,2.18487705800204
18,"six_by_two",6,2,2500,0.25,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,3138.12201677588,500,0.8,0.8,1.10876769331668,1.31238258200975
18,"six_by_two",6,2,2500,0.25,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,4072.16873764209,500,0.8,0.866666666666667,1.05461222464199,1.25760021537146
19,"one_by_twelve",1,12,500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,33529.8236432737,500,0.7,0.733333333333333,1.78135894920811,2.58305682623697
19,"one_by_twelve",1,12,500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,25656.2711236552,500,0.7,0.733333333333333,1.5956460057952,2.28757508088893
20,"three_by_four",3,4,500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,3216.56506456643,500,0.8,0.866666666666667,1.31108828636075,1.35500499916684
20,"three_by_four",3,4,500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,2953.20779894859,500,0.8,0.8,1.25413610305944,1.24710189786762
21,"six_by_two",6,2,500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,6185.05423387877,500,1,0.933333333333333,0.546556747440299,0.60093766086322
21,"six_by_two",6,2,500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,5993.99050756767,500,1,0.933333333333333,0.522717028687874,0.572649923091248
22,"one_by_twelve",1,12,2500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,11429.7572946893,500,0.3,0.266666666666667,2.85459873750682,3.30615876069924
22,"one_by_twelve",1,12,2500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,8208.80138869823,500,0.5,0.4,2.56139076893299,3.00305761692479
23,"three_by_four",3,4,2500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,19211.3874762203,500,0.9,0.866666666666667,0.959000474261091,0.999086722693663
23,"three_by_four",3,4,2500,1,"cohort_pulse",1,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,16706.2147202897,500,0.8,0.733333333333333,1.2381425211655,1.32413737833664
24,"six_by_two",6,2,2500,1,"cohort_pulse",1,"poisson",FALSE,NA,"poisson",0,TRUE,7039.40019480003,500,0.8,0.866666666666667,1.17618530090916,0.99471919529929
