"scenario_id","design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","process_model","failed","error","positive_definite","condition_number","quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias"
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"survival_at_80",0.36,0.411559374297264,0.054582652408866,0.302125585741581,0.411662294094062,0.513473151997628,TRUE,0.944611007743722
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"survival_slope_20",0.64,0.616197758679899,0.0377621769180673,0.540579291135229,0.613312150765796,0.690701854778738,TRUE,-0.630319628334578
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"growth_increment_80",8.4,8.49443452013266,0.409331961437529,7.73926191244034,8.4879814822111,9.2907032463213,TRUE,0.230703998292758
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"growth_slope_20",-2.4,-2.58122239888343,0.159310792275787,-2.8864799462804,-2.58364420890792,-2.25194551666484,TRUE,-1.13754000149411
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"log_growth_sd",1.50407739677627,1.48148499697603,0.118453635333743,1.23871876983809,1.48368050086082,1.71379813461885,TRUE,-0.190727787598872
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"log_recruitment_at_80",-1.69314718055995,-2.7014773625908,0.271113299995554,-3.24702569326147,-2.69377120863848,-2.16555140657649,FALSE,-3.7192206433524
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"recruitment_slope_20",1.5,1.84592725236773,0.137180767985936,1.58862486483154,1.84040600135136,2.135160638797,FALSE,2.52168913650633
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"recruit_mean_80",44.6,47.2284528978879,0.910878281793267,45.3694215025526,47.2332925346524,48.9504037808817,FALSE,2.88562473211371
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"recruit_mean_slope_20",0.4,-0.602693393162361,0.323628823136993,-1.21461087042439,-0.60188401040528,0.015088615918223,FALSE,-3.09828211048408
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,18211.7472242901,"log_recruit_sd",1.25276296849537,1.16003506010042,0.0405835394141504,1.08539165660519,1.15868893949361,1.23706627574883,FALSE,-2.28486499042559
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"survival_at_80",0.36,0.404374881512918,0.0548364172874002,0.295586542521247,0.404399349350584,0.507547986706564,TRUE,0.80922284328582
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"survival_slope_20",0.64,0.61584102874504,0.0397006078178266,0.541235692627461,0.61448339929267,0.693726575019846,TRUE,-0.608529002019751
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"growth_increment_80",8.4,8.51813915021921,0.42337073016296,7.72468182951259,8.52634851087409,9.36973501730371,TRUE,0.279044208308258
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"growth_slope_20",-2.4,-2.58265025720738,0.168514640936894,-2.93436894339527,-2.57672079506588,-2.26565073535371,TRUE,-1.08388360911489
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"log_growth_sd",1.50407739677627,1.46938809876956,0.121827246238123,1.23865718046218,1.47470337739221,1.71694712595566,TRUE,-0.284741706620456
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"log_recruitment_at_80",-1.69314718055995,-2.68858224640922,0.284999360517257,-3.21868856813874,-2.68816024920127,-2.14468609467352,FALSE,-3.49276245407224
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"recruitment_slope_20",1.5,1.84351219806709,0.143046659123175,1.56053163213196,1.8406929036297,2.1099537063837,FALSE,2.4013996563967
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"recruit_mean_80",44.6,47.3041113199275,0.945836322220109,45.4199528327727,47.3505710056884,49.0558632677743,FALSE,2.85896328614268
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"recruit_mean_slope_20",0.4,-0.629380426855077,0.343778416775931,-1.28957271256044,-0.647196771524904,0.0537307691888582,FALSE,-2.99431371087502
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"log_recruit_sd",1.25276296849537,1.15627910315131,0.0409639579050452,1.07704765859453,1.15498878568797,1.23908326750946,FALSE,-2.35533552611565
1,"one_by_twelve",1,12,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,16140.6094112074,"log_process_precision",NA,4.8917261704866,0.879791075008623,3.29764168326678,4.89066232457506,6.62292227292733,NA,NA
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"survival_at_80",0.36,0.330368412758645,0.087538829455349,0.163622078021225,0.328612968585848,0.500619163659184,TRUE,-0.338496498362124
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"survival_slope_20",0.64,0.711110568183506,0.0681515096831572,0.572413282369328,0.710746634322473,0.846503099124749,TRUE,1.04341882540982
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"growth_increment_80",8.4,9.36407162181685,0.607254222400063,8.11327643900679,9.40140876399091,10.4717043967762,TRUE,1.58759146705729
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"growth_slope_20",-2.4,-3.11125430376818,0.268985198279083,-3.61551987730192,-3.11493607751253,-2.59950897199087,FALSE,-2.64421354155787
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"log_growth_sd",1.50407739677627,1.40261138185621,0.167256018704725,1.07335522844209,1.39891947077415,1.72489036066152,TRUE,-0.606650903841003
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"log_recruitment_at_80",-1.69314718055995,-1.45558882757237,0.291439963197117,-2.04854318231886,-1.4491330022629,-0.90912847971718,TRUE,0.815119348704082
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"recruitment_slope_20",1.5,1.35321754344267,0.173490177382278,1.02561577605343,1.34723827937344,1.69190608582155,TRUE,-0.846056294206803
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"recruit_mean_80",44.6,44.5589090324442,1.18190784794237,42.3796586063388,44.5872034571605,46.7561557843012,TRUE,-0.0347666424479322
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"recruit_mean_slope_20",0.4,0.666524706216984,0.626316461035451,-0.523627341403465,0.645665713586415,1.85680872007675,TRUE,0.425543192296678
2,"three_by_four",3,4,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,6663.89987914276,"log_recruit_sd",1.25276296849537,1.30170259153578,0.0637757240998027,1.1750207442902,1.3012231577024,1.42519666511295,TRUE,0.767370715600592
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"survival_at_80",0.36,0.305795583639124,0.0979170782077248,0.108890744366253,0.309804026488656,0.475034532476976,TRUE,-0.553574691494413
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"survival_slope_20",0.64,0.70946493207647,0.0805082243803743,0.548861165184002,0.711403488975772,0.863684085444933,TRUE,0.862830258785382
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"growth_increment_80",8.4,9.27622532775288,0.764505299310427,7.8667775261574,9.2891659746782,10.7102883652636,TRUE,1.1461337528245
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"growth_slope_20",-2.4,-3.13246969886354,0.321511914544573,-3.77290070244856,-3.13085622841545,-2.52213626458773,FALSE,-2.27820390389294
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"log_growth_sd",1.50407739677627,1.36820560525066,0.186405838555736,0.995785135216621,1.36868277901871,1.74610745290696,TRUE,-0.728903088971562
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"log_recruitment_at_80",-1.69314718055995,-1.30977918605425,0.48721385478364,-2.31245724950699,-1.28849365187558,-0.36694123754609,TRUE,0.786857743764156
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"recruitment_slope_20",1.5,1.30021267884758,0.288879352443907,0.771839888771806,1.28917121137837,1.8868740344618,TRUE,-0.69159432635882
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"recruit_mean_80",44.6,45.1029104483121,1.70805801221943,41.835621988466,45.0291643331199,48.4534527717999,TRUE,0.294434055936215
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"recruit_mean_slope_20",0.4,0.415769909210812,0.912805563956586,-1.32336202599332,0.411319775311295,2.15950800650112,TRUE,0.017276307061996
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"log_recruit_sd",1.25276296849537,1.30413110468367,0.0847061821237462,1.13271954976998,1.30797996081549,1.47641116946806,TRUE,0.606427239434025
2,"three_by_four",3,4,500,0.25,"baseline",1,"gamma_poisson",FALSE,NA,TRUE,4483.57837858174,"log_process_precision",NA,1.84367551797923,0.206124775227617,1.46041395238951,1.8381994449387,2.25125334006306,NA,NA
3,"six_by_two",6,2,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,2058.29221337881,"survival_at_80",0.36,0.474546423074332,0.167283141959835,0.117025099141678,0.477292047170611,0.806217386391107,TRUE,0.684745765367286
3,"six_by_two",6,2,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,2058.29221337881,"survival_slope_20",0.64,0.64047306272302,0.121350381771668,0.38969472834508,0.635357672446661,0.881319686699235,TRUE,0.00389832084673757
3,"six_by_two",6,2,500,0.25,"baseline",1,"poisson",FALSE,NA,TRUE,2058.29221337881,"growth_increment_80",8.4,8.37228255224729,1.491676034461,5.54367976962445,8.42630164950261,11.1125889139217,TRUE,-0.0185814125268356
