"prior_regime","design","coverage","mean_relative_absolute_error","median_width_ratio_to_weak","median_error_ratio_to_weak"
"all_vital_rates","one_by_twelve",0.533333333333333,0.149647782341049,0.967249659782293,0.923136819070029
"all_vital_rates_biased","one_by_twelve",0.626666666666667,0.150612419743796,0.998718263668538,0.90132661019953
"fecundity","one_by_twelve",0.546666666666667,0.152163483386308,0.969581939101997,0.95952904222745
"recruit_size","one_by_twelve",0.586666666666667,0.166285795983554,0.977890604964057,0.999478694118252
"survival_growth","one_by_twelve",0.6,0.162071462071469,0.990468169047935,0.986891973697998
"weak","one_by_twelve",0.573333333333333,0.165837207184771,1,1
"all_vital_rates","six_by_two",0.853333333333333,0.207488916251344,0.96843355921552,0.857461257724528
"all_vital_rates_biased","six_by_two",0.84,0.217295617873396,0.95313853883652,0.912206824456312
"fecundity","six_by_two",0.826666666666667,0.21797202944644,1.02323559514614,0.952811666990764
"recruit_size","six_by_two",0.813333333333333,0.242805961528134,0.979057023776963,1.00490486378353
"survival_growth","six_by_two",0.853333333333333,0.237703284014105,0.961902815858574,0.976073274251804
"weak","six_by_two",0.813333333333333,0.243114174657746,1,1
"all_vital_rates","three_by_four",0.853333333333333,0.109046766061342,0.944376770880311,0.935623003614142
"all_vital_rates_biased","three_by_four",0.84,0.125961181734251,0.964924892775495,0.981867771839452
"fecundity","three_by_four",0.853333333333333,0.112676745661962,1.00052351804944,0.969533226224651
"recruit_size","three_by_four",0.853333333333333,0.126545450180438,0.972479071440946,0.996536872216042
"survival_growth","three_by_four",0.853333333333333,0.125784013642139,0.971987895157317,0.981304306944987
"weak","three_by_four",0.853333333333333,0.126931487854773,1,1
