"task_id","scenario_id","design","replicate","prior_regime","failed","error","process_model","convergence","positive_definite","condition_number","laplace_draws","parameter_coverage","derived_coverage","parameter_mean_abs_z","derived_mean_abs_z"
1,1,"one_by_twelve",1,"weak",FALSE,NA,"gamma_poisson",0,TRUE,16140.6094112074,800,0.5,0.533333333333333,1.70680733397529,2.09725635896692
2,2,"three_by_four",1,"weak",FALSE,NA,"gamma_poisson",0,TRUE,4483.57837858174,800,0.9,1,0.813991251606222,0.748335106410535
3,3,"six_by_two",1,"weak",FALSE,NA,"gamma_poisson",0,TRUE,841.571811697073,800,0.6,0.666666666666667,2.46902035662217,1.96355443852265
4,25,"one_by_twelve",2,"weak",FALSE,NA,"gamma_poisson",0,TRUE,20981.7270111441,800,0.6,0.6,1.59904440232076,1.58897381095583
5,26,"three_by_four",2,"weak",FALSE,NA,"gamma_poisson",0,TRUE,4325.57907974648,800,1,0.933333333333333,1.00870065868928,0.980187150927291
6,27,"six_by_two",2,"weak",FALSE,NA,"gamma_poisson",0,TRUE,1214.62778372285,800,0.7,0.8,2.11306873911698,1.45167322893868
7,49,"one_by_twelve",3,"weak",FALSE,NA,"gamma_poisson",0,TRUE,8744.51255168634,800,0.6,0.466666666666667,2.59410937168723,2.20420819059819
8,50,"three_by_four",3,"weak",FALSE,NA,"gamma_poisson",0,TRUE,3331.4581993169,800,0.8,0.733333333333333,1.61886734974747,1.25121070367647
9,51,"six_by_two",3,"weak",FALSE,NA,"gamma_poisson",0,TRUE,1493.2844030137,800,0.9,0.933333333333333,0.821396202037305,0.704933247595797
10,73,"one_by_twelve",4,"weak",FALSE,NA,"gamma_poisson",0,TRUE,14844.6626316219,800,0.8,0.666666666666667,1.75294925800758,1.30396118687897
11,74,"three_by_four",4,"weak",FALSE,NA,"gamma_poisson",0,TRUE,1869.27903618717,800,1,1,0.830753832349723,0.892632759509147
12,75,"six_by_two",4,"weak",FALSE,NA,"gamma_poisson",0,TRUE,4498.29485486122,800,0.8,0.866666666666667,0.942512512141474,0.948524124272455
13,97,"one_by_twelve",5,"weak",FALSE,NA,"gamma_poisson",0,TRUE,49746.6961188876,800,0.6,0.6,1.47563132209515,2.00199230118406
14,98,"three_by_four",5,"weak",FALSE,NA,"gamma_poisson",0,TRUE,2473.98753163252,800,0.7,0.6,1.75303991286839,1.58138579924152
15,99,"six_by_two",5,"weak",FALSE,NA,"gamma_poisson",0,TRUE,6539.28993675596,800,0.7,0.8,1.4388140072019,1.41657998377635
31,1,"one_by_twelve",1,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,16142.8945096383,800,0.5,0.533333333333333,1.71056421280813,2.13401713820206
32,2,"three_by_four",1,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,4469.88889971048,800,0.9,1,0.814974242211911,0.71663096685718
33,3,"six_by_two",1,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,1583.40463861918,800,0.7,0.8,1.84156497225003,1.228603167993
34,25,"one_by_twelve",2,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,20718.1883323862,800,0.6,0.6,1.75413549008601,1.77444789629661
35,26,"three_by_four",2,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,4368.46553891601,800,1,0.933333333333333,1.0102388011684,0.95416586880192
36,27,"six_by_two",2,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,1205.78540108442,800,0.7,0.8,2.16707455004734,1.47557867636095
37,49,"one_by_twelve",3,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,8111.07235785224,800,0.6,0.466666666666667,2.5589638818234,2.18637241102725
38,50,"three_by_four",3,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,3329.03000935269,800,0.8,0.733333333333333,1.62720540215994,1.25215067672245
39,51,"six_by_two",3,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,1371.25140364275,800,1,1,0.817659651321309,0.705970582459232
40,73,"one_by_twelve",4,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,14901.7283121331,800,0.8,0.733333333333333,1.75861800808661,1.31005696211581
41,74,"three_by_four",4,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,1861.08170333616,800,1,1,0.841581954886025,0.900773390038018
42,75,"six_by_two",4,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,4448.7460922238,800,0.8,0.866666666666667,0.952098173536218,0.884929960440212
43,97,"one_by_twelve",5,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,48557.712230658,800,0.7,0.666666666666667,1.45333440174907,1.89811941116387
44,98,"three_by_four",5,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,2463.66644369565,800,0.7,0.6,1.78966284183148,1.60460096495898
45,99,"six_by_two",5,"survival_growth",FALSE,NA,"gamma_poisson",0,TRUE,6754.22025569253,800,0.7,0.8,1.39685590753133,1.43055036924395
61,1,"one_by_twelve",1,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,14172.468380163,800,0.5,0.533333333333333,1.63443184213932,2.01361794629588
62,2,"three_by_four",1,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,2704.69602303137,800,0.9,1,0.822330137769673,0.741214568581424
63,3,"six_by_two",1,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,839.573901937517,800,0.6,0.666666666666667,2.45285629721087,1.95862345875453
64,25,"one_by_twelve",2,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,17837.6854639622,800,0.6,0.6,1.95030918295867,1.96259994235041
65,26,"three_by_four",2,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,4048.14587918966,800,1,0.933333333333333,0.963902057577186,0.97282912788245
66,27,"six_by_two",2,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,1216.07655872517,800,0.7,0.8,2.12784518669494,1.47733840532746
67,49,"one_by_twelve",3,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,8716.51286172059,800,0.6,0.466666666666667,2.72381875706321,2.29002751168409
68,50,"three_by_four",3,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,3310.95794268144,800,0.8,0.733333333333333,1.63185887170059,1.26761499254324
69,51,"six_by_two",3,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,1516.40502256992,800,0.9,0.933333333333333,0.827631011475686,0.716800267079658
70,73,"one_by_twelve",4,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,14842.964671795,800,0.8,0.733333333333333,1.81221409336429,1.34242683012088
71,74,"three_by_four",4,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,1807.48863795803,800,1,1,0.789989093486696,0.873323069297491
72,75,"six_by_two",4,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,1994.45124648755,800,0.8,0.866666666666667,0.959859123135082,1.00779844877774
73,97,"one_by_twelve",5,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,40881.4756491525,800,0.6,0.6,1.49974207648016,2.13106697477763
74,98,"three_by_four",5,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,2474.64778489891,800,0.7,0.6,1.7432379350037,1.56114769594987
75,99,"six_by_two",5,"recruit_size",FALSE,NA,"gamma_poisson",0,TRUE,4918.44502778797,800,0.7,0.8,1.41643349841647,1.44901770304474
91,1,"one_by_twelve",1,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,15381.3444738894,800,0.5,0.533333333333333,1.65778692934732,2.00952541654893
92,2,"three_by_four",1,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,5092.55413475401,800,0.9,1,0.708307753435202,0.646846139981794
93,3,"six_by_two",1,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,938.790895421816,800,0.6,0.733333333333333,2.19983657087265,1.79809479782015
94,25,"one_by_twelve",2,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,20772.2243707262,800,0.6,0.6,1.95416083304884,1.97741694247471
95,26,"three_by_four",2,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,4688.33226387989,800,1,0.933333333333333,0.974205853204069,0.95238686743795
96,27,"six_by_two",2,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,1275.77892563236,800,0.7,0.8,2.01257692658509,1.38664468331599
97,49,"one_by_twelve",3,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,9047.63770662543,800,0.6,0.466666666666667,2.65833778413567,2.2675828689302
98,50,"three_by_four",3,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,3423.23177926744,800,0.8,0.733333333333333,1.56927241618812,1.23535403856683
99,51,"six_by_two",3,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,1592.91128833105,800,1,1,0.784231797188167,0.681570204694177
100,73,"one_by_twelve",4,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,15422.9375579733,800,0.8,0.733333333333333,1.52371524905235,1.22457390477809
101,74,"three_by_four",4,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,1923.88874768093,800,1,1,0.800608807643943,0.866489665946246
102,75,"six_by_two",4,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,1503.68065991778,800,0.8,0.8,1.68817122047927,0.972942086823625
103,97,"one_by_twelve",5,"fecundity",FALSE,NA,"gamma_poisson",0,TRUE,43574.3116883717,800,0.4,0.4,2.20958575630569,2.60591593182744
