"design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","scenario_id","prior_regime","task_id"
"one_by_twelve",1,12,500,0.25,"baseline",1,1,"weak",1
"three_by_four",3,4,500,0.25,"baseline",1,2,"weak",2
"six_by_two",6,2,500,0.25,"baseline",1,3,"weak",3
"one_by_twelve",1,12,500,0.25,"baseline",2,25,"weak",4
"three_by_four",3,4,500,0.25,"baseline",2,26,"weak",5
"six_by_two",6,2,500,0.25,"baseline",2,27,"weak",6
"one_by_twelve",1,12,500,0.25,"baseline",3,49,"weak",7
"three_by_four",3,4,500,0.25,"baseline",3,50,"weak",8
"six_by_two",6,2,500,0.25,"baseline",3,51,"weak",9
"one_by_twelve",1,12,500,0.25,"baseline",4,73,"weak",10
"three_by_four",3,4,500,0.25,"baseline",4,74,"weak",11
"six_by_two",6,2,500,0.25,"baseline",4,75,"weak",12
"one_by_twelve",1,12,500,0.25,"baseline",5,97,"weak",13
"three_by_four",3,4,500,0.25,"baseline",5,98,"weak",14
"six_by_two",6,2,500,0.25,"baseline",5,99,"weak",15
"one_by_twelve",1,12,500,0.25,"baseline",1,1,"survival_growth",31
"three_by_four",3,4,500,0.25,"baseline",1,2,"survival_growth",32
"six_by_two",6,2,500,0.25,"baseline",1,3,"survival_growth",33
"one_by_twelve",1,12,500,0.25,"baseline",2,25,"survival_growth",34
"three_by_four",3,4,500,0.25,"baseline",2,26,"survival_growth",35
"six_by_two",6,2,500,0.25,"baseline",2,27,"survival_growth",36
"one_by_twelve",1,12,500,0.25,"baseline",3,49,"survival_growth",37
"three_by_four",3,4,500,0.25,"baseline",3,50,"survival_growth",38
"six_by_two",6,2,500,0.25,"baseline",3,51,"survival_growth",39
"one_by_twelve",1,12,500,0.25,"baseline",4,73,"survival_growth",40
"three_by_four",3,4,500,0.25,"baseline",4,74,"survival_growth",41
"six_by_two",6,2,500,0.25,"baseline",4,75,"survival_growth",42
"one_by_twelve",1,12,500,0.25,"baseline",5,97,"survival_growth",43
"three_by_four",3,4,500,0.25,"baseline",5,98,"survival_growth",44
"six_by_two",6,2,500,0.25,"baseline",5,99,"survival_growth",45
"one_by_twelve",1,12,500,0.25,"baseline",1,1,"recruit_size",61
"three_by_four",3,4,500,0.25,"baseline",1,2,"recruit_size",62
"six_by_two",6,2,500,0.25,"baseline",1,3,"recruit_size",63
"one_by_twelve",1,12,500,0.25,"baseline",2,25,"recruit_size",64
"three_by_four",3,4,500,0.25,"baseline",2,26,"recruit_size",65
"six_by_two",6,2,500,0.25,"baseline",2,27,"recruit_size",66
"one_by_twelve",1,12,500,0.25,"baseline",3,49,"recruit_size",67
"three_by_four",3,4,500,0.25,"baseline",3,50,"recruit_size",68
"six_by_two",6,2,500,0.25,"baseline",3,51,"recruit_size",69
"one_by_twelve",1,12,500,0.25,"baseline",4,73,"recruit_size",70
"three_by_four",3,4,500,0.25,"baseline",4,74,"recruit_size",71
"six_by_two",6,2,500,0.25,"baseline",4,75,"recruit_size",72
"one_by_twelve",1,12,500,0.25,"baseline",5,97,"recruit_size",73
"three_by_four",3,4,500,0.25,"baseline",5,98,"recruit_size",74
"six_by_two",6,2,500,0.25,"baseline",5,99,"recruit_size",75
"one_by_twelve",1,12,500,0.25,"baseline",1,1,"fecundity",91
"three_by_four",3,4,500,0.25,"baseline",1,2,"fecundity",92
"six_by_two",6,2,500,0.25,"baseline",1,3,"fecundity",93
"one_by_twelve",1,12,500,0.25,"baseline",2,25,"fecundity",94
"three_by_four",3,4,500,0.25,"baseline",2,26,"fecundity",95
"six_by_two",6,2,500,0.25,"baseline",2,27,"fecundity",96
"one_by_twelve",1,12,500,0.25,"baseline",3,49,"fecundity",97
"three_by_four",3,4,500,0.25,"baseline",3,50,"fecundity",98
"six_by_two",6,2,500,0.25,"baseline",3,51,"fecundity",99
"one_by_twelve",1,12,500,0.25,"baseline",4,73,"fecundity",100
"three_by_four",3,4,500,0.25,"baseline",4,74,"fecundity",101
"six_by_two",6,2,500,0.25,"baseline",4,75,"fecundity",102
"one_by_twelve",1,12,500,0.25,"baseline",5,97,"fecundity",103
"three_by_four",3,4,500,0.25,"baseline",5,98,"fecundity",104
"six_by_two",6,2,500,0.25,"baseline",5,99,"fecundity",105
"one_by_twelve",1,12,500,0.25,"baseline",1,1,"all_vital_rates",121
"three_by_four",3,4,500,0.25,"baseline",1,2,"all_vital_rates",122
"six_by_two",6,2,500,0.25,"baseline",1,3,"all_vital_rates",123
"one_by_twelve",1,12,500,0.25,"baseline",2,25,"all_vital_rates",124
"three_by_four",3,4,500,0.25,"baseline",2,26,"all_vital_rates",125
"six_by_two",6,2,500,0.25,"baseline",2,27,"all_vital_rates",126
"one_by_twelve",1,12,500,0.25,"baseline",3,49,"all_vital_rates",127
"three_by_four",3,4,500,0.25,"baseline",3,50,"all_vital_rates",128
"six_by_two",6,2,500,0.25,"baseline",3,51,"all_vital_rates",129
"one_by_twelve",1,12,500,0.25,"baseline",4,73,"all_vital_rates",130
"three_by_four",3,4,500,0.25,"baseline",4,74,"all_vital_rates",131
"six_by_two",6,2,500,0.25,"baseline",4,75,"all_vital_rates",132
"one_by_twelve",1,12,500,0.25,"baseline",5,97,"all_vital_rates",133
"three_by_four",3,4,500,0.25,"baseline",5,98,"all_vital_rates",134
"six_by_two",6,2,500,0.25,"baseline",5,99,"all_vital_rates",135
"one_by_twelve",1,12,500,0.25,"baseline",1,1,"all_vital_rates_biased",151
"three_by_four",3,4,500,0.25,"baseline",1,2,"all_vital_rates_biased",152
"six_by_two",6,2,500,0.25,"baseline",1,3,"all_vital_rates_biased",153
"one_by_twelve",1,12,500,0.25,"baseline",2,25,"all_vital_rates_biased",154
"three_by_four",3,4,500,0.25,"baseline",2,26,"all_vital_rates_biased",155
"six_by_two",6,2,500,0.25,"baseline",2,27,"all_vital_rates_biased",156
"one_by_twelve",1,12,500,0.25,"baseline",3,49,"all_vital_rates_biased",157
"three_by_four",3,4,500,0.25,"baseline",3,50,"all_vital_rates_biased",158
"six_by_two",6,2,500,0.25,"baseline",3,51,"all_vital_rates_biased",159
"one_by_twelve",1,12,500,0.25,"baseline",4,73,"all_vital_rates_biased",160
"three_by_four",3,4,500,0.25,"baseline",4,74,"all_vital_rates_biased",161
"six_by_two",6,2,500,0.25,"baseline",4,75,"all_vital_rates_biased",162
"one_by_twelve",1,12,500,0.25,"baseline",5,97,"all_vital_rates_biased",163
"three_by_four",3,4,500,0.25,"baseline",5,98,"all_vital_rates_biased",164
"six_by_two",6,2,500,0.25,"baseline",5,99,"all_vital_rates_biased",165
