"accuracy","uncertainty_multiplier","quantity","covers_truth","relative_absolute_error","width_ratio_to_weak","error_ratio_to_weak"
"biased",0.5,"lambda",0.8,0.0111843349780634,0.807805692103484,1.06930421602524
"correct",0.5,"lambda",0.8,0.0139893265437352,0.844662300418336,1.60873388295101
"biased",1,"lambda",0.8,0.0114952239087631,0.936081940778577,1.04890948297293
"correct",1,"lambda",0.8,0.00995837600171556,0.938357390476215,0.895969313989875
"biased",2,"lambda",0.8,0.0116546625200399,0.968873488153755,0.935968183695188
"correct",2,"lambda",0.8,0.0115362796967862,0.949844045232041,1.02869258899235
"biased",4,"lambda",0.8,0.0120223559268508,0.990449075678197,1.00820275316004
"correct",4,"lambda",0.8,0.0110149335205641,1.01404791881247,0.69635788924511
"biased",0.5,"recruitment_80",0,0.549171972165421,0.507983816171285,1.79900735370389
"correct",0.5,"recruitment_80",0.8,0.106078473479083,0.40327350971356,0.14232512226105
"biased",1,"recruitment_80",0.4,0.561519175596663,0.745206198985227,1.4572242471721
"correct",1,"recruitment_80",0.6,0.274913966156911,0.682535877642583,0.420456358456507
"biased",2,"recruitment_80",0.6,0.543785760187662,0.922477329180664,1.16551155782681
"correct",2,"recruitment_80",0.6,0.412641869286284,0.888547384954484,0.706233680264099
"biased",4,"recruitment_80",0.6,0.562224923552873,1.03108090169228,1.05884187168342
"correct",4,"recruitment_80",0.6,0.484880556962392,1.00321104350162,0.861920925572714
