"scenario_id","replicate","accuracy","uncertainty_multiplier","positive_definite","process_model","convergence","positive_definite","condition_number","laplace_draws","parameter_coverage","derived_coverage","parameter_mean_abs_z","derived_mean_abs_z"
2,1,"weak",NA,TRUE,"gamma_poisson",0,TRUE,4483.57837858174,1000,0.9,1,0.830007022363392,0.767769329444444
26,2,"weak",NA,TRUE,"gamma_poisson",0,TRUE,4325.57907974648,1000,1,0.933333333333333,1.00683141446753,0.969330181339399
50,3,"weak",NA,TRUE,"gamma_poisson",0,TRUE,3331.4581993169,1000,0.8,0.733333333333333,1.63861384859528,1.25982969973881
74,4,"weak",NA,TRUE,"gamma_poisson",0,TRUE,1869.27903618717,1000,1,1,0.840573691304412,0.921291094303273
98,5,"weak",NA,TRUE,"gamma_poisson",0,TRUE,2473.98753163252,1000,0.7,0.6,1.73824428092369,1.56635569655182
2,1,"correct",0.5,TRUE,"gamma_poisson",0,TRUE,395.731043348913,1000,0.8,0.8,1.32815257859336,1.21655673232819
26,2,"correct",0.5,TRUE,"gamma_poisson",0,TRUE,4636.8685453744,1000,1,0.933333333333333,0.623374734711291,0.632872252187491
50,3,"correct",0.5,TRUE,"gamma_poisson",0,TRUE,2860.56207441654,1000,0.9,0.8,0.898916196716607,1.06355745488966
74,4,"correct",0.5,TRUE,"gamma_poisson",0,TRUE,1643.47336707892,1000,1,1,0.619867421189025,0.731986448981278
98,5,"correct",0.5,TRUE,"gamma_poisson",0,TRUE,3152.79371473205,1000,0.9,0.733333333333333,1.34590666630626,1.39695945043644
2,1,"biased",0.5,TRUE,"gamma_poisson",0,TRUE,252.316204998836,1000,0.6,0.6,2.36430426736061,2.71443308271344
26,2,"biased",0.5,TRUE,"gamma_poisson",0,TRUE,3739.29383621322,1000,0.5,0.6,1.79959000293508,1.50841956226424
50,3,"biased",0.5,TRUE,"gamma_poisson",0,TRUE,3146.32880285591,1000,0.5,0.6,2.21567511365103,1.82386615434826
74,4,"biased",0.5,TRUE,"gamma_poisson",0,TRUE,1195.11133126028,1000,0.7,0.8,1.23961288259769,0.948704461707729
