"design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","scenario_id","accuracy","uncertainty_multiplier","task_id"
"three_by_four",3,4,500,0.25,"baseline",1,2,"weak",NA,1
"three_by_four",3,4,500,0.25,"baseline",2,26,"weak",NA,2
"three_by_four",3,4,500,0.25,"baseline",3,50,"weak",NA,3
"three_by_four",3,4,500,0.25,"baseline",4,74,"weak",NA,4
"three_by_four",3,4,500,0.25,"baseline",5,98,"weak",NA,5
"three_by_four",3,4,500,0.25,"baseline",1,2,"correct",0.5,6
"three_by_four",3,4,500,0.25,"baseline",2,26,"correct",0.5,7
"three_by_four",3,4,500,0.25,"baseline",3,50,"correct",0.5,8
"three_by_four",3,4,500,0.25,"baseline",4,74,"correct",0.5,9
"three_by_four",3,4,500,0.25,"baseline",5,98,"correct",0.5,10
"three_by_four",3,4,500,0.25,"baseline",1,2,"biased",0.5,11
"three_by_four",3,4,500,0.25,"baseline",2,26,"biased",0.5,12
"three_by_four",3,4,500,0.25,"baseline",3,50,"biased",0.5,13
"three_by_four",3,4,500,0.25,"baseline",4,74,"biased",0.5,14
"three_by_four",3,4,500,0.25,"baseline",5,98,"biased",0.5,15
"three_by_four",3,4,500,0.25,"baseline",1,2,"correct",1,16
"three_by_four",3,4,500,0.25,"baseline",2,26,"correct",1,17
"three_by_four",3,4,500,0.25,"baseline",3,50,"correct",1,18
"three_by_four",3,4,500,0.25,"baseline",4,74,"correct",1,19
"three_by_four",3,4,500,0.25,"baseline",5,98,"correct",1,20
"three_by_four",3,4,500,0.25,"baseline",1,2,"biased",1,21
"three_by_four",3,4,500,0.25,"baseline",2,26,"biased",1,22
"three_by_four",3,4,500,0.25,"baseline",3,50,"biased",1,23
"three_by_four",3,4,500,0.25,"baseline",4,74,"biased",1,24
"three_by_four",3,4,500,0.25,"baseline",5,98,"biased",1,25
"three_by_four",3,4,500,0.25,"baseline",1,2,"correct",2,26
"three_by_four",3,4,500,0.25,"baseline",2,26,"correct",2,27
"three_by_four",3,4,500,0.25,"baseline",3,50,"correct",2,28
"three_by_four",3,4,500,0.25,"baseline",4,74,"correct",2,29
"three_by_four",3,4,500,0.25,"baseline",5,98,"correct",2,30
"three_by_four",3,4,500,0.25,"baseline",1,2,"biased",2,31
"three_by_four",3,4,500,0.25,"baseline",2,26,"biased",2,32
"three_by_four",3,4,500,0.25,"baseline",3,50,"biased",2,33
"three_by_four",3,4,500,0.25,"baseline",4,74,"biased",2,34
"three_by_four",3,4,500,0.25,"baseline",5,98,"biased",2,35
"three_by_four",3,4,500,0.25,"baseline",1,2,"correct",4,36
"three_by_four",3,4,500,0.25,"baseline",2,26,"correct",4,37
"three_by_four",3,4,500,0.25,"baseline",3,50,"correct",4,38
"three_by_four",3,4,500,0.25,"baseline",4,74,"correct",4,39
"three_by_four",3,4,500,0.25,"baseline",5,98,"correct",4,40
"three_by_four",3,4,500,0.25,"baseline",1,2,"biased",4,41
"three_by_four",3,4,500,0.25,"baseline",2,26,"biased",4,42
"three_by_four",3,4,500,0.25,"baseline",3,50,"biased",4,43
"three_by_four",3,4,500,0.25,"baseline",4,74,"biased",4,44
"three_by_four",3,4,500,0.25,"baseline",5,98,"biased",4,45
