"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"dense_profiles","one_step_gamma_poisson","growth",36,1,-0.0070927458830408,0.464104323374043,0.599577843935647,0.640412852420762
"diverse_initial","one_step_gamma_poisson","growth",40,0.75,0.144709434138705,0.84330551157002,0.615155287968577,1.13749075868027
"longer_followup","one_step_gamma_poisson","growth",40,0.6,0.0385903144320088,1.76948292728973,0.777032538705162,3.44087412269718
"standard","one_step_gamma_poisson","growth",40,0.8,0.270998219047795,1.49625855034186,1.18980147094336,1.0146791919064
"dense_profiles","one_step_poisson","growth",36,0.972222222222222,-0.047861158786217,0.526233915954467,0.579728794334486,0.73834156138807
"diverse_initial","one_step_poisson","growth",40,0.675,0.0810216289045355,0.950021285700029,0.56715320129266,1.4424943240283
"longer_followup","one_step_poisson","growth",32,0.34375,-0.38998425534655,2.41725764043172,0.695686029040691,4.35105078200444
"standard","one_step_poisson","growth",40,0.8,0.210369064523243,1.4989888484898,1.16066627312586,1.06502947894204
"dense_profiles","one_step_shared_gamma_poisson","growth",36,0.888888888888889,-0.0358037689826486,0.458720841376825,0.519278349223714,0.78284495117901
"diverse_initial","one_step_shared_gamma_poisson","growth",36,0.777777777777778,0.144657276844874,0.712616102868964,0.579932412293265,1.03455805428045
"longer_followup","one_step_shared_gamma_poisson","growth",40,0.4,-0.411841646707408,2.19115531766428,0.738235803905306,4.0389913276046
"standard","one_step_shared_gamma_poisson","growth",40,0.725,0.158999598630586,1.48817822722819,1.06927980900133,1.2266254573012
"dense_profiles","recursive_gamma_poisson","growth",40,0.9,-0.152505464071249,0.571138011941159,0.476688579890875,1.03212678569569
"diverse_initial","recursive_gamma_poisson","growth",40,0.875,0.161940992520491,0.511760250513735,0.404922832204555,1.02578135726245
"longer_followup","recursive_gamma_poisson","growth",40,0.925,0.0816504222424095,0.546041646616843,0.524371248459524,0.863362173543793
"standard","recursive_gamma_poisson","growth",40,0.8,0.110259488016391,0.964321251832073,0.862028957814657,1.00233590982851
"dense_profiles","recursive_poisson","growth",40,0.775,-0.177477457919956,0.639747260058259,0.405495023284227,1.37255040814411
"diverse_initial","recursive_poisson","growth",40,0.85,0.133482387113018,0.496472878485099,0.385546724579726,1.00028556947643
"longer_followup","recursive_poisson","growth",40,0.875,0.139668562643749,0.573349043353527,0.482568523992499,0.8995303002197
"standard","recursive_poisson","growth",36,0.722222222222222,0.0769471671594775,1.11720444621996,0.81623795406956,1.3864955777416
"dense_profiles","one_step_gamma_poisson","lambda",9,1,0.00259703211834042,0.0211139565783752,0.0297656656314302,0.583272051213469
"diverse_initial","one_step_gamma_poisson","lambda",10,1,-0.0230320037196707,0.0372970808721695,0.045262179118895,0.726793817051257
"longer_followup","one_step_gamma_poisson","lambda",10,1,0.00297479708920561,0.0289482962554704,0.0397742414986546,0.627134752208363
"standard","one_step_gamma_poisson","lambda",10,1,-0.0200118283854189,0.0333257472744074,0.0555043778058925,0.468436451532159
"dense_profiles","one_step_poisson","lambda",9,1,0.00256788374509546,0.0209832330962197,0.0289388763679697,0.585114370633092
"diverse_initial","one_step_poisson","lambda",10,1,-0.0248359478159086,0.0375370163822438,0.0446327477898858,0.713977826751193
"longer_followup","one_step_poisson","lambda",8,0.875,-0.0130883161997547,0.0280753670331725,0.0362680865845641,0.687829870817484
"standard","one_step_poisson","lambda",10,0.9,-0.0266199484975488,0.0382275472805125,0.0481566249269448,0.629550052345111
"dense_profiles","one_step_shared_gamma_poisson","lambda",9,1,0.00728464692120396,0.0191430911201281,0.0341849540386535,0.460442728610595
"diverse_initial","one_step_shared_gamma_poisson","lambda",9,1,-0.0241453492764477,0.0384837924798979,0.0563567770327759,0.588708956106703
"longer_followup","one_step_shared_gamma_poisson","lambda",10,1,0.00728236701146812,0.0231525897455635,0.0510019020984647,0.350974595203529
