"scenario","method","quantity","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"dense_profiles","one_step_gamma_poisson","growth_increment_110",9,1,-0.0180128921238024,0.440812102941006,0.621256556421999,0.622494230848303
"diverse_initial","one_step_gamma_poisson","growth_increment_110",10,1,0.0195664436667763,0.431695217975282,0.712452238905106,0.512155265362112
"longer_followup","one_step_gamma_poisson","growth_increment_110",10,0.8,-0.00609650376188737,1.01537097576114,0.874566949341461,2.7348577367375
"standard","one_step_gamma_poisson","growth_increment_110",10,1,0.0838664166912447,0.767879142333023,1.2421375334828,0.46197194044639
"dense_profiles","one_step_poisson","growth_increment_110",9,1,-0.063833505710094,0.430744343528712,0.618596714178638,0.64887697486975
"diverse_initial","one_step_poisson","growth_increment_110",10,0.9,-0.0200193114297852,0.501655518282178,0.65046549704055,0.790982716459709
"longer_followup","one_step_poisson","growth_increment_110",8,0.75,0.0860327715941958,1.07007663706708,0.859737901991768,2.16757682055254
"standard","one_step_poisson","growth_increment_110",10,1,0.0885444305364864,0.787050454169487,1.25207865621252,0.472142942766915
"dense_profiles","one_step_shared_gamma_poisson","growth_increment_110",9,1,-0.0155539638242906,0.411000359973729,0.552090111204298,0.682550747064862
"diverse_initial","one_step_shared_gamma_poisson","growth_increment_110",9,1,-0.0362341452710019,0.473407993169891,0.666231206205493,0.591322240967189
"longer_followup","one_step_shared_gamma_poisson","growth_increment_110",10,0.8,-0.319802018241563,1.14309455807595,0.859328915323777,2.97283565530562
"standard","one_step_shared_gamma_poisson","growth_increment_110",10,0.9,0.0482837304040481,0.749005610228251,1.13270654967732,0.71986189864683
"dense_profiles","recursive_gamma_poisson","growth_increment_110",10,0.9,-0.229712362646108,0.531504491026108,0.369778964787025,1.26523015730507
"diverse_initial","recursive_gamma_poisson","growth_increment_110",10,0.9,0.0327524955379577,0.403400598868981,0.347100469743638,0.928779248379417
"longer_followup","recursive_gamma_poisson","growth_increment_110",10,1,-0.123899987101566,0.388592853319023,0.350139341013606,1.00647087602456
"standard","recursive_gamma_poisson","growth_increment_110",10,0.8,-0.247864485739587,0.978333343211279,0.654475280031412,1.30208536648152
"dense_profiles","recursive_poisson","growth_increment_110",10,0.6,-0.342552657376586,0.784892936213984,0.328679464600178,2.0454017845656
"diverse_initial","recursive_poisson","growth_increment_110",10,0.9,0.00885533161204873,0.397321981933363,0.327817497921189,0.918367113766212
"longer_followup","recursive_poisson","growth_increment_110",10,0.9,-0.0111844593179996,0.372610163669643,0.326440915788903,0.938580013608632
"standard","recursive_poisson","growth_increment_110",9,0.666666666666667,-0.374555865344133,1.27249797804593,0.606725791805515,1.86449715214455
"dense_profiles","one_step_gamma_poisson","growth_increment_50",9,1,-0.13292239123037,0.487626598652269,0.693511910760458,0.561648204772057
"diverse_initial","one_step_gamma_poisson","growth_increment_50",10,0.8,-0.422780832360801,0.816304096359055,0.704501715468119,0.897642228444003
"longer_followup","one_step_gamma_poisson","growth_increment_50",10,0.7,-1.61958600884732,1.75281599116094,0.9318364063416,3.13941394575049
"standard","one_step_gamma_poisson","growth_increment_50",10,0.9,-0.747481075022437,1.40892357461092,1.48270882626298,0.759210931311638
"dense_profiles","one_step_poisson","growth_increment_50",9,1,-0.266794400983124,0.58462818652502,0.64740756758586,0.65823820559516
"diverse_initial","one_step_poisson","growth_increment_50",10,0.7,-0.583340172333187,0.993117280550701,0.63967040236266,1.23761333271303
"longer_followup","one_step_poisson","growth_increment_50",8,0.125,-3.01803786173104,3.25035997587006,0.795808772671956,5.10297943987224
"standard","one_step_poisson","growth_increment_50",10,0.9,-0.894272648565749,1.47128379841193,1.41009188442102,0.842948898175421
"dense_profiles","one_step_shared_gamma_poisson","growth_increment_50",9,0.777777777777778,-0.226157172894299,0.504247433775796,0.560825480806284,0.869753603368792
"diverse_initial","one_step_shared_gamma_poisson","growth_increment_50",9,0.888888888888889,-0.238065751922093,0.640297941712257,0.664795969023743,0.656971247852466
"longer_followup","one_step_shared_gamma_poisson","growth_increment_50",10,0.2,-2.59206738157996,2.70786710259974,0.883054856840736,4.02212207795633
"standard","one_step_shared_gamma_poisson","growth_increment_50",10,0.8,-0.984637306240625,1.49237630967799,1.28010153280277,1.00143674673578
"dense_profiles","recursive_gamma_poisson","growth_increment_50",10,0.9,-0.181871712378772,0.627763960029623,0.606805657223037,0.929374687086067
"diverse_initial","recursive_gamma_poisson","growth_increment_50",10,1,0.127917894272478,0.477361887470071,0.502316422502673,0.827927442083534
"longer_followup","recursive_gamma_poisson","growth_increment_50",10,1,0.0104974467063546,0.539347523274999,0.70904897767237,0.644630419742604
"standard","recursive_gamma_poisson","growth_increment_50",10,0.9,-0.0359770015057805,0.966502498938886,1.14585002040231,0.780417745024236
"dense_profiles","recursive_poisson","growth_increment_50",10,0.9,-0.11400227172471,0.612786742729729,0.499896208746704,1.01407745119564
"diverse_initial","recursive_poisson","growth_increment_50",10,0.9,0.0866166118152275,0.458778900281368,0.475403226916423,0.831270203670925
"longer_followup","recursive_poisson","growth_increment_50",10,0.9,0.0620449464150726,0.600805439740926,0.639059191516077,0.788736519693529
"standard","recursive_poisson","growth_increment_50",9,0.777777777777778,-0.0287411619353723,1.07995649801151,1.09433807113683,1.17506855131814
"dense_profiles","one_step_gamma_poisson","growth_increment_80",9,1,-0.0754676416770854,0.415697732687583,0.54355510681752,0.67839693069923
"diverse_initial","one_step_gamma_poisson","growth_increment_80",10,1,-0.201607194347015,0.471168311515935,0.55906139787879,0.703266875837824
"longer_followup","one_step_gamma_poisson","growth_increment_80",10,0.9,-0.812841256304605,1.0588391703488,0.733463966093502,3.16886425991179
"standard","one_step_gamma_poisson","growth_increment_80",10,1,-0.331954637253446,0.913240160561655,1.10823115507546,0.652890203027199
"dense_profiles","one_step_poisson","growth_increment_80",9,1,-0.165313953346609,0.458850735962262,0.514930256012943,0.769308199874548
"diverse_initial","one_step_poisson","growth_increment_80",10,0.9,-0.301679741881484,0.621617827559767,0.510038684816423,1.12386342080776
"longer_followup","one_step_poisson","growth_increment_80",8,0.5,-1.46600254506842,1.79983012131315,0.660491405606342,3.96631418565064
"standard","one_step_poisson","growth_increment_80",10,1,-0.403113636179661,0.918222049475806,1.08573678204666,0.666111873335571
"dense_profiles","one_step_shared_gamma_poisson","growth_increment_80",9,0.888888888888889,-0.120855568359295,0.398487433863939,0.461254171718559,0.897636528206555
