"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","scenario","replicate","method","group"
"survival_50",0.354343693774205,0.347991080739979,0.0232212930767983,0.300992609357047,0.349435461640893,0.392279807233772,TRUE,-0.273568444841362,"standard",1,"recursive_poisson","survival"
"survival_80",0.589040434058665,0.590042518003663,0.0265765248301868,0.540729538501496,0.589883017849631,0.641019282539693,TRUE,0.0377056049051153,"standard",1,"recursive_poisson","survival"
"survival_110",0.789181706522253,0.793865672706105,0.0324768068142825,0.727250946235632,0.796197980137244,0.854773176695099,TRUE,0.144224960619953,"standard",1,"recursive_poisson","survival"
"growth_increment_50",12,12.6223103356348,1.50537591292036,9.80710678301045,12.6306648277098,15.5731473314851,TRUE,0.4133919842171,"standard",1,"recursive_poisson","growth"
"growth_increment_80",8.4,8.45627744357287,1.03385988186365,6.34714348039902,8.49593032352274,10.4563611884106,TRUE,0.0544343044547058,"standard",1,"recursive_poisson","growth"
"growth_increment_110",4.8,4.29024455151098,0.806511168822958,2.66043458041081,4.25738539502065,5.92854890932621,TRUE,-0.632050079644864,"standard",1,"recursive_poisson","growth"
"growth_sd.log_growth_sd",4.5,6.34884549165631,0.80033587929543,4.99441444822857,6.28050652102811,7.88532112552435,FALSE,2.31008697658779,"standard",1,"recursive_poisson","growth"
"recruitment_50",0.019387103915861,0.0970045253295821,0.0369691347070872,0.0470487891572386,0.0903688864897564,0.18815474051138,FALSE,2.09951955945675,"standard",1,"recursive_poisson","recruitment"
"recruitment_80",0.183939720585721,0.404660686622485,0.0673642276483613,0.296349068862417,0.396611185754532,0.554416368705864,FALSE,3.27653079003472,"standard",1,"recursive_poisson","recruitment"
"recruitment_110",1.74517147873092,1.7635072182858,0.151962076608823,1.50612817958153,1.74891363484682,2.10399299905363,TRUE,0.120659969671772,"standard",1,"recursive_poisson","recruitment"
"recruit_mean_50",44,45.3094706942807,1.65085067111468,41.9445480354169,45.2285537451055,48.3574954129116,TRUE,0.793209656810785,"standard",1,"recursive_poisson","recruit_size"
"recruit_mean_80",44.6,45.3994180088479,0.752231499857192,43.9544964952753,45.362599253023,46.7811322135837,TRUE,1.0627287065214,"standard",1,"recursive_poisson","recruit_size"
"recruit_mean_110",45.2,45.4893653234151,0.297999304744885,44.9283806670659,45.49309836458,46.0984913730955,TRUE,0.971026840692847,"standard",1,"recursive_poisson","recruit_size"
