"scenario","replicate","method","success","error","positive_definite","condition_number"
"standard",1,"recursive_poisson",TRUE,"",TRUE,2764.84242016837
"standard",1,"recursive_gamma_poisson",TRUE,"",TRUE,2063.06369880208
"standard",1,"one_step_poisson",TRUE,"",TRUE,3153.98877962132
"standard",1,"one_step_gamma_poisson",TRUE,"",TRUE,2013.0723692134
"standard",1,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1947.992866962
"dense_profiles",1,"recursive_poisson",TRUE,"",TRUE,5504.47977756237
"dense_profiles",1,"recursive_gamma_poisson",TRUE,"",TRUE,4474.6432614119
"dense_profiles",1,"one_step_poisson",TRUE,"",TRUE,4926.50523339743
"dense_profiles",1,"one_step_gamma_poisson",TRUE,"",TRUE,5278.21298254945
"dense_profiles",1,"one_step_shared_gamma_poisson",TRUE,"",TRUE,3410.57889779401
"longer_followup",1,"recursive_poisson",TRUE,"",TRUE,14087.8435255989
"longer_followup",1,"recursive_gamma_poisson",TRUE,"",TRUE,10778.2577625523
"longer_followup",1,"one_step_poisson",TRUE,"",TRUE,1979.80030506384
"longer_followup",1,"one_step_gamma_poisson",TRUE,"",TRUE,872.746733523456
"longer_followup",1,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1116.32926713987
"diverse_initial",1,"recursive_poisson",TRUE,"",TRUE,3906.95925499278
"diverse_initial",1,"recursive_gamma_poisson",TRUE,"",TRUE,10529.677556817
"diverse_initial",1,"one_step_poisson",TRUE,"",TRUE,2484.17129193916
"diverse_initial",1,"one_step_gamma_poisson",TRUE,"",TRUE,5443.47158784009
"diverse_initial",1,"one_step_shared_gamma_poisson",TRUE,"",TRUE,4085.65924088513
"standard",2,"recursive_poisson",TRUE,"",TRUE,6728.4199353948
"standard",2,"recursive_gamma_poisson",TRUE,"",TRUE,5793.97673253515
"standard",2,"one_step_poisson",TRUE,"",TRUE,10752.2470148018
"standard",2,"one_step_gamma_poisson",TRUE,"",TRUE,5250.65269974819
"standard",2,"one_step_shared_gamma_poisson",TRUE,"",TRUE,5006.8992914857
"dense_profiles",2,"recursive_poisson",TRUE,"",TRUE,15936.2229394822
"dense_profiles",2,"recursive_gamma_poisson",TRUE,"",TRUE,10666.0428256394
"dense_profiles",2,"one_step_poisson",TRUE,"",TRUE,4718.20757146455
"dense_profiles",2,"one_step_gamma_poisson",TRUE,"",TRUE,3363.88815920915
"dense_profiles",2,"one_step_shared_gamma_poisson",TRUE,"",TRUE,3563.89644478491
"longer_followup",2,"recursive_poisson",TRUE,"",TRUE,4227.49002382656
"longer_followup",2,"recursive_gamma_poisson",TRUE,"",TRUE,3597.15353762698
"longer_followup",2,"one_step_poisson",TRUE,"",TRUE,2250.81787995478
"longer_followup",2,"one_step_gamma_poisson",TRUE,"",TRUE,1213.90567322022
"longer_followup",2,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1384.9550898104
"diverse_initial",2,"recursive_poisson",TRUE,"",TRUE,11812.280360396
"diverse_initial",2,"recursive_gamma_poisson",TRUE,"",TRUE,7867.25788662254
"diverse_initial",2,"one_step_poisson",TRUE,"",TRUE,7506.04580765959
"diverse_initial",2,"one_step_gamma_poisson",TRUE,"",TRUE,3801.65095922344
"diverse_initial",2,"one_step_shared_gamma_poisson",TRUE,"",TRUE,3620.39449486367
"standard",3,"recursive_poisson",TRUE,"",TRUE,1728.09016198222
"standard",3,"recursive_gamma_poisson",TRUE,"",TRUE,1523.59552184816
"standard",3,"one_step_poisson",TRUE,"",TRUE,1007.77655511999
"standard",3,"one_step_gamma_poisson",TRUE,"",TRUE,1068.92786020513
"standard",3,"one_step_shared_gamma_poisson",TRUE,"",TRUE,860.572803218797
"dense_profiles",3,"recursive_poisson",TRUE,"",TRUE,15227.3126469098
"dense_profiles",3,"recursive_gamma_poisson",TRUE,"",TRUE,12918.5239021877
"dense_profiles",3,"one_step_poisson",TRUE,"",FALSE,5375.23170915599
"dense_profiles",3,"one_step_gamma_poisson",TRUE,"",FALSE,9896.33460754271
"dense_profiles",3,"one_step_shared_gamma_poisson",TRUE,"",TRUE,8063.59819552318
"longer_followup",3,"recursive_poisson",TRUE,"",TRUE,8151.20471067159
"longer_followup",3,"recursive_gamma_poisson",TRUE,"",TRUE,7088.28405404711
"longer_followup",3,"one_step_poisson",TRUE,"",TRUE,1601.08604028533
"longer_followup",3,"one_step_gamma_poisson",TRUE,"",TRUE,12495.6324601282
"longer_followup",3,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1209.54617271199
"diverse_initial",3,"recursive_poisson",TRUE,"",TRUE,5893.99132070935
"diverse_initial",3,"recursive_gamma_poisson",TRUE,"",TRUE,6589.38405404072
"diverse_initial",3,"one_step_poisson",TRUE,"",TRUE,4002.19183777959
"diverse_initial",3,"one_step_gamma_poisson",TRUE,"",TRUE,2315.34630536456
"diverse_initial",3,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1534.13030894237
"standard",4,"recursive_poisson",TRUE,"",TRUE,1779.4446357515
"standard",4,"recursive_gamma_poisson",TRUE,"",TRUE,1708.01132941599
"standard",4,"one_step_poisson",TRUE,"",TRUE,15366.6427997714
"standard",4,"one_step_gamma_poisson",TRUE,"",TRUE,8454.12969309017
"standard",4,"one_step_shared_gamma_poisson",TRUE,"",TRUE,606.327482321063
"dense_profiles",4,"recursive_poisson",TRUE,"",TRUE,12667.50505111
"dense_profiles",4,"recursive_gamma_poisson",TRUE,"",TRUE,7485.34946377156
"dense_profiles",4,"one_step_poisson",TRUE,"",TRUE,6052.1934111572
"dense_profiles",4,"one_step_gamma_poisson",TRUE,"",TRUE,3520.37528561224
"dense_profiles",4,"one_step_shared_gamma_poisson",TRUE,"",TRUE,2937.33287582536
"longer_followup",4,"recursive_poisson",TRUE,"",TRUE,4021.91103933917
"longer_followup",4,"recursive_gamma_poisson",TRUE,"",TRUE,3530.39411159527
"longer_followup",4,"one_step_poisson",TRUE,"",TRUE,1596.14233164965
"longer_followup",4,"one_step_gamma_poisson",TRUE,"",TRUE,1031.05573345518
"longer_followup",4,"one_step_shared_gamma_poisson",TRUE,"",TRUE,954.65026767105
"diverse_initial",4,"recursive_poisson",TRUE,"",TRUE,5867.53689370333
"diverse_initial",4,"recursive_gamma_poisson",TRUE,"",TRUE,5356.00874001232
"diverse_initial",4,"one_step_poisson",TRUE,"",TRUE,2478.50448834014
"diverse_initial",4,"one_step_gamma_poisson",TRUE,"",TRUE,1330.90331103239
"diverse_initial",4,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1391.54852040224
"standard",5,"recursive_poisson",TRUE,"",TRUE,17948.0067888838
"standard",5,"recursive_gamma_poisson",TRUE,"",TRUE,15480.7790693664
"standard",5,"one_step_poisson",TRUE,"",TRUE,2802.87835788771
"standard",5,"one_step_gamma_poisson",TRUE,"",TRUE,2192.23677910072
"standard",5,"one_step_shared_gamma_poisson",TRUE,"",TRUE,2027.00559073835
"dense_profiles",5,"recursive_poisson",TRUE,"",TRUE,20203.663009609
"dense_profiles",5,"recursive_gamma_poisson",TRUE,"",TRUE,10330.6681282921
"dense_profiles",5,"one_step_poisson",TRUE,"",TRUE,6444.42088522663
"dense_profiles",5,"one_step_gamma_poisson",TRUE,"",TRUE,3143.10346627519
"dense_profiles",5,"one_step_shared_gamma_poisson",TRUE,"",TRUE,2178.18769785567
"longer_followup",5,"recursive_poisson",TRUE,"",TRUE,7167.92423815065
"longer_followup",5,"recursive_gamma_poisson",TRUE,"",TRUE,5603.59646554875
"longer_followup",5,"one_step_poisson",TRUE,"",FALSE,3930.62898789687
"longer_followup",5,"one_step_gamma_poisson",TRUE,"",TRUE,3267.50131577679
"longer_followup",5,"one_step_shared_gamma_poisson",TRUE,"",TRUE,2784.38156990716
"diverse_initial",5,"recursive_poisson",TRUE,"",TRUE,19772.9453641022
"diverse_initial",5,"recursive_gamma_poisson",TRUE,"",TRUE,18168.882762041
"diverse_initial",5,"one_step_poisson",TRUE,"",TRUE,2394.15309554719
"diverse_initial",5,"one_step_gamma_poisson",TRUE,"",TRUE,4186.09176282629
"diverse_initial",5,"one_step_shared_gamma_poisson",TRUE,"",FALSE,8.45898184817342e+22
"standard",6,"recursive_poisson",TRUE,"",TRUE,3018.44049267298
"standard",6,"recursive_gamma_poisson",TRUE,"",TRUE,2684.0110063247
"standard",6,"one_step_poisson",TRUE,"",TRUE,1485.44461095193
"standard",6,"one_step_gamma_poisson",TRUE,"",TRUE,960.089636690903
"standard",6,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1120.03145753632
"dense_profiles",6,"recursive_poisson",TRUE,"",TRUE,7501.61944478217
"dense_profiles",6,"recursive_gamma_poisson",TRUE,"",TRUE,12067.6455607855
"dense_profiles",6,"one_step_poisson",TRUE,"",TRUE,3995.54118739575
"dense_profiles",6,"one_step_gamma_poisson",TRUE,"",TRUE,7197.01400285818
"dense_profiles",6,"one_step_shared_gamma_poisson",TRUE,"",FALSE,250303.620582166
"longer_followup",6,"recursive_poisson",TRUE,"",TRUE,4236.48051725467
"longer_followup",6,"recursive_gamma_poisson",TRUE,"",TRUE,2828.75289614058
"longer_followup",6,"one_step_poisson",TRUE,"",TRUE,1753.39221661224
"longer_followup",6,"one_step_gamma_poisson",TRUE,"",TRUE,789.416015017582
"longer_followup",6,"one_step_shared_gamma_poisson",TRUE,"",TRUE,887.931284063466
"diverse_initial",6,"recursive_poisson",TRUE,"",TRUE,1052.29349393488
"diverse_initial",6,"recursive_gamma_poisson",TRUE,"",TRUE,1071.53462185256
"diverse_initial",6,"one_step_poisson",TRUE,"",TRUE,1621.27439822089
"diverse_initial",6,"one_step_gamma_poisson",TRUE,"",TRUE,815.872222407749
"diverse_initial",6,"one_step_shared_gamma_poisson",TRUE,"",TRUE,900.875537160247
"standard",7,"recursive_poisson",TRUE,"",TRUE,8589.87385018372
"standard",7,"recursive_gamma_poisson",TRUE,"",TRUE,7775.56892734193
"standard",7,"one_step_poisson",TRUE,"",TRUE,1760.62635877961
"standard",7,"one_step_gamma_poisson",TRUE,"",TRUE,1169.53447520159
"standard",7,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1193.01183307372
"dense_profiles",7,"recursive_poisson",TRUE,"",TRUE,2995.28846791752
"dense_profiles",7,"recursive_gamma_poisson",TRUE,"",TRUE,2503.68336923751
"dense_profiles",7,"one_step_poisson",TRUE,"",TRUE,1490.63524898018
"dense_profiles",7,"one_step_gamma_poisson",TRUE,"",TRUE,1057.77381364261
"dense_profiles",7,"one_step_shared_gamma_poisson",TRUE,"",TRUE,948.209240312638
"longer_followup",7,"recursive_poisson",TRUE,"",TRUE,7007.9325473391
"longer_followup",7,"recursive_gamma_poisson",TRUE,"",TRUE,5942.15568255905
"longer_followup",7,"one_step_poisson",TRUE,"",TRUE,344.963803593638
"longer_followup",7,"one_step_gamma_poisson",TRUE,"",TRUE,9624.70266157981
"longer_followup",7,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1018.97462958505
"diverse_initial",7,"recursive_poisson",TRUE,"",TRUE,9156.29520695828
"diverse_initial",7,"recursive_gamma_poisson",TRUE,"",TRUE,7680.53735124286
"diverse_initial",7,"one_step_poisson",TRUE,"",TRUE,11792.414224242
"diverse_initial",7,"one_step_gamma_poisson",TRUE,"",TRUE,8780.10724804183
"diverse_initial",7,"one_step_shared_gamma_poisson",TRUE,"",TRUE,5674.2287903197
"standard",8,"recursive_poisson",TRUE,"",FALSE,9599.40078727031
"standard",8,"recursive_gamma_poisson",TRUE,"",TRUE,4522.9539712996
"standard",8,"one_step_poisson",TRUE,"",TRUE,1516.22695501392
"standard",8,"one_step_gamma_poisson",TRUE,"",TRUE,882.144571073999
"standard",8,"one_step_shared_gamma_poisson",TRUE,"",TRUE,895.749793320079
"dense_profiles",8,"recursive_poisson",TRUE,"",TRUE,3463.10532747151
"dense_profiles",8,"recursive_gamma_poisson",TRUE,"",TRUE,3050.38968743477
"dense_profiles",8,"one_step_poisson",TRUE,"",TRUE,3171.81970251751
"dense_profiles",8,"one_step_gamma_poisson",TRUE,"",TRUE,4810.420938043
"dense_profiles",8,"one_step_shared_gamma_poisson",TRUE,"",TRUE,5190.18777903533
"longer_followup",8,"recursive_poisson",TRUE,"",TRUE,4191815.58375598
"longer_followup",8,"recursive_gamma_poisson",TRUE,"",TRUE,2793412.61122146
"longer_followup",8,"one_step_poisson",TRUE,"",TRUE,23000.4033211567
"longer_followup",8,"one_step_gamma_poisson",TRUE,"",TRUE,19638.6518689686
"longer_followup",8,"one_step_shared_gamma_poisson",TRUE,"",TRUE,900.203366690282
"diverse_initial",8,"recursive_poisson",TRUE,"",TRUE,2989.73207932833
"diverse_initial",8,"recursive_gamma_poisson",TRUE,"",TRUE,1347.70042997072
"diverse_initial",8,"one_step_poisson",TRUE,"",TRUE,5265.54628398395
"diverse_initial",8,"one_step_gamma_poisson",TRUE,"",TRUE,3354.01706896604
"diverse_initial",8,"one_step_shared_gamma_poisson",TRUE,"",TRUE,5625.50134948071
"standard",9,"recursive_poisson",TRUE,"",TRUE,1191.93546570405
"standard",9,"recursive_gamma_poisson",TRUE,"",TRUE,1756.83702197718
"standard",9,"one_step_poisson",TRUE,"",TRUE,1256.23094103563
"standard",9,"one_step_gamma_poisson",TRUE,"",TRUE,1869.22028047597
"standard",9,"one_step_shared_gamma_poisson",TRUE,"",TRUE,919.008299951737
"dense_profiles",9,"recursive_poisson",TRUE,"",TRUE,25277.0331836327
"dense_profiles",9,"recursive_gamma_poisson",TRUE,"",TRUE,18642.8790200928
"dense_profiles",9,"one_step_poisson",TRUE,"",TRUE,8157.36551803289
"dense_profiles",9,"one_step_gamma_poisson",TRUE,"",TRUE,5538.43623473244
"dense_profiles",9,"one_step_shared_gamma_poisson",TRUE,"",TRUE,3909.67745104464
"longer_followup",9,"recursive_poisson",TRUE,"",TRUE,4817.17913292894
"longer_followup",9,"recursive_gamma_poisson",TRUE,"",TRUE,4300.38610563566
"longer_followup",9,"one_step_poisson",TRUE,"",FALSE,1129.47454351714
"longer_followup",9,"one_step_gamma_poisson",TRUE,"",TRUE,967.991174300214
"longer_followup",9,"one_step_shared_gamma_poisson",TRUE,"",TRUE,691.804895421316
"diverse_initial",9,"recursive_poisson",TRUE,"",TRUE,12424.296977752
"diverse_initial",9,"recursive_gamma_poisson",TRUE,"",TRUE,11485.374012187
"diverse_initial",9,"one_step_poisson",TRUE,"",TRUE,10954.2660078011
"diverse_initial",9,"one_step_gamma_poisson",TRUE,"",TRUE,4512.77509143973
"diverse_initial",9,"one_step_shared_gamma_poisson",TRUE,"",TRUE,4615.87563298032
"standard",10,"recursive_poisson",TRUE,"",TRUE,9899.53899023701
"standard",10,"recursive_gamma_poisson",TRUE,"",TRUE,9592.83737213051
"standard",10,"one_step_poisson",TRUE,"",TRUE,954.400628050058
"standard",10,"one_step_gamma_poisson",TRUE,"",TRUE,819.711819332823
"standard",10,"one_step_shared_gamma_poisson",TRUE,"",TRUE,553.535900697536
"dense_profiles",10,"recursive_poisson",TRUE,"",TRUE,8515.17868467453
"dense_profiles",10,"recursive_gamma_poisson",TRUE,"",TRUE,6174.20964988943
"dense_profiles",10,"one_step_poisson",TRUE,"",TRUE,6987.35703303604
"dense_profiles",10,"one_step_gamma_poisson",TRUE,"",TRUE,5219.40743309743
"dense_profiles",10,"one_step_shared_gamma_poisson",TRUE,"",TRUE,3606.78457864037
"longer_followup",10,"recursive_poisson",TRUE,"",TRUE,6335.05052749043
"longer_followup",10,"recursive_gamma_poisson",TRUE,"",TRUE,4618.25688145937
"longer_followup",10,"one_step_poisson",TRUE,"",TRUE,3050.31348022756
"longer_followup",10,"one_step_gamma_poisson",TRUE,"",TRUE,1850.7625327145
"longer_followup",10,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1716.22236599825
"diverse_initial",10,"recursive_poisson",TRUE,"",TRUE,6853.41790684607
"diverse_initial",10,"recursive_gamma_poisson",TRUE,"",TRUE,3961.69293650318
"diverse_initial",10,"one_step_poisson",TRUE,"",TRUE,5784.1113949314
"diverse_initial",10,"one_step_gamma_poisson",TRUE,"",TRUE,2691.91582442008
"diverse_initial",10,"one_step_shared_gamma_poisson",TRUE,"",TRUE,2768.50831565832
