"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"parent_excitation_dense","one_step_finite_population_overdispersed","growth",400,0.745,-0.081220655213755,0.129174128397585,0.0761315417077837,1.41879118275759
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth",396,0.921717171717172,-0.0605296705558164,0.191543985122725,0.174583162810528,0.919241153943883
"parent_excitation_dense","one_step_gamma_poisson","growth",400,0.7975,-0.0814102657852426,0.129308623242515,0.0905000895311863,1.21888936647457
"parent_excitation_sparse","one_step_gamma_poisson","growth",400,0.97,-0.0585335887219252,0.176536177395264,0.183962822766497,0.801861517380369
"parent_excitation_dense","one_step_finite_population_overdispersed","lambda",100,0.95,-0.00101454360690004,0.00601670770314249,0.00603557588639948,0.801559478838732
"parent_excitation_sparse","one_step_finite_population_overdispersed","lambda",99,0.96969696969697,-0.00770862151926448,0.0243752783654407,0.0273122372744331,0.694572672521768
"parent_excitation_dense","one_step_gamma_poisson","lambda",100,1,-0.00114146683500335,0.00659816778568956,0.0121172708846218,0.437813598443099
"parent_excitation_sparse","one_step_gamma_poisson","lambda",100,0.96,-0.00377858734179688,0.0219936170524241,0.024741072973902,0.706445164686254
"parent_excitation_dense","one_step_finite_population_overdispersed","recruit_size",400,0.9475,0.00531213747512094,0.101662211797442,0.085863695844793,0.791026726359051
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruit_size",396,0.893939393939394,0.0171122459194478,0.233486810220497,0.163727865358843,0.941349273006132
"parent_excitation_dense","one_step_gamma_poisson","recruit_size",400,0.95,0.00227231585958994,0.0983852171169131,0.0922161827168006,0.719899333345427
"parent_excitation_sparse","one_step_gamma_poisson","recruit_size",400,0.95,0.0156936515324017,0.235183572920892,0.18844053135516,0.82085351701798
"parent_excitation_dense","one_step_finite_population_overdispersed","recruitment",300,0.906666666666667,-0.0045759423334959,0.0276038193141437,0.0145267365598347,0.964747677738301
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruitment",297,0.946127946127946,-0.00491034675340954,0.0391622603785956,0.0277797484353672,0.791676538736773
"parent_excitation_dense","one_step_gamma_poisson","recruitment",300,0.693333333333333,-0.00262718765067559,0.0287914818893385,0.0108860702599113,1.50669573036535
"parent_excitation_sparse","one_step_gamma_poisson","recruitment",300,0.876666666666667,0.00149498515725696,0.0398772819369174,0.0224032501164432,1.00869787092238
"parent_excitation_dense","one_step_finite_population_overdispersed","survival",300,0.933333333333333,0.00152625145282286,0.00580478306287403,0.00562035972487986,0.836456592622964
"parent_excitation_sparse","one_step_finite_population_overdispersed","survival",297,0.986531986531986,-0.00237422589126532,0.0194389366335636,0.0212167599353114,0.700982066602673
"parent_excitation_dense","one_step_gamma_poisson","survival",300,0.996666666666667,0.00140253874889174,0.00618448654103967,0.0100925154254713,0.514872843732813
"parent_excitation_sparse","one_step_gamma_poisson","survival",300,0.98,0.000245722365889969,0.0179933023264193,0.0205156942699592,0.686665172356845
