"scenario","method","quantity","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"parent_excitation_dense","one_step_finite_population_overdispersed","growth_increment_110",100,0.92,-0.0344444906431214,0.0778940195205852,0.0663660644730717,0.943851135539482
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth_increment_110",99,0.96969696969697,-0.0137978428036539,0.178012733617897,0.171847537975108,0.848093209005791
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_110",100,0.98,-0.0342991242367182,0.0798860279777898,0.0866029347109914,0.759977593414581
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_110",100,0.99,-0.0165549858426825,0.163252070958293,0.174975086288278,0.792719066482489
"parent_excitation_dense","one_step_finite_population_overdispersed","growth_increment_50",100,0.91,-0.0630289633375963,0.121864610896734,0.105165523176138,0.901530551005648
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth_increment_50",99,0.94949494949495,-0.0599383687253004,0.226203864997134,0.233318852007073,0.78847561457214
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_50",100,0.93,-0.0620784539389004,0.120922747857458,0.12063172876763,0.78498377479525
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_50",100,0.99,-0.0693272843688125,0.2146944758162,0.247676249086079,0.704679535583541
"parent_excitation_dense","one_step_finite_population_overdispersed","growth_increment_80",100,0.89,-0.0487367269903581,0.0880772136930303,0.0690617190933417,0.998275953104309
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth_increment_80",99,0.95959595959596,-0.0368681057644774,0.161820565356877,0.158565019742297,0.845631657611474
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_80",100,0.93,-0.0481887890878098,0.0886050254230043,0.081204566734106,0.86168275911124
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_80",100,0.97,-0.0429411351057473,0.155819053966847,0.166300955990763,0.77541006731835
"parent_excitation_dense","one_step_finite_population_overdispersed","growth_sd.log_growth_sd",100,0.26,-0.178672439883944,0.195109621882392,0.0639328600885836,2.8315070913809
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth_sd.log_growth_sd",99,0.808080808080808,-0.131514364929834,0.194200349393615,0.134601241517634,1.19476413458613
"parent_excitation_dense","one_step_gamma_poisson","growth_sd.log_growth_sd",100,0.35,-0.181074695877542,0.195007541479351,0.0735611279120171,2.4689133385772
"parent_excitation_sparse","one_step_gamma_poisson","growth_sd.log_growth_sd",100,0.93,-0.105310949570458,0.166239446341836,0.146898999700866,0.934637400137096
"parent_excitation_dense","one_step_finite_population_overdispersed","lambda",100,0.95,-0.00101454360690004,0.00601670770314249,0.00603557588639948,0.801559478838732
"parent_excitation_sparse","one_step_finite_population_overdispersed","lambda",99,0.96969696969697,-0.00770862151926448,0.0243752783654407,0.0273122372744331,0.694572672521768
"parent_excitation_dense","one_step_gamma_poisson","lambda",100,1,-0.00114146683500335,0.00659816778568956,0.0121172708846218,0.437813598443099
"parent_excitation_sparse","one_step_gamma_poisson","lambda",100,0.96,-0.00377858734179688,0.0219936170524241,0.024741072973902,0.706445164686254
"parent_excitation_dense","one_step_finite_population_overdispersed","recruit_mean_110",100,0.95,0.00251310238923679,0.0523296944135042,0.0510541303311879,0.832523784879282
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruit_mean_110",99,0.878787878787879,0.00416752467525356,0.117298612723077,0.0971914168619127,0.976899725559578
"parent_excitation_dense","one_step_gamma_poisson","recruit_mean_110",100,0.94,0.0013076205084571,0.0500787297085784,0.0540834487842838,0.735761482398557
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_110",100,0.95,0.00287051965743402,0.116218709559056,0.109586136902987,0.857838415238687
"parent_excitation_dense","one_step_finite_population_overdispersed","recruit_mean_50",100,0.95,0.0136468155393148,0.163650534275653,0.165454956419718,0.792075932751072
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruit_mean_50",99,0.888888888888889,0.0453981105852185,0.377100747169851,0.314524300210088,0.951590676301986
"parent_excitation_dense","one_step_gamma_poisson","recruit_mean_50",100,0.95,0.00609682486354594,0.158580799065977,0.178165540071723,0.715012351951108
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_50",100,0.95,0.0431809902609535,0.381060098646172,0.364535593420781,0.823046983313646
"parent_excitation_dense","one_step_finite_population_overdispersed","recruit_mean_80",100,0.95,0.0080799589642769,0.10706639576376,0.106762338314301,0.803060869347804
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruit_mean_80",99,0.909090909090909,0.0247828176302397,0.245289875787775,0.202645972290849,0.967272214717348
"parent_excitation_dense","one_step_gamma_poisson","recruit_mean_80",100,0.95,0.00370222268600194,0.103264360930375,0.114113437635731,0.723848633573578
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_80",100,0.95,0.0230257549591953,0.245933943526335,0.23262579800543,0.839125452112463
"parent_excitation_dense","one_step_finite_population_overdispersed","recruit_sd.log_recruit_sd",100,0.94,-0.00299132699234485,0.0189133244627257,0.0201833583139649,0.736446318458046
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruit_sd.log_recruit_sd",99,0.898989898989899,-0.00589946921292063,0.0439693184046554,0.0405497720725219,0.869634475445613
"parent_excitation_dense","one_step_gamma_poisson","recruit_sd.log_recruit_sd",100,0.96,-0.00201740461964526,0.0199831566220426,0.022502304375464,0.704974865458465
"parent_excitation_sparse","one_step_gamma_poisson","recruit_sd.log_recruit_sd",100,0.95,-0.00630265874797595,0.0452566025804923,0.0470145970914397,0.763403217407122
"parent_excitation_dense","one_step_finite_population_overdispersed","recruitment_110",100,0.85,-0.0132821520404719,0.0469605696745527,0.0346050760944565,1.08773639317721
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruitment_110",99,0.93939393939394,-0.015889544611952,0.0663862502646866,0.0665771238352192,0.82523031560519
"parent_excitation_dense","one_step_gamma_poisson","recruitment_110",100,0.72,-0.00835254415654598,0.0486437162209489,0.0257940599436492,1.48401791649042
"parent_excitation_sparse","one_step_gamma_poisson","recruitment_110",100,0.87,0.000892236139109178,0.0672001253540198,0.0529744100578405,1.00244405001388
"parent_excitation_dense","one_step_finite_population_overdispersed","recruitment_50",100,0.95,7.27567788715339e-05,0.00149723406611182,0.00132888145397078,0.886148106857475
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruitment_50",99,0.929292929292929,0.00043727727750786,0.00246841821134216,0.00247579149912553,0.786558889726866
"parent_excitation_dense","one_step_gamma_poisson","recruitment_50",100,0.68,0.000190244190206387,0.00189111781084809,0.000986985167009095,1.53751492770176
"parent_excitation_sparse","one_step_gamma_poisson","recruitment_50",100,0.87,0.000707450222743941,0.00288786420564852,0.0020749500954852,1.0383044765558
"parent_excitation_dense","one_step_finite_population_overdispersed","recruitment_80",100,0.92,-0.000518431738887289,0.00885300560128805,0.00764625213107689,0.920358533180215
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruitment_80",99,0.96969696969697,0.000721227074215512,0.0137047656386771,0.014286329971757,0.763240410878263
"parent_excitation_dense","one_step_gamma_poisson","recruitment_80",100,0.68,0.000280737014312823,0.0108194655040632,0.00587716566907554,1.49855434690387
"parent_excitation_sparse","one_step_gamma_poisson","recruitment_80",100,0.89,0.00288526910991777,0.015697013625622,0.0121603901960038,0.98534508619746
"parent_excitation_dense","one_step_finite_population_overdispersed","survival_110",100,0.94,0.00202541026132606,0.00606580250539647,0.00602540153849209,0.827870991054921
"parent_excitation_sparse","one_step_finite_population_overdispersed","survival_110",99,0.98989898989899,-0.00588357583175059,0.0247078663356567,0.0284658368669316,0.693686042581296
"parent_excitation_dense","one_step_gamma_poisson","survival_110",100,1,0.00191070385613619,0.00659743722806534,0.013044496344201,0.41453168641039
"parent_excitation_sparse","one_step_gamma_poisson","survival_110",100,0.99,-0.00230396852142013,0.0223527708524572,0.0262926231000594,0.67886286696472
"parent_excitation_dense","one_step_finite_population_overdispersed","survival_50",100,0.96,0.000673151021013067,0.00540301914423286,0.00547360783288704,0.771472382866645
