"scenario","replicate","method","success","error","positive_definite","condition_number"
"parent_excitation_sparse",1,"one_step_gamma_poisson",TRUE,"",TRUE,37848.8291798125
"parent_excitation_sparse",1,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9098.76265263404
"parent_excitation_dense",1,"one_step_gamma_poisson",TRUE,"",TRUE,45892.3519266505
"parent_excitation_dense",1,"one_step_finite_population_overdispersed",TRUE,"",TRUE,22530.383235368
"parent_excitation_sparse",2,"one_step_gamma_poisson",TRUE,"",TRUE,2138.14347824027
"parent_excitation_sparse",2,"one_step_finite_population_overdispersed",TRUE,"",TRUE,3415.90662507363
"parent_excitation_dense",2,"one_step_gamma_poisson",TRUE,"",TRUE,8948.01206187533
"parent_excitation_dense",2,"one_step_finite_population_overdispersed",TRUE,"",TRUE,28088.4118807071
"parent_excitation_sparse",3,"one_step_gamma_poisson",TRUE,"",TRUE,1790.1663390879
"parent_excitation_sparse",3,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9436.86603539037
"parent_excitation_dense",3,"one_step_gamma_poisson",TRUE,"",TRUE,19970.4248288412
"parent_excitation_dense",3,"one_step_finite_population_overdispersed",TRUE,"",TRUE,21335.0825192941
"parent_excitation_sparse",4,"one_step_gamma_poisson",TRUE,"",TRUE,2450.5471770451
"parent_excitation_sparse",4,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9941.74687755752
"parent_excitation_dense",4,"one_step_gamma_poisson",TRUE,"",TRUE,17491.6974920439
"parent_excitation_dense",4,"one_step_finite_population_overdispersed",TRUE,"",TRUE,26559.4170733285
"parent_excitation_sparse",5,"one_step_gamma_poisson",TRUE,"",TRUE,2153.71209712328
"parent_excitation_sparse",5,"one_step_finite_population_overdispersed",TRUE,"",FALSE,21721.4913179061
"parent_excitation_dense",5,"one_step_gamma_poisson",TRUE,"",TRUE,21580.1893702876
"parent_excitation_dense",5,"one_step_finite_population_overdispersed",TRUE,"",TRUE,22134.3808407263
"parent_excitation_sparse",6,"one_step_gamma_poisson",TRUE,"",TRUE,1887.27405153999
"parent_excitation_sparse",6,"one_step_finite_population_overdispersed",TRUE,"",TRUE,7811.07278698732
"parent_excitation_dense",6,"one_step_gamma_poisson",TRUE,"",TRUE,65383.7200756238
"parent_excitation_dense",6,"one_step_finite_population_overdispersed",TRUE,"",TRUE,25595.9552252161
"parent_excitation_sparse",7,"one_step_gamma_poisson",TRUE,"",TRUE,2084.66029595014
"parent_excitation_sparse",7,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8689.12956831184
"parent_excitation_dense",7,"one_step_gamma_poisson",TRUE,"",TRUE,11534.3007995033
"parent_excitation_dense",7,"one_step_finite_population_overdispersed",TRUE,"",TRUE,25510.7627959925
"parent_excitation_sparse",8,"one_step_gamma_poisson",TRUE,"",TRUE,788.247278931821
"parent_excitation_sparse",8,"one_step_finite_population_overdispersed",TRUE,"",TRUE,5234.36987952244
"parent_excitation_dense",8,"one_step_gamma_poisson",TRUE,"",TRUE,105362.985733157
"parent_excitation_dense",8,"one_step_finite_population_overdispersed",TRUE,"",TRUE,27782.1755798761
"parent_excitation_sparse",9,"one_step_gamma_poisson",TRUE,"",TRUE,27352.8828375732
"parent_excitation_sparse",9,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8250.66651212886
"parent_excitation_dense",9,"one_step_gamma_poisson",TRUE,"",TRUE,10515.826589122
"parent_excitation_dense",9,"one_step_finite_population_overdispersed",TRUE,"",TRUE,13132.141019911
"parent_excitation_sparse",10,"one_step_gamma_poisson",TRUE,"",TRUE,2374.07309228768
"parent_excitation_sparse",10,"one_step_finite_population_overdispersed",TRUE,"",TRUE,5684.8680861162
"parent_excitation_dense",10,"one_step_gamma_poisson",TRUE,"",TRUE,18739.8965474621
"parent_excitation_dense",10,"one_step_finite_population_overdispersed",TRUE,"",TRUE,24646.4768347758
"parent_excitation_sparse",11,"one_step_gamma_poisson",TRUE,"",TRUE,15561.3233248506
"parent_excitation_sparse",11,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8757.89410988545
"parent_excitation_dense",11,"one_step_gamma_poisson",TRUE,"",TRUE,149959.891859748
"parent_excitation_dense",11,"one_step_finite_population_overdispersed",TRUE,"",TRUE,27195.4450550159
"parent_excitation_sparse",12,"one_step_gamma_poisson",TRUE,"",TRUE,6224.35176708099
"parent_excitation_sparse",12,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9045.79343106256
"parent_excitation_dense",12,"one_step_gamma_poisson",TRUE,"",TRUE,21102.5777407211
"parent_excitation_dense",12,"one_step_finite_population_overdispersed",TRUE,"",TRUE,23222.5975969366
"parent_excitation_sparse",13,"one_step_gamma_poisson",TRUE,"",TRUE,29781.9440106139
"parent_excitation_sparse",13,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9426.51333088498
"parent_excitation_dense",13,"one_step_gamma_poisson",TRUE,"",TRUE,8712.08654356958
"parent_excitation_dense",13,"one_step_finite_population_overdispersed",TRUE,"",TRUE,26523.9617792123
"parent_excitation_sparse",14,"one_step_gamma_poisson",TRUE,"",TRUE,5644.16872251737
"parent_excitation_sparse",14,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9520.82110399343
"parent_excitation_dense",14,"one_step_gamma_poisson",TRUE,"",TRUE,10170.8721065977
"parent_excitation_dense",14,"one_step_finite_population_overdispersed",TRUE,"",TRUE,16470.3519507744
"parent_excitation_sparse",15,"one_step_gamma_poisson",TRUE,"",TRUE,2892.56486125601
"parent_excitation_sparse",15,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8410.47480580318
"parent_excitation_dense",15,"one_step_gamma_poisson",TRUE,"",TRUE,18542.1593997743
"parent_excitation_dense",15,"one_step_finite_population_overdispersed",TRUE,"",TRUE,26614.0002243793
"parent_excitation_sparse",16,"one_step_gamma_poisson",TRUE,"",TRUE,1240.18187648368
"parent_excitation_sparse",16,"one_step_finite_population_overdispersed",TRUE,"",TRUE,5099.29112320657
"parent_excitation_dense",16,"one_step_gamma_poisson",TRUE,"",TRUE,11531.3390767611
"parent_excitation_dense",16,"one_step_finite_population_overdispersed",TRUE,"",TRUE,24260.9774616557
"parent_excitation_sparse",17,"one_step_gamma_poisson",TRUE,"",TRUE,2432.11458100834
"parent_excitation_sparse",17,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8107.17906347547
"parent_excitation_dense",17,"one_step_gamma_poisson",TRUE,"",TRUE,91251.562513734
"parent_excitation_dense",17,"one_step_finite_population_overdispersed",TRUE,"",TRUE,17578.4741704241
"parent_excitation_sparse",18,"one_step_gamma_poisson",TRUE,"",TRUE,2106.95824760793
"parent_excitation_sparse",18,"one_step_finite_population_overdispersed",TRUE,"",TRUE,5314.91204331161
"parent_excitation_dense",18,"one_step_gamma_poisson",TRUE,"",TRUE,19864.317767003
"parent_excitation_dense",18,"one_step_finite_population_overdispersed",TRUE,"",TRUE,19831.3796236633
"parent_excitation_sparse",19,"one_step_gamma_poisson",TRUE,"",TRUE,5226.2163849514
"parent_excitation_sparse",19,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8344.4753041743
"parent_excitation_dense",19,"one_step_gamma_poisson",TRUE,"",TRUE,48383.1678252719
"parent_excitation_dense",19,"one_step_finite_population_overdispersed",TRUE,"",TRUE,26371.801577923
"parent_excitation_sparse",20,"one_step_gamma_poisson",TRUE,"",TRUE,3264.49822615299
"parent_excitation_sparse",20,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9359.54101697322
"parent_excitation_dense",20,"one_step_gamma_poisson",TRUE,"",TRUE,77360.3224391752
"parent_excitation_dense",20,"one_step_finite_population_overdispersed",TRUE,"",TRUE,26629.0148553192
"parent_excitation_sparse",21,"one_step_gamma_poisson",TRUE,"",TRUE,29223.4983290479
"parent_excitation_sparse",21,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8649.40942538833
"parent_excitation_dense",21,"one_step_gamma_poisson",TRUE,"",TRUE,94626.2803194104
"parent_excitation_dense",21,"one_step_finite_population_overdispersed",TRUE,"",TRUE,29149.5276783593
"parent_excitation_sparse",22,"one_step_gamma_poisson",TRUE,"",TRUE,14647.9577509846
"parent_excitation_sparse",22,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8060.24654967668
"parent_excitation_dense",22,"one_step_gamma_poisson",TRUE,"",TRUE,8688.05502530909
"parent_excitation_dense",22,"one_step_finite_population_overdispersed",TRUE,"",TRUE,19694.0721788703
"parent_excitation_sparse",23,"one_step_gamma_poisson",TRUE,"",TRUE,9296.44807166196
"parent_excitation_sparse",23,"one_step_finite_population_overdispersed",TRUE,"",TRUE,7331.97316371863
"parent_excitation_dense",23,"one_step_gamma_poisson",TRUE,"",TRUE,13537.5684250775
"parent_excitation_dense",23,"one_step_finite_population_overdispersed",TRUE,"",TRUE,24431.8289039001
"parent_excitation_sparse",24,"one_step_gamma_poisson",TRUE,"",TRUE,3641.2131154068
"parent_excitation_sparse",24,"one_step_finite_population_overdispersed",TRUE,"",TRUE,5236.14528731998
"parent_excitation_dense",24,"one_step_gamma_poisson",TRUE,"",TRUE,94354.0415649044
"parent_excitation_dense",24,"one_step_finite_population_overdispersed",TRUE,"",TRUE,25485.7721322602
"parent_excitation_sparse",25,"one_step_gamma_poisson",TRUE,"",TRUE,1387.56852899364
"parent_excitation_sparse",25,"one_step_finite_population_overdispersed",TRUE,"",TRUE,7087.51740622478
"parent_excitation_dense",25,"one_step_gamma_poisson",TRUE,"",TRUE,28995.5521469367
"parent_excitation_dense",25,"one_step_finite_population_overdispersed",TRUE,"",TRUE,12163.618048862
"parent_excitation_sparse",26,"one_step_gamma_poisson",TRUE,"",TRUE,1891.99480066148
"parent_excitation_sparse",26,"one_step_finite_population_overdispersed",TRUE,"",TRUE,10275.7126598252
"parent_excitation_dense",26,"one_step_gamma_poisson",TRUE,"",TRUE,11717.2927936912
"parent_excitation_dense",26,"one_step_finite_population_overdispersed",TRUE,"",TRUE,29586.0935275376
"parent_excitation_sparse",27,"one_step_gamma_poisson",TRUE,"",TRUE,14669.6301191535
"parent_excitation_sparse",27,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8427.39550639601
"parent_excitation_dense",27,"one_step_gamma_poisson",TRUE,"",TRUE,24401.3100040038
"parent_excitation_dense",27,"one_step_finite_population_overdispersed",TRUE,"",TRUE,23851.6841940757
"parent_excitation_sparse",28,"one_step_gamma_poisson",TRUE,"",TRUE,43304.8725826133
"parent_excitation_sparse",28,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8960.43372012153
"parent_excitation_dense",28,"one_step_gamma_poisson",TRUE,"",TRUE,102593.699490281
"parent_excitation_dense",28,"one_step_finite_population_overdispersed",TRUE,"",TRUE,24736.8215553552
"parent_excitation_sparse",29,"one_step_gamma_poisson",TRUE,"",TRUE,1367.53910211955
"parent_excitation_sparse",29,"one_step_finite_population_overdispersed",TRUE,"",TRUE,5688.46225753724
"parent_excitation_dense",29,"one_step_gamma_poisson",TRUE,"",TRUE,4403.39746895054
"parent_excitation_dense",29,"one_step_finite_population_overdispersed",TRUE,"",TRUE,19733.8259016292
"parent_excitation_sparse",30,"one_step_gamma_poisson",TRUE,"",TRUE,10282.2559996407
"parent_excitation_sparse",30,"one_step_finite_population_overdispersed",TRUE,"",TRUE,7123.82169578338
"parent_excitation_dense",30,"one_step_gamma_poisson",TRUE,"",TRUE,32017.3552067111
"parent_excitation_dense",30,"one_step_finite_population_overdispersed",TRUE,"",TRUE,23360.8432362169
"parent_excitation_sparse",31,"one_step_gamma_poisson",TRUE,"",TRUE,42066.3294358333
"parent_excitation_sparse",31,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9308.65547475451
"parent_excitation_dense",31,"one_step_gamma_poisson",TRUE,"",TRUE,47108.6365060078
"parent_excitation_dense",31,"one_step_finite_population_overdispersed",TRUE,"",TRUE,23377.7116661081
"parent_excitation_sparse",32,"one_step_gamma_poisson",TRUE,"",TRUE,29082.29626067
"parent_excitation_sparse",32,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9617.61693084614
"parent_excitation_dense",32,"one_step_gamma_poisson",TRUE,"",TRUE,7234.11460786368
"parent_excitation_dense",32,"one_step_finite_population_overdispersed",TRUE,"",TRUE,17367.1020260392
"parent_excitation_sparse",33,"one_step_gamma_poisson",TRUE,"",TRUE,7001.8533945888
"parent_excitation_sparse",33,"one_step_finite_population_overdispersed",TRUE,"",TRUE,5617.28304079719
"parent_excitation_dense",33,"one_step_gamma_poisson",TRUE,"",TRUE,65453.0913406932
"parent_excitation_dense",33,"one_step_finite_population_overdispersed",TRUE,"",TRUE,23214.8977311685
"parent_excitation_sparse",34,"one_step_gamma_poisson",TRUE,"",TRUE,22096.2340571726
"parent_excitation_sparse",34,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9069.13932171323
"parent_excitation_dense",34,"one_step_gamma_poisson",TRUE,"",TRUE,37523.2101126158
"parent_excitation_dense",34,"one_step_finite_population_overdispersed",TRUE,"",TRUE,27603.171022845
"parent_excitation_sparse",35,"one_step_gamma_poisson",TRUE,"",TRUE,6600.02933411862
"parent_excitation_sparse",35,"one_step_finite_population_overdispersed",TRUE,"",TRUE,7418.63671157023
"parent_excitation_dense",35,"one_step_gamma_poisson",TRUE,"",TRUE,32922.6656342113
"parent_excitation_dense",35,"one_step_finite_population_overdispersed",TRUE,"",TRUE,30067.314791981
"parent_excitation_sparse",36,"one_step_gamma_poisson",TRUE,"",TRUE,32866.7051404728
"parent_excitation_sparse",36,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8448.8501707247
"parent_excitation_dense",36,"one_step_gamma_poisson",TRUE,"",TRUE,65588.9409983974
"parent_excitation_dense",36,"one_step_finite_population_overdispersed",TRUE,"",TRUE,24808.4646760002
"parent_excitation_sparse",37,"one_step_gamma_poisson",TRUE,"",TRUE,2807.32935589318
"parent_excitation_sparse",37,"one_step_finite_population_overdispersed",TRUE,"",TRUE,7255.42933882189
"parent_excitation_dense",37,"one_step_gamma_poisson",TRUE,"",TRUE,19388.5778550648
"parent_excitation_dense",37,"one_step_finite_population_overdispersed",TRUE,"",TRUE,16574.7846868408
"parent_excitation_sparse",38,"one_step_gamma_poisson",TRUE,"",TRUE,3523.17819726051
"parent_excitation_sparse",38,"one_step_finite_population_overdispersed",TRUE,"",TRUE,6580.29770458848
"parent_excitation_dense",38,"one_step_gamma_poisson",TRUE,"",TRUE,89321.1920906876
"parent_excitation_dense",38,"one_step_finite_population_overdispersed",TRUE,"",TRUE,18480.6733863241
"parent_excitation_sparse",39,"one_step_gamma_poisson",TRUE,"",TRUE,1681.84454676068
"parent_excitation_sparse",39,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9587.78884742996
"parent_excitation_dense",39,"one_step_gamma_poisson",TRUE,"",TRUE,47276.0309608514
"parent_excitation_dense",39,"one_step_finite_population_overdispersed",TRUE,"",TRUE,11529.7553010302
"parent_excitation_sparse",40,"one_step_gamma_poisson",TRUE,"",TRUE,1518.57775494922
"parent_excitation_sparse",40,"one_step_finite_population_overdispersed",TRUE,"",TRUE,4342.08497056434
"parent_excitation_dense",40,"one_step_gamma_poisson",TRUE,"",TRUE,62293.617490614
"parent_excitation_dense",40,"one_step_finite_population_overdispersed",TRUE,"",TRUE,21106.6632594218
"parent_excitation_sparse",41,"one_step_gamma_poisson",TRUE,"",TRUE,2899.3342733522
"parent_excitation_sparse",41,"one_step_finite_population_overdispersed",TRUE,"",TRUE,5361.88930438342
"parent_excitation_dense",41,"one_step_gamma_poisson",TRUE,"",TRUE,6394.60221276532
"parent_excitation_dense",41,"one_step_finite_population_overdispersed",TRUE,"",TRUE,15409.903070578
"parent_excitation_sparse",42,"one_step_gamma_poisson",TRUE,"",TRUE,9480.92635207071
"parent_excitation_sparse",42,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9056.14447898241
"parent_excitation_dense",42,"one_step_gamma_poisson",TRUE,"",TRUE,96144.774954489
"parent_excitation_dense",42,"one_step_finite_population_overdispersed",TRUE,"",TRUE,28180.408869458
"parent_excitation_sparse",43,"one_step_gamma_poisson",TRUE,"",TRUE,43507.4154940011
"parent_excitation_sparse",43,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8491.27994207574
"parent_excitation_dense",43,"one_step_gamma_poisson",TRUE,"",TRUE,33450.3755460672
"parent_excitation_dense",43,"one_step_finite_population_overdispersed",TRUE,"",TRUE,30608.8335503128
"parent_excitation_sparse",44,"one_step_gamma_poisson",TRUE,"",TRUE,4132.6072638395
"parent_excitation_sparse",44,"one_step_finite_population_overdispersed",TRUE,"",TRUE,9451.03397644851
"parent_excitation_dense",44,"one_step_gamma_poisson",TRUE,"",TRUE,35104.3236942527
"parent_excitation_dense",44,"one_step_finite_population_overdispersed",TRUE,"",TRUE,19504.0260098544
"parent_excitation_sparse",45,"one_step_gamma_poisson",TRUE,"",TRUE,3910.94140696915
"parent_excitation_sparse",45,"one_step_finite_population_overdispersed",TRUE,"",TRUE,8020.72703547501
"parent_excitation_dense",45,"one_step_gamma_poisson",TRUE,"",TRUE,125565.511180098
"parent_excitation_dense",45,"one_step_finite_population_overdispersed",TRUE,"",TRUE,26216.271747189
"parent_excitation_sparse",46,"one_step_gamma_poisson",TRUE,"",TRUE,3053.51528814635
"parent_excitation_sparse",46,"one_step_finite_population_overdispersed",TRUE,"",TRUE,5076.10957970585
"parent_excitation_dense",46,"one_step_gamma_poisson",TRUE,"",TRUE,48586.1349291245
"parent_excitation_dense",46,"one_step_finite_population_overdispersed",TRUE,"",TRUE,23161.5270250811
"parent_excitation_sparse",47,"one_step_gamma_poisson",TRUE,"",TRUE,2997.31664959595
"parent_excitation_sparse",47,"one_step_finite_population_overdispersed",TRUE,"",TRUE,3089.72803409099
"parent_excitation_dense",47,"one_step_gamma_poisson",TRUE,"",TRUE,2359.83423471071
