"scenario","replicate","total_profile_counts"
"parent_excitation_sparse",1,10582
"parent_excitation_dense",1,45512
"parent_excitation_sparse",2,11070
"parent_excitation_dense",2,45265
"parent_excitation_sparse",3,11077
"parent_excitation_dense",3,45122
"parent_excitation_sparse",4,11943
"parent_excitation_dense",4,44470
"parent_excitation_sparse",5,10989
"parent_excitation_dense",5,44980
"parent_excitation_sparse",6,10701
"parent_excitation_dense",6,43025
"parent_excitation_sparse",7,11388
"parent_excitation_dense",7,46785
"parent_excitation_sparse",8,11321
"parent_excitation_dense",8,45696
"parent_excitation_sparse",9,11553
"parent_excitation_dense",9,44985
"parent_excitation_sparse",10,11311
"parent_excitation_dense",10,46538
"parent_excitation_sparse",11,11382
"parent_excitation_dense",11,45581
"parent_excitation_sparse",12,11109
"parent_excitation_dense",12,44807
"parent_excitation_sparse",13,10310
"parent_excitation_dense",13,43594
"parent_excitation_sparse",14,11386
"parent_excitation_dense",14,43001
"parent_excitation_sparse",15,10682
"parent_excitation_dense",15,44513
"parent_excitation_sparse",16,11000
"parent_excitation_dense",16,43723
"parent_excitation_sparse",17,10722
"parent_excitation_dense",17,44837
"parent_excitation_sparse",18,11658
"parent_excitation_dense",18,45885
"parent_excitation_sparse",19,10641
"parent_excitation_dense",19,44648
"parent_excitation_sparse",20,11680
"parent_excitation_dense",20,44099
"parent_excitation_sparse",21,10963
"parent_excitation_dense",21,46404
"parent_excitation_sparse",22,11281
"parent_excitation_dense",22,45484
"parent_excitation_sparse",23,11252
"parent_excitation_dense",23,44363
"parent_excitation_sparse",24,11168
"parent_excitation_dense",24,44160
"parent_excitation_sparse",25,11179
"parent_excitation_dense",25,44615
"parent_excitation_sparse",26,10877
"parent_excitation_dense",26,44754
"parent_excitation_sparse",27,11250
"parent_excitation_dense",27,45623
"parent_excitation_sparse",28,11306
"parent_excitation_dense",28,45592
"parent_excitation_sparse",29,11340
"parent_excitation_dense",29,45640
"parent_excitation_sparse",30,11268
"parent_excitation_dense",30,44474
"parent_excitation_sparse",31,11307
"parent_excitation_dense",31,46306
"parent_excitation_sparse",32,11068
"parent_excitation_dense",32,45644
"parent_excitation_sparse",33,11278
"parent_excitation_dense",33,42693
"parent_excitation_sparse",34,11400
"parent_excitation_dense",34,45336
"parent_excitation_sparse",35,11316
"parent_excitation_dense",35,47633
"parent_excitation_sparse",36,10901
"parent_excitation_dense",36,43229
"parent_excitation_sparse",37,11315
"parent_excitation_dense",37,44837
"parent_excitation_sparse",38,10987
"parent_excitation_dense",38,44230
"parent_excitation_sparse",39,11158
"parent_excitation_dense",39,43451
"parent_excitation_sparse",40,11305
"parent_excitation_dense",40,43599
"parent_excitation_sparse",41,11414
"parent_excitation_dense",41,45569
"parent_excitation_sparse",42,11106
"parent_excitation_dense",42,45042
"parent_excitation_sparse",43,10981
"parent_excitation_dense",43,46739
"parent_excitation_sparse",44,11342
"parent_excitation_dense",44,45035
"parent_excitation_sparse",45,10413
"parent_excitation_dense",45,44208
"parent_excitation_sparse",46,11249
"parent_excitation_dense",46,44836
"parent_excitation_sparse",47,11157
"parent_excitation_dense",47,47394
"parent_excitation_sparse",48,11308
"parent_excitation_dense",48,45900
"parent_excitation_sparse",49,10767
"parent_excitation_dense",49,44342
"parent_excitation_sparse",50,11187
"parent_excitation_dense",50,43911
"parent_excitation_sparse",51,11394
"parent_excitation_dense",51,43253
"parent_excitation_sparse",52,11173
"parent_excitation_dense",52,47008
"parent_excitation_sparse",53,10704
"parent_excitation_dense",53,45142
"parent_excitation_sparse",54,10910
"parent_excitation_dense",54,44048
"parent_excitation_sparse",55,11245
"parent_excitation_dense",55,45007
"parent_excitation_sparse",56,11230
"parent_excitation_dense",56,44860
"parent_excitation_sparse",57,10462
"parent_excitation_dense",57,44445
"parent_excitation_sparse",58,11139
"parent_excitation_dense",58,43305
"parent_excitation_sparse",59,11184
"parent_excitation_dense",59,45722
"parent_excitation_sparse",60,11078
"parent_excitation_dense",60,42940
"parent_excitation_sparse",61,11632
"parent_excitation_dense",61,44983
"parent_excitation_sparse",62,11145
"parent_excitation_dense",62,43889
"parent_excitation_sparse",63,11378
"parent_excitation_dense",63,44113
"parent_excitation_sparse",64,10699
"parent_excitation_dense",64,44218
"parent_excitation_sparse",65,11067
"parent_excitation_dense",65,45041
"parent_excitation_sparse",66,10870
"parent_excitation_dense",66,43110
"parent_excitation_sparse",67,10831
