"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias","mean_contraction"
"parent_excitation_dense","one_step_finite_population_overdispersed","growth",300,0.706666666666667,-0.0266658814936556,0.0604201881511905,0.0400531131689415,1.51580101704339,0.985084373038942
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth",297,0.912457912457912,-0.0173889858874664,0.107973910552888,0.0920968519821125,0.935319442283088,0.966846551015457
"parent_excitation_dense","one_step_gamma_poisson","growth",300,0.756666666666667,-0.0267618734019908,0.0606118426875415,0.0475504362087843,1.30004460376943,0.982441273192173
"parent_excitation_sparse","one_step_gamma_poisson","growth",300,0.966666666666667,-0.0166727381624711,0.101850435768175,0.0966744301486915,0.788695779803217,0.964806553378714
"parent_excitation_dense","one_step_finite_population_overdispersed","process",100,NA,NA,NA,0.828023744703405,NA,0.585988127648298
"parent_excitation_sparse","one_step_finite_population_overdispersed","process",99,NA,NA,NA,0.944036292745246,NA,0.527981853627377
"parent_excitation_dense","one_step_gamma_poisson","process",100,NA,NA,NA,0.590485076096504,NA,0.704757461951748
"parent_excitation_sparse","one_step_gamma_poisson","process",100,NA,NA,NA,0.551338044105938,NA,0.724330977947031
"parent_excitation_dense","one_step_finite_population_overdispersed","recruit_size",300,0.946666666666667,0.00116091893675664,0.065721086809604,0.050830825526284,0.767722806937847,0.987033124469888
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruit_size",297,0.905723905723906,0.00306889476303575,0.150824494348375,0.0968711601203583,0.917179904315529,0.974991474213394
"parent_excitation_dense","one_step_gamma_poisson","recruit_size",300,0.96,0.000497411281226129,0.0635155539200313,0.0547725045247352,0.708572626111748,0.985837781449098
"parent_excitation_sparse","one_step_gamma_poisson","recruit_size",300,0.946666666666667,0.0025376275400683,0.151702401585211,0.112111555953234,0.798153178586202,0.97079505076047
"parent_excitation_dense","one_step_finite_population_overdispersed","recruitment",200,0.92,-0.00353267969062994,0.0371166735648756,0.0302270988053056,0.916680803290899,0.976722148472227
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruitment",198,0.934343434343434,-0.00383562474172057,0.058932035756097,0.055334077678884,0.806265052715841,0.957544614698835
"parent_excitation_dense","one_step_gamma_poisson","recruitment",200,0.65,-0.00187985362164258,0.0454830882240243,0.0223124578137945,1.60720527144368,0.983008151801383
"parent_excitation_sparse","one_step_gamma_poisson","recruitment",200,0.845,0.00143347312050421,0.0662652464263471,0.0457668655326375,1.08778073117197,0.96510088694796
"parent_excitation_dense","one_step_finite_population_overdispersed","survival",200,0.935,0.00562893876329565,0.0195101772615238,0.0182422425011222,0.803375181246829,0.98545584446127
"parent_excitation_sparse","one_step_finite_population_overdispersed","survival",198,0.97979797979798,-0.00828890800887871,0.0679489594744638,0.0750531017126351,0.69760079118672,0.940192832503308
"parent_excitation_dense","one_step_gamma_poisson","survival",200,1,0.00588821988786417,0.0208997631622314,0.0353370192560997,0.449311333834607,0.97180569553507
"parent_excitation_sparse","one_step_gamma_poisson","survival",200,0.965,0.000274576130723518,0.0627243019879557,0.0713165332905988,0.68936725992553,0.943075564833087
