"scenario","populations","transitions","initial_n","profile_detection","initial_design","replicate","task_id"
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",1,1
"parent_excitation_dense",8,2,500,1,"parent_excitation",1,2
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",2,3
"parent_excitation_dense",8,2,500,1,"parent_excitation",2,4
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",3,5
"parent_excitation_dense",8,2,500,1,"parent_excitation",3,6
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",4,7
"parent_excitation_dense",8,2,500,1,"parent_excitation",4,8
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",5,9
"parent_excitation_dense",8,2,500,1,"parent_excitation",5,10
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",6,11
"parent_excitation_dense",8,2,500,1,"parent_excitation",6,12
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",7,13
"parent_excitation_dense",8,2,500,1,"parent_excitation",7,14
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",8,15
"parent_excitation_dense",8,2,500,1,"parent_excitation",8,16
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",9,17
"parent_excitation_dense",8,2,500,1,"parent_excitation",9,18
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",10,19
"parent_excitation_dense",8,2,500,1,"parent_excitation",10,20
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",11,21
"parent_excitation_dense",8,2,500,1,"parent_excitation",11,22
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",12,23
"parent_excitation_dense",8,2,500,1,"parent_excitation",12,24
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",13,25
"parent_excitation_dense",8,2,500,1,"parent_excitation",13,26
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",14,27
"parent_excitation_dense",8,2,500,1,"parent_excitation",14,28
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",15,29
"parent_excitation_dense",8,2,500,1,"parent_excitation",15,30
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",16,31
"parent_excitation_dense",8,2,500,1,"parent_excitation",16,32
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",17,33
"parent_excitation_dense",8,2,500,1,"parent_excitation",17,34
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",18,35
"parent_excitation_dense",8,2,500,1,"parent_excitation",18,36
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",19,37
"parent_excitation_dense",8,2,500,1,"parent_excitation",19,38
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",20,39
"parent_excitation_dense",8,2,500,1,"parent_excitation",20,40
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",21,41
"parent_excitation_dense",8,2,500,1,"parent_excitation",21,42
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",22,43
"parent_excitation_dense",8,2,500,1,"parent_excitation",22,44
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",23,45
"parent_excitation_dense",8,2,500,1,"parent_excitation",23,46
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",24,47
"parent_excitation_dense",8,2,500,1,"parent_excitation",24,48
