"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"parent_excitation_dense","one_step_finite_population","growth",32,0.59375,-0.0785600639749661,0.145129866243462,0.0761150907251687,1.63064084074806
"parent_excitation_sparse","one_step_finite_population","growth",40,0.975,-0.0380920548802863,0.165913223020673,0.170432520840093,0.870777645150096
"parent_excitation_dense","one_step_finite_population_overdispersed","growth",40,0.625,-0.0821737951618938,0.149351851444224,0.0756766193750149,1.67842052554744
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth",36,1,-0.0297827414819963,0.162690310023008,0.175628444554235,0.829386432418256
"parent_excitation_dense","one_step_gamma_poisson","growth",40,0.65,-0.0866204662668177,0.143671834537538,0.0911484677466166,1.37321071723969
"parent_excitation_sparse","one_step_gamma_poisson","growth",40,1,-0.0547076954367735,0.175130578579574,0.189187273705026,0.778857518342731
"parent_excitation_dense","one_step_finite_population","lambda",8,0.875,0.461146326689912,1.31001765177308,0.0462970243989218,1.94707444145068
"parent_excitation_sparse","one_step_finite_population","lambda",10,1,-0.00738059516644528,0.0224486922850591,0.0281407333308637,0.601754354574283
"parent_excitation_dense","one_step_finite_population_overdispersed","lambda",10,1,-0.0022530179344618,0.00439014447995329,0.00600235598439625,0.578116012652231
"parent_excitation_sparse","one_step_finite_population_overdispersed","lambda",9,1,-0.00624630777466567,0.0227516651865974,0.0272003609577878,0.584400750211582
"parent_excitation_dense","one_step_gamma_poisson","lambda",10,1,-0.00154289344161753,0.00555783325212109,0.0122264797283544,0.342635551638416
"parent_excitation_sparse","one_step_gamma_poisson","lambda",10,1,-0.00821275054281357,0.0237627353608616,0.0253716678818817,0.746888188187798
"parent_excitation_dense","one_step_finite_population","recruit_size",32,0.84375,0.0159251698739448,0.334839611795722,0.0834625051297854,1.84096492194172
"parent_excitation_sparse","one_step_finite_population","recruit_size",40,0.95,0.120934520751119,0.208679943463644,0.161548946858879,0.890098795165123
"parent_excitation_dense","one_step_finite_population_overdispersed","recruit_size",40,1,0.0458661950613471,0.086135773760924,0.0863890432656938,0.59024144874119
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruit_size",36,0.972222222222222,0.125455645719165,0.210278419955764,0.165900522493417,0.884617248909133
"parent_excitation_dense","one_step_gamma_poisson","recruit_size",40,1,0.0400684373497722,0.0842931882350312,0.0925049514523389,0.565003900605869
"parent_excitation_sparse","one_step_gamma_poisson","recruit_size",40,0.975,0.116430056578387,0.207074717315695,0.193664053446201,0.736195761891887
"parent_excitation_dense","one_step_finite_population","recruitment",24,0.875,2435.93021918366,11933.1633764385,1046.04852554759,51.559830036561
"parent_excitation_sparse","one_step_finite_population","recruitment",30,1,-0.00898781750245244,0.0312688858001449,0.0279987396894075,0.602523639249582
"parent_excitation_dense","one_step_finite_population_overdispersed","recruitment",30,1,-0.00202530012174926,0.0128307275409613,0.0144308335629234,0.606597401683678
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruitment",27,1,-0.00795221690406634,0.0313729815887791,0.0276844488423331,0.615966750431573
"parent_excitation_dense","one_step_gamma_poisson","recruitment",30,0.866666666666667,0.00122297509947384,0.0132228253617083,0.0109945930732476,0.973709541121085
"parent_excitation_sparse","one_step_gamma_poisson","recruitment",30,1,-0.00589268045462733,0.0306543929064888,0.0229774874162243,0.905859441587613
"parent_excitation_dense","one_step_finite_population","survival",24,0.958333333333333,-0.000482499029654098,0.00407150346273522,0.00535043876122196,0.627680946016728
"parent_excitation_sparse","one_step_finite_population","survival",30,0.966666666666667,-0.00300857700579023,0.016174213221,0.0210389605784766,0.584082395925838
"parent_excitation_dense","one_step_finite_population_overdispersed","survival",30,0.966666666666667,-0.000127777591135131,0.0047629963605933,0.00561279089762785,0.675217283471813
"parent_excitation_sparse","one_step_finite_population_overdispersed","survival",27,1,-0.00231130049807369,0.0162770032979341,0.021155822896631,0.57811305145039
"parent_excitation_dense","one_step_gamma_poisson","survival",30,1,0.000678408495136997,0.00534444863695152,0.0102373032973115,0.426126500193997
"parent_excitation_sparse","one_step_gamma_poisson","survival",30,1,-0.00290172636627436,0.0187696192966123,0.0210813163488476,0.716396362665988
