"scenario","method","quantity","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"parent_excitation_dense","one_step_finite_population","growth_increment_110",8,0.875,-0.0462396700389752,0.0961423104118206,0.0658811435373155,1.19097039997107
"parent_excitation_sparse","one_step_finite_population","growth_increment_110",10,1,0.0121909632816187,0.176633333090434,0.177197091099154,0.88487920795466
"parent_excitation_dense","one_step_finite_population_overdispersed","growth_increment_110",10,0.9,-0.0321446528574542,0.0943153869008696,0.0662505942859181,1.19545584051484
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth_increment_110",9,1,-0.00102279688580983,0.180581851876781,0.177749049629217,0.896261430593121
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_110",10,0.9,-0.0366437849988944,0.0973129234862564,0.0873778612233696,0.948131969010977
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_110",10,1,0.0168619995567607,0.167368461051405,0.176401616075745,0.868116888220622
"parent_excitation_dense","one_step_finite_population","growth_increment_50",8,0.75,-0.039925454877501,0.153266449999241,0.104846948043666,1.1405366355213
"parent_excitation_sparse","one_step_finite_population","growth_increment_50",10,1,-0.0684958028055078,0.194985362928625,0.220322073850171,0.818600257236954
"parent_excitation_dense","one_step_finite_population_overdispersed","growth_increment_50",10,0.7,-0.0586638921579841,0.162096451533841,0.103790798675507,1.27117870729758
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth_increment_50",9,1,-0.040790825255993,0.179964332388744,0.231422703888554,0.730060556547194
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_50",10,0.8,-0.070935739534236,0.15439201257551,0.121574481773475,1.03602124518998
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_50",10,1,-0.125765840639147,0.238104518397599,0.260972303428821,0.742526237182056
"parent_excitation_dense","one_step_finite_population","growth_increment_80",8,0.75,-0.0430825624582352,0.119027524246411,0.0690978066617921,1.32467338757335
"parent_excitation_sparse","one_step_finite_population","growth_increment_80",10,1,-0.0281524197619433,0.139359049515257,0.153046263009679,0.775071839482397
"parent_excitation_dense","one_step_finite_population_overdispersed","growth_increment_80",10,0.7,-0.0454042725077173,0.117205024114017,0.0685775838178387,1.25381899731519
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth_increment_80",9,1,-0.0209068110709008,0.139861313789055,0.158302686778391,0.716752736125961
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_80",10,0.7,-0.0537897622665632,0.114649438951251,0.0811053000236208,1.02397063933633
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_80",10,1,-0.0544519205411946,0.148011788099464,0.172199880068937,0.70121290383375
"parent_excitation_dense","one_step_finite_population","growth_sd.log_growth_sd",8,0,-0.184992568525153,0.193259442792475,0.0646344646579012,2.86638293992652
"parent_excitation_sparse","one_step_finite_population","growth_sd.log_growth_sd",10,0.9,-0.0679109602353128,0.146523784743607,0.131164655401367,1.00455927592638
"parent_excitation_dense","one_step_finite_population_overdispersed","growth_sd.log_growth_sd",10,0.2,-0.19248236312442,0.200789025187083,0.0640875007207956,2.99322855706214
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth_sd.log_growth_sd",9,1,-0.0564105327152814,0.145994502113454,0.135039337920779,0.974471006406748
"parent_excitation_dense","one_step_gamma_poisson","growth_sd.log_growth_sd",10,0.2,-0.185112578267577,0.190039973903208,0.0745362279660009,2.48471901542146
"parent_excitation_sparse","one_step_gamma_poisson","growth_sd.log_growth_sd",10,1,-0.0554750201235128,0.126765237198522,0.147175295246601,0.803574044134495
"parent_excitation_dense","one_step_finite_population","lambda",8,0.875,0.461146326689912,1.31001765177308,0.0462970243989218,1.94707444145068
"parent_excitation_sparse","one_step_finite_population","lambda",10,1,-0.00738059516644528,0.0224486922850591,0.0281407333308637,0.601754354574283
"parent_excitation_dense","one_step_finite_population_overdispersed","lambda",10,1,-0.0022530179344618,0.00439014447995329,0.00600235598439625,0.578116012652231
"parent_excitation_sparse","one_step_finite_population_overdispersed","lambda",9,1,-0.00624630777466567,0.0227516651865974,0.0272003609577878,0.584400750211582
"parent_excitation_dense","one_step_gamma_poisson","lambda",10,1,-0.00154289344161753,0.00555783325212109,0.0122264797283544,0.342635551638416
"parent_excitation_sparse","one_step_gamma_poisson","lambda",10,1,-0.00821275054281357,0.0237627353608616,0.0253716678818817,0.746888188187798
"parent_excitation_dense","one_step_finite_population","recruit_mean_110",8,0.875,-0.0111192645670535,0.0940515027375926,0.0579110991094559,0.744271483593336
"parent_excitation_sparse","one_step_finite_population","recruit_mean_110",10,0.9,0.0641739309401245,0.102669556259387,0.0977485646515607,0.898265930454201
"parent_excitation_dense","one_step_finite_population_overdispersed","recruit_mean_110",10,1,0.0249550019584149,0.0346764731101634,0.0511516825947619,0.533938679669005
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruit_mean_110",9,1,0.0697509316897696,0.102461889055165,0.0983639936206031,0.902497154433997
"parent_excitation_dense","one_step_gamma_poisson","recruit_mean_110",10,1,0.0218816679984684,0.0348913645801348,0.0541526075674865,0.510086211101573
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_110",10,1,0.0552843659909648,0.0969646546592528,0.112409475524131,0.78584816654338
"parent_excitation_dense","one_step_finite_population","recruit_mean_50",8,0.75,0.182562485448808,0.358787995827469,0.150764668843336,1.5389378201644
"parent_excitation_sparse","one_step_finite_population","recruit_mean_50",10,1,0.246973729523663,0.338250018814195,0.310553487769452,0.922611709536658
