"scenario","replicate","total_profile_counts"
"parent_excitation_sparse",1,10582
"parent_excitation_dense",1,45512
"parent_excitation_sparse",2,11070
"parent_excitation_dense",2,45265
"parent_excitation_sparse",3,11077
"parent_excitation_dense",3,45122
"parent_excitation_sparse",4,11943
"parent_excitation_dense",4,44470
"parent_excitation_sparse",5,10989
"parent_excitation_dense",5,44980
"parent_excitation_sparse",6,10701
"parent_excitation_dense",6,43025
"parent_excitation_sparse",7,11388
"parent_excitation_dense",7,46785
"parent_excitation_sparse",8,11321
"parent_excitation_dense",8,45696
"parent_excitation_sparse",9,11553
"parent_excitation_dense",9,44985
"parent_excitation_sparse",10,11311
"parent_excitation_dense",10,46538
