"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias","mean_contraction"
"parent_excitation_dense","one_step_finite_population","growth",24,0.583333333333333,-0.0291206870575565,0.0754818726409247,0.0400096812544127,1.61266993243308,0.985033753514843
"parent_excitation_sparse","one_step_finite_population","growth",30,0.933333333333333,-0.00577479621524204,0.0953412495930695,0.0895381125236472,0.84328286692498,0.967852771389501
"parent_excitation_dense","one_step_finite_population_overdispersed","growth",30,0.633333333333333,-0.0268263302369001,0.0764904047526025,0.0397471561259277,1.72730527492659,0.98512887413461
"parent_excitation_sparse","one_step_finite_population_overdispersed","growth",27,1,-0.00706049012269713,0.0938025402746071,0.0923186642343131,0.793770001716023,0.966925164132235
"parent_excitation_dense","one_step_gamma_poisson","growth",30,0.633333333333333,-0.0281879674334951,0.0743516803328475,0.0479136846545251,1.3844793637877,0.982227774035538
"parent_excitation_sparse","one_step_gamma_poisson","growth",30,1,-0.00672839847208974,0.102976736598084,0.0998120797896997,0.793696138204836,0.964206422455744
"parent_excitation_dense","one_step_finite_population_overdispersed","process",10,NA,NA,NA,0.851404768296267,NA,0.574297615851866
"parent_excitation_sparse","one_step_finite_population_overdispersed","process",9,NA,NA,NA,0.937061369695519,NA,0.531469315152241
"parent_excitation_dense","one_step_gamma_poisson","process",10,NA,NA,NA,0.539342377861039,NA,0.730328811069481
"parent_excitation_sparse","one_step_gamma_poisson","process",10,NA,NA,NA,0.480036989625189,NA,0.759981505187406
"parent_excitation_dense","one_step_finite_population","recruit_size",24,0.833333333333333,-0.0170404138259681,0.166605566567028,0.0477320415073919,224.933814241505,0.987545221056319
"parent_excitation_sparse","one_step_finite_population","recruit_size",30,0.966666666666667,0.0331277049847418,0.134577926687707,0.0952997148178617,0.894669775859728,0.976092361169267
"parent_excitation_dense","one_step_finite_population_overdispersed","recruit_size",30,1,0.0123837322621751,0.0552190827346345,0.0512086973618285,0.62202726408104,0.986947963486672
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruit_size",27,0.962962962962963,0.0357284385235669,0.135565744833778,0.0981478704061902,0.867523753020137,0.974792623505878
"parent_excitation_dense","one_step_gamma_poisson","recruit_size",30,1,0.01078506868361,0.0541496898333882,0.0549473924678322,0.594002599389378,0.985748175497195
"parent_excitation_sparse","one_step_gamma_poisson","recruit_size",30,0.966666666666667,0.0307430871776672,0.133065245087986,0.11524371677642,0.726814749502679,0.969822118888662
"parent_excitation_dense","one_step_finite_population","recruitment",16,0.875,0.479400456046814,1.44839786585596,0.0491081692625475,3.24192197724865,0.961389972773211
"parent_excitation_sparse","one_step_finite_population","recruitment",20,1,-0.00762964616409956,0.040913340213039,0.055914031176201,0.555084721290578,0.957137497817872
"parent_excitation_dense","one_step_finite_population_overdispersed","recruitment",20,0.95,-0.00203006340838905,0.0264628117072302,0.0301970908802756,0.675767166512671,0.976728888027714
"parent_excitation_sparse","one_step_finite_population_overdispersed","recruitment",18,1,-0.00669556285076515,0.0411514308217149,0.0547570598197264,0.559608128012033,0.95802076035526
"parent_excitation_dense","one_step_gamma_poisson","recruitment",20,0.8,0.00111184129753724,0.0349003593055394,0.0224663732481406,1.22299999440144,0.982885636691266
"parent_excitation_sparse","one_step_gamma_poisson","recruitment",20,0.95,-0.00488535481290057,0.0535322500018073,0.047468169742799,0.947972403203199,0.963745516585806
"parent_excitation_dense","one_step_finite_population","survival",16,1,-0.000740945079010767,0.0128038986530168,0.0171442938114431,0.554326992757721,0.98635956865775
"parent_excitation_sparse","one_step_finite_population","survival",20,1,-0.0125357757296473,0.0542597833004462,0.0749675802334013,0.600636255584137,0.940277404032614
"parent_excitation_dense","one_step_finite_population_overdispersed","survival",20,1,0.00114653032137338,0.0157814140335045,0.01811686795272,0.602934057812835,0.98553667416097
"parent_excitation_sparse","one_step_finite_population_overdispersed","survival",18,1,-0.00899272390766436,0.0542524202478914,0.0743782101722292,0.577919691766217,0.940733877937753
"parent_excitation_dense","one_step_gamma_poisson","survival",20,1,0.00452270299156763,0.0186022623652122,0.0357659897224666,0.404960484665108,0.971479842059678
"parent_excitation_sparse","one_step_gamma_poisson","survival",20,0.95,-0.0157688849845022,0.0613368509177467,0.0717108162072267,0.762195539810106,0.942704598595066
