"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_sd","contraction","scenario","replicate","method","group"
"survival_at_80",0.36,0.317663027451034,0.0776990975300633,0.174608595155607,0.318499398119247,0.46608574773938,TRUE,-0.544883710297722,1.5,0.948200601646624,"parent_excitation_sparse",1,"one_step_gamma_poisson","survival"
"survival_slope_20",0.64,0.617467762023636,0.0498606491873902,0.523954710851415,0.616916293762292,0.720326932623278,TRUE,-0.451904223943858,1,0.95013935081261,"parent_excitation_sparse",1,"one_step_gamma_poisson","survival"
"growth_increment_80",8.4,8.49936899065692,0.17136279417925,8.17777861494214,8.50819204368047,8.82390030014567,TRUE,0.579874943874791,6,0.971439534303458,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
"growth_slope_20",-2.4,-2.35035393666625,0.082847152352575,-2.51413275265417,-2.34502569923968,-2.18733088612792,TRUE,0.599248880908645,3,0.972384282549142,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
"log_growth_sd",1.50407739677627,1.46770938623647,0.0334053957726134,1.40677230048622,1.46730334672314,1.52841121995193,TRUE,-1.08868671358819,0.7,0.952278006039124,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
"log_recruitment_at_80",-1.69314718055995,-1.75947509165458,0.0601859103970131,-1.87354668397446,-1.75924278530883,-1.63787971883488,TRUE,-1.10205047422406,1.5,0.959876059735325,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruitment"
"recruitment_slope_20",1.5,1.51764386170315,0.0233277150530826,1.47099159386451,1.5178921419785,1.56230747538762,TRUE,0.756347617544176,1,0.976672284946917,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruitment"
"recruit_mean_80",44.6,44.755843771103,0.244484346574946,44.3004294509741,44.7700889415165,45.214193054882,TRUE,0.637438647039015,10,0.975551565342505,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruit_size"
"recruit_mean_slope_20",0.4,0.359360042419424,0.0907533585907994,0.187313876115863,0.363705987524979,0.531267208091906,TRUE,-0.44780665103337,2,0.9546233207046,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruit_size"
"log_recruit_sd",1.25276296849537,1.27002650082349,0.0119292493349833,1.24817835162077,1.27012069237443,1.29306975043985,TRUE,1.44715998830643,0.7,0.982958215235738,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruit_size"
"log_process_precision",NA,6.82316958812195,1.03387745032621,4.77548955633318,6.91352734581923,8.79674643499527,NA,NA,2,0.483061274836894,"parent_excitation_sparse",1,"one_step_gamma_poisson","process"
"survival_at_80",0.36,0.338580034351757,0.0902901477490429,0.152767441747425,0.341684070508112,0.513153334824056,TRUE,-0.237234805593398,1.5,0.939806568167305,"parent_excitation_sparse",1,"one_step_finite_population","survival"
"survival_slope_20",0.64,0.632960407782227,0.0592756874858627,0.518482036036536,0.632074146730533,0.749231489805459,TRUE,-0.118760195222562,1,0.940724312514137,"parent_excitation_sparse",1,"one_step_finite_population","survival"
"growth_increment_80",8.4,8.52322893377346,0.16060385867602,8.21156731370536,8.52178086806698,8.83263375193064,TRUE,0.767285012884036,6,0.973232690220663,"parent_excitation_sparse",1,"one_step_finite_population","growth"
