"scenario","populations","transitions","initial_n","profile_detection","initial_design","replicate","task_id"
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",1,1
"parent_excitation_dense",8,2,500,1,"parent_excitation",1,2
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",2,3
"parent_excitation_dense",8,2,500,1,"parent_excitation",2,4
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",3,5
"parent_excitation_dense",8,2,500,1,"parent_excitation",3,6
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",4,7
"parent_excitation_dense",8,2,500,1,"parent_excitation",4,8
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",5,9
"parent_excitation_dense",8,2,500,1,"parent_excitation",5,10
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",6,11
"parent_excitation_dense",8,2,500,1,"parent_excitation",6,12
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",7,13
"parent_excitation_dense",8,2,500,1,"parent_excitation",7,14
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",8,15
"parent_excitation_dense",8,2,500,1,"parent_excitation",8,16
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",9,17
"parent_excitation_dense",8,2,500,1,"parent_excitation",9,18
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",10,19
"parent_excitation_dense",8,2,500,1,"parent_excitation",10,20
