"scenario","replicate","total_profile_counts"
"standard",1,1444
"dense_profiles",1,5644
"longer_followup",1,3022
"diverse_initial",1,2470
"standard",2,1522
"dense_profiles",2,5654
"longer_followup",2,3350
"diverse_initial",2,2333
"standard",3,1501
"dense_profiles",3,6543
"longer_followup",3,3138
"diverse_initial",3,2331
"standard",4,1419
"dense_profiles",4,6187
"longer_followup",4,2384
"diverse_initial",4,2448
"standard",5,1448
"dense_profiles",5,5624
"longer_followup",5,2916
"diverse_initial",5,2427
"standard",6,1430
"dense_profiles",6,5674
"longer_followup",6,2699
"diverse_initial",6,2365
"standard",7,1410
"dense_profiles",7,5833
"longer_followup",7,2432
"diverse_initial",7,2437
"standard",8,1439
"dense_profiles",8,5161
"longer_followup",8,3362
"diverse_initial",8,2574
"standard",9,1387
"dense_profiles",9,6279
"longer_followup",9,3055
"diverse_initial",9,2700
"standard",10,1369
"dense_profiles",10,6871
"longer_followup",10,2766
"diverse_initial",10,2755
