"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias","mean_contraction"
"dense_profiles","one_step_gamma_poisson","growth",27,1,-0.00191376222618633,0.260269335383125,0.30218932679668,0.617699003288154,0.887566696211058
"diverse_initial","one_step_gamma_poisson","growth",30,0.733333333333333,0.0566289613248034,0.353419529056689,0.311869101114164,1.40144711307995,0.895841197630811
"longer_followup","one_step_gamma_poisson","growth",30,0.533333333333333,0.0569482899348835,0.762708278063422,0.389775748044694,3.68128167431714,0.881117584663751
"standard","one_step_gamma_poisson","growth",30,0.766666666666667,0.0999813844229988,0.630416388833994,0.596445582508211,1.32703725388273,0.810849409965107
"dense_profiles","one_step_poisson","growth",27,0.962962962962963,-0.0148747833577876,0.288402608869873,0.291308679296779,0.72046604739936,0.890743439498611
"diverse_initial","one_step_poisson","growth",30,0.7,0.0389749505422074,0.431113762077299,0.285855459836053,1.66118540785226,0.902838151045864
"longer_followup","one_step_poisson","growth",24,0.208333333333333,0.0173656631187885,1.24401006290774,0.353517166428951,5.23926504682144,0.895389315960936
"standard","one_step_poisson","growth",30,0.766666666666667,0.0918509245669179,0.643115754882063,0.581954303573111,1.40835139419643,0.816135016331192
"dense_profiles","one_step_shared_gamma_poisson","growth",27,0.888888888888889,-0.00445260308255923,0.253491499386128,0.258317078634783,0.813636183101761,0.900599849365815
"diverse_initial","one_step_shared_gamma_poisson","growth",27,0.740740740740741,0.0405603804045084,0.314775513189638,0.294371266232652,1.25494877913382,0.900314997852418
"longer_followup","one_step_shared_gamma_poisson","growth",30,0.333333333333333,-0.07714844144949,1.11389066132811,0.373762263046977,4.38793840027104,0.888411199025722
"standard","one_step_shared_gamma_poisson","growth",30,0.733333333333333,0.0757011894997857,0.640715636735934,0.531241290411655,1.49115662871266,0.827298816883318
"dense_profiles","recursive_gamma_poisson","growth",30,0.933333333333333,-0.0781144561469328,0.323709340275903,0.238163808515267,0.954140187588138,0.904007548313567
"diverse_initial","recursive_gamma_poisson","growth",30,0.866666666666667,0.0413016196255898,0.252986337421445,0.200926122852677,1.08248195745893,0.922345983219514
"longer_followup","recursive_gamma_poisson","growth",30,0.866666666666667,-0.00352708999586171,0.261580280159157,0.26227640805611,0.899164963385557,0.896945033287473
"standard","recursive_gamma_poisson","growth",30,0.833333333333333,-0.019269173001851,0.508211084432755,0.425635931018675,1.04220655984026,0.845283586315457
"dense_profiles","recursive_poisson","growth",30,0.733333333333333,-0.107201744635259,0.377846102720584,0.201963313484998,1.30296513074894,0.916882025452048
"diverse_initial","recursive_poisson","growth",30,0.833333333333333,0.0314520054046596,0.241881764522696,0.190853643456706,1.08206983089015,0.925485919771472
"longer_followup","recursive_poisson","growth",30,0.866666666666667,0.029672496274652,0.275745030417841,0.238953794837471,0.976121905688522,0.905114094537675
"standard","recursive_poisson","growth",27,0.703703703703704,-0.0510511246607914,0.613598378366717,0.404465383276499,1.3903864877324,0.851505246126594
"dense_profiles","one_step_gamma_poisson","process",9,NA,NA,NA,0.527467025187482,NA,0.736266487406259
"diverse_initial","one_step_gamma_poisson","process",10,NA,NA,NA,0.696668278721501,NA,0.651665860639249
"longer_followup","one_step_gamma_poisson","process",10,NA,NA,NA,0.323466424523891,NA,0.838266787738054
"standard","one_step_gamma_poisson","process",10,NA,NA,NA,0.643125338312801,NA,0.6784373308436
"dense_profiles","one_step_shared_gamma_poisson","process",9,NA,NA,NA,0.663973190009606,NA,0.668013404995197
"diverse_initial","one_step_shared_gamma_poisson","process",9,NA,NA,NA,0.754848756089292,NA,0.622575621955354
"longer_followup","one_step_shared_gamma_poisson","process",10,NA,NA,NA,0.368941823149233,NA,0.815529088425383
"standard","one_step_shared_gamma_poisson","process",10,NA,NA,NA,0.656364055950877,NA,0.671817972024562
"dense_profiles","recursive_gamma_poisson","process",10,NA,NA,NA,0.425870125230286,NA,0.787064937384857
"diverse_initial","recursive_gamma_poisson","process",10,NA,NA,NA,0.866735350545402,NA,0.566632324727299
"longer_followup","recursive_gamma_poisson","process",10,NA,NA,NA,0.337856876575204,NA,0.831071561712398
"standard","recursive_gamma_poisson","process",10,NA,NA,NA,0.841593716680709,NA,0.579203141659646
"dense_profiles","one_step_gamma_poisson","recruit_size",27,1,0.0490504590096043,0.239957964277326,0.373396894988858,0.567162528299547,0.899695985124039
"diverse_initial","one_step_gamma_poisson","recruit_size",30,0.966666666666667,0.0479009079735732,0.439102897003817,0.460860670977179,0.656097197335793,0.877035693337188
