"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"parent_excitation_dense","one_step_gamma_poisson","growth",40,0.675,-0.085846705548019,0.143097959740979,0.0909578447407751,1.38929999093531
"parent_excitation_sparse","one_step_gamma_poisson","growth",40,1,-0.0524530190149578,0.172647518044696,0.191025486820752,0.767368099477152
"parent_excitation_dense","one_step_shared_gamma_poisson","growth",40,0.65,-0.0784268220457464,0.145865379756586,0.0864878346355075,1.47734427121195
"parent_excitation_sparse","one_step_shared_gamma_poisson","growth",28,1,-0.0627054781532685,0.136067898167996,0.172510069360651,0.6835260890376
"parent_excitation_dense","recursive_gamma_poisson","growth",40,0.55,-0.0887674418750712,0.145384104666632,0.0751747449388438,1.70152540111157
"parent_excitation_sparse","recursive_gamma_poisson","growth",40,0.875,-0.0318869695607714,0.166414510875957,0.150905089635933,0.98887718221892
"parent_excitation_dense","one_step_gamma_poisson","lambda",10,1,-0.00194127050721373,0.00588465867452256,0.0123021145431056,0.370532017660899
"parent_excitation_sparse","one_step_gamma_poisson","lambda",10,1,-0.00763090123729625,0.0237107203421294,0.0256451817621522,0.752029218288236
"parent_excitation_dense","one_step_shared_gamma_poisson","lambda",10,1,-0.00175141418029603,0.0053214474873861,0.013735119237933,0.289474958608626
"parent_excitation_sparse","one_step_shared_gamma_poisson","lambda",7,1,-0.0101635147339118,0.0249924549889104,0.0311939823017236,0.727908095480493
"parent_excitation_dense","recursive_gamma_poisson","lambda",10,1,-0.0015732507514937,0.00521714288160127,0.00742272731358586,0.547028329823702
"parent_excitation_sparse","recursive_gamma_poisson","lambda",10,0.7,-0.00838692034592441,0.0209251729949983,0.014385738591399,1.03391743539252
"parent_excitation_dense","one_step_gamma_poisson","recruit_size",40,1,0.0407725681806978,0.0860826992101051,0.0927187730519404,0.577829185129075
"parent_excitation_sparse","one_step_gamma_poisson","recruit_size",40,0.95,0.114540122387165,0.198607961959049,0.192814608327518,0.731615924247846
"parent_excitation_dense","one_step_shared_gamma_poisson","recruit_size",40,1,0.0291479447117317,0.0784969741302722,0.0833270786100228,0.586290927577364
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruit_size",28,0.964285714285714,0.067505587564876,0.168688040147507,0.162742040745068,0.698969291199964
"parent_excitation_dense","recursive_gamma_poisson","recruit_size",40,1,0.0337567270600792,0.0922834889325505,0.0935846456137374,0.610802852096449
"parent_excitation_sparse","recursive_gamma_poisson","recruit_size",40,1,0.1019577329355,0.181473894987078,0.187835872592856,0.747789439143542
"parent_excitation_dense","one_step_gamma_poisson","recruitment",30,0.933333333333333,0.00136148745056853,0.0134627218766586,0.0108062911137927,0.991193434262539
"parent_excitation_sparse","one_step_gamma_poisson","recruitment",30,1,-0.0063736404530704,0.0292290027771067,0.023065036278036,0.846503580866169
"parent_excitation_dense","one_step_shared_gamma_poisson","recruitment",30,0.933333333333333,0.000641936011953202,0.0128319830703484,0.0121842037846935,0.781777552535444
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruitment",21,1,0.00574567530159855,0.0352898650920073,0.0270208240609252,0.780604894189561
"parent_excitation_dense","recursive_gamma_poisson","recruitment",30,0.9,-0.00026085895953194,0.0142782070673416,0.0109590294867701,1.08380880974376
"parent_excitation_sparse","recursive_gamma_poisson","recruitment",30,0.866666666666667,-0.00426594844879138,0.026767699090597,0.0214422805290811,1.07585896209514
"parent_excitation_dense","one_step_gamma_poisson","survival",30,1,0.000363261001743281,0.00527710798629719,0.0102960981730135,0.404882374458475
"parent_excitation_sparse","one_step_gamma_poisson","survival",30,1,-0.00250276794551664,0.018785367137942,0.0212732373433284,0.71243184232935
"parent_excitation_dense","one_step_shared_gamma_poisson","survival",30,1,8.25417856573043e-05,0.00544229650432628,0.0110899221574288,0.435357079751919
"parent_excitation_sparse","one_step_shared_gamma_poisson","survival",21,1,-0.00610215860276757,0.0196761713469507,0.0246303288026046,0.706199650901796
"parent_excitation_dense","recursive_gamma_poisson","survival",30,1,0.000859956946324128,0.00588181227396039,0.00766179618145492,0.662397149653642
"parent_excitation_sparse","recursive_gamma_poisson","survival",30,0.9,-0.0045870975006526,0.0172753760809336,0.0147215162347264,0.949783424020146
