"scenario","method","quantity","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_110",10,0.9,-0.0361569780941416,0.0981999938404313,0.0865431698075933,0.984798828243109
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_110",10,1,0.0147653811268704,0.169344903049001,0.18005506423159,0.860050494267682
"parent_excitation_dense","one_step_shared_gamma_poisson","growth_increment_110",10,0.9,-0.0346209225617926,0.0982273803778245,0.0860854767881815,0.990355884764653
"parent_excitation_sparse","one_step_shared_gamma_poisson","growth_increment_110",7,1,-0.00485877805653891,0.151629163763484,0.172834741840442,0.739922415206158
"parent_excitation_dense","recursive_gamma_poisson","growth_increment_110",10,0.8,-0.0356350464271893,0.0972156339365325,0.0622882017938251,1.34131416842559
"parent_excitation_sparse","recursive_gamma_poisson","growth_increment_110",10,0.8,0.0318835059732501,0.163185788029063,0.125442375136762,1.1484853665485
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_50",10,0.9,-0.0692526028506384,0.152637519347068,0.122202123441288,1.01952387812606
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_50",10,1,-0.11324525554066,0.231475720663828,0.262954952596333,0.703577092917642
"parent_excitation_dense","one_step_shared_gamma_poisson","growth_increment_50",10,0.8,-0.0461013422826348,0.151388887026494,0.110859183352764,1.11526578609647
"parent_excitation_sparse","one_step_shared_gamma_poisson","growth_increment_50",7,1,-0.1070294285007,0.159067993476395,0.224034562048183,0.615935222726231
"parent_excitation_dense","recursive_gamma_poisson","growth_increment_50",10,0.7,-0.0777862728137086,0.157823555708693,0.106282964047832,1.20368369836601
"parent_excitation_sparse","recursive_gamma_poisson","growth_increment_50",10,0.9,-0.0419664413654456,0.194480747395233,0.214693381988756,0.765458771215292
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_80",10,0.7,-0.0527047904723862,0.113142596106097,0.0817857842560684,1.00975254937221
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_80",10,1,-0.0492399372068959,0.144476921577397,0.173045444263041,0.697409703510379
"parent_excitation_dense","one_step_shared_gamma_poisson","growth_increment_80",10,0.8,-0.0403611324222146,0.115053370383033,0.0774938874284667,1.11606856329218
"parent_excitation_sparse","one_step_shared_gamma_poisson","growth_increment_80",7,1,-0.0559441032786217,0.0971953660573824,0.154396283103389,0.496973891293332
"parent_excitation_dense","recursive_gamma_poisson","growth_increment_80",10,0.7,-0.0567106596204448,0.119975538918059,0.0693363932005174,1.30515742858161
"parent_excitation_sparse","recursive_gamma_poisson","growth_increment_80",10,1,-0.00504146769609957,0.139175052672908,0.139636178995114,0.823384838435114
"parent_excitation_dense","one_step_gamma_poisson","growth_sd.log_growth_sd",10,0.2,-0.18527245077491,0.190172043612643,0.0733003014581512,2.54312470799984
"parent_excitation_sparse","one_step_gamma_poisson","growth_sd.log_growth_sd",10,1,-0.0620922644391453,0.12687149259774,0.148046486192042,0.808435107212903
"parent_excitation_dense","one_step_shared_gamma_poisson","growth_sd.log_growth_sd",10,0.1,-0.192623890916344,0.198248189496465,0.0715127909726177,2.68768685069451
"parent_excitation_sparse","one_step_shared_gamma_poisson","growth_sd.log_growth_sd",7,1,-0.0829896027772129,0.127737710219717,0.138774690450591,0.88127282692468
"parent_excitation_dense","recursive_gamma_poisson","growth_sd.log_growth_sd",10,0,-0.184937788638942,0.189190029869382,0.062791420713201,2.95594630907306
"parent_excitation_sparse","recursive_gamma_poisson","growth_sd.log_growth_sd",10,0.8,-0.112423475154791,0.164173992799573,0.123848422423099,1.21817975267678
"parent_excitation_dense","one_step_gamma_poisson","lambda",10,1,-0.00194127050721373,0.00588465867452256,0.0123021145431056,0.370532017660899
"parent_excitation_sparse","one_step_gamma_poisson","lambda",10,1,-0.00763090123729625,0.0237107203421294,0.0256451817621522,0.752029218288236
"parent_excitation_dense","one_step_shared_gamma_poisson","lambda",10,1,-0.00175141418029603,0.0053214474873861,0.013735119237933,0.289474958608626
"parent_excitation_sparse","one_step_shared_gamma_poisson","lambda",7,1,-0.0101635147339118,0.0249924549889104,0.0311939823017236,0.727908095480493
"parent_excitation_dense","recursive_gamma_poisson","lambda",10,1,-0.0015732507514937,0.00521714288160127,0.00742272731358586,0.547028329823702
"parent_excitation_sparse","recursive_gamma_poisson","lambda",10,0.7,-0.00838692034592441,0.0209251729949983,0.014385738591399,1.03391743539252
"parent_excitation_dense","one_step_gamma_poisson","recruit_mean_110",10,1,0.0222392798409615,0.0360170553179791,0.0544800640401272,0.530494769565515
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_110",10,1,0.0559620521923044,0.0931084246631948,0.112687427826317,0.751312061302294
"parent_excitation_dense","one_step_shared_gamma_poisson","recruit_mean_110",10,1,0.0165480197921397,0.0326137442278293,0.0499770326834993,0.500400748744348
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruit_mean_110",7,1,0.0292241315262548,0.0856793159206428,0.0984894136648715,0.7007414650672
"parent_excitation_dense","recursive_gamma_poisson","recruit_mean_110",10,1,0.0181522540634191,0.0397497168217887,0.0545692773561324,0.578227613555418
"parent_excitation_sparse","recursive_gamma_poisson","recruit_mean_110",10,1,0.053947591932787,0.0948390407844405,0.110645494529309,0.746557849100527
"parent_excitation_dense","one_step_gamma_poisson","recruit_mean_50",10,1,0.0866156147251232,0.142771726942768,0.178858803039824,0.672956545892195
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_50",10,0.9,0.233117838131611,0.324455430513951,0.372466740933051,0.731011506644469
"parent_excitation_dense","one_step_shared_gamma_poisson","recruit_mean_50",10,1,0.06141240524274,0.130577712723794,0.160570221081802,0.674603804221079
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruit_mean_50",7,1,0.145477496592415,0.272576143949397,0.312604534555385,0.676907172908862
