"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","scenario","replicate","method","group"
"survival_50",0.354343693774205,0.338817147057668,0.0122455031771551,0.314057595930081,0.339409504232871,0.363431878502817,TRUE,-1.26793864587799,"parent_excitation_sparse",1,"recursive_gamma_poisson","survival"
"survival_80",0.589040434058665,0.57512114460373,0.0123062294037095,0.550949170794548,0.574875113454096,0.596358096598628,TRUE,-1.13107670906409,"parent_excitation_sparse",1,"recursive_gamma_poisson","survival"
"survival_110",0.789181706522253,0.781265398280511,0.0141997588099526,0.750906482011949,0.781686394021332,0.805901995960392,TRUE,-0.557495965085938,"parent_excitation_sparse",1,"recursive_gamma_poisson","survival"
"growth_increment_50",12,12.2124517690384,0.213741090691844,11.8091726662599,12.204242550086,12.6654586010156,TRUE,0.993967834405082,"parent_excitation_sparse",1,"recursive_gamma_poisson","growth"
"growth_increment_80",8.4,8.62181867900273,0.145043772454197,8.36838956916492,8.62898905571082,8.91422599736797,TRUE,1.52932232283723,"parent_excitation_sparse",1,"recursive_gamma_poisson","growth"
"growth_increment_110",4.8,5.03118558896711,0.12626773032923,4.7894466549306,5.03048491168317,5.27152685371461,TRUE,1.83091585129719,"parent_excitation_sparse",1,"recursive_gamma_poisson","growth"
"growth_sd.log_growth_sd",4.5,4.22443820082722,0.123898137884664,3.99961774859978,4.21146307820938,4.472731221452,FALSE,-2.2240996021207,"parent_excitation_sparse",1,"recursive_gamma_poisson","growth"
"recruitment_50",0.019387103915861,0.0195192876575817,0.00184671099310587,0.0163498916767937,0.0194311439731135,0.0235187452082596,TRUE,0.0715779254112601,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruitment"
"recruitment_80",0.183939720585721,0.183494803615069,0.0110846688030007,0.164378159635053,0.183167778878379,0.206799802972992,TRUE,-0.0401380481960508,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruitment"
"recruitment_110",1.74517147873092,1.727063862361,0.0491613943452788,1.64506870186612,1.72504635363639,1.82675964314494,TRUE,-0.368329999811216,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruitment"
"recruit_mean_50",44,44.1699895891394,0.381958786102279,43.4659212023466,44.1917479721233,44.8901910849264,TRUE,0.445046940467141,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruit_size"
"recruit_mean_80",44.6,44.731769904071,0.246107458599997,44.2708382348137,44.7504071356882,45.1995446955027,TRUE,0.535416134157839,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruit_size"
"recruit_mean_110",45.2,45.2935502190026,0.116545841643113,45.0720102832108,45.292944966064,45.5162576790968,TRUE,0.802690320681828,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruit_size"
"recruit_sd.log_recruit_sd",3.5,3.56166654893346,0.0438177905449382,3.47832366096819,3.56015301202557,3.64553279134239,TRUE,1.40734044703189,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruit_size"
"lambda",1.03119869581319,1.02731789238935,0.0128192755331659,1.0031940815835,1.02744038009291,1.05146664290159,TRUE,-0.302731883233604,"parent_excitation_sparse",1,"recursive_gamma_poisson","lambda"
"survival_50",0.354343693774205,0.351975687601652,0.0127892468221783,0.327114686000478,0.352083002862081,0.375190213454652,TRUE,-0.185156030333745,"parent_excitation_sparse",1,"one_step_gamma_poisson","survival"
"survival_80",0.589040434058665,0.579910562881994,0.0197990451932396,0.545070847233463,0.57961657327568,0.619520293866787,TRUE,-0.461126841600862,"parent_excitation_sparse",1,"one_step_gamma_poisson","survival"
"survival_110",0.789181706522253,0.77741457781173,0.0254022262094875,0.728961525073415,0.778263356679695,0.826873661293349,TRUE,-0.463232183411083,"parent_excitation_sparse",1,"one_step_gamma_poisson","survival"
"growth_increment_50",12,12.0222562674509,0.249652189752205,11.5121035188682,12.0354390696961,12.495819973321,TRUE,0.0891490976825985,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
