"scenario","replicate","method","success","error","positive_definite","condition_number"
"parent_excitation_sparse",1,"recursive_gamma_poisson",TRUE,"",TRUE,22145.034876598
"parent_excitation_sparse",1,"one_step_gamma_poisson",TRUE,"",TRUE,37848.8291798125
"parent_excitation_sparse",1,"one_step_shared_gamma_poisson",TRUE,"",FALSE,6.06556492841297e+57
"parent_excitation_dense",1,"recursive_gamma_poisson",TRUE,"",TRUE,40606.2572102298
"parent_excitation_dense",1,"one_step_gamma_poisson",TRUE,"",TRUE,45892.3519266505
"parent_excitation_dense",1,"one_step_shared_gamma_poisson",TRUE,"",TRUE,45189.045775548
"parent_excitation_sparse",2,"recursive_gamma_poisson",TRUE,"",TRUE,6559.50243607428
"parent_excitation_sparse",2,"one_step_gamma_poisson",TRUE,"",TRUE,2138.14347824027
"parent_excitation_sparse",2,"one_step_shared_gamma_poisson",TRUE,"",TRUE,4276.6199932285
"parent_excitation_dense",2,"recursive_gamma_poisson",TRUE,"",TRUE,4309.23522221786
"parent_excitation_dense",2,"one_step_gamma_poisson",TRUE,"",TRUE,8948.01206187533
"parent_excitation_dense",2,"one_step_shared_gamma_poisson",TRUE,"",TRUE,15029.123879431
"parent_excitation_sparse",3,"recursive_gamma_poisson",TRUE,"",TRUE,14912.9720843505
"parent_excitation_sparse",3,"one_step_gamma_poisson",TRUE,"",TRUE,1790.1663390879
"parent_excitation_sparse",3,"one_step_shared_gamma_poisson",TRUE,"",TRUE,3086.29483868168
"parent_excitation_dense",3,"recursive_gamma_poisson",TRUE,"",TRUE,26522.1417002371
"parent_excitation_dense",3,"one_step_gamma_poisson",TRUE,"",TRUE,19970.4248288412
"parent_excitation_dense",3,"one_step_shared_gamma_poisson",TRUE,"",TRUE,18482.7178784857
"parent_excitation_sparse",4,"recursive_gamma_poisson",TRUE,"",TRUE,7066.73052069171
"parent_excitation_sparse",4,"one_step_gamma_poisson",TRUE,"",TRUE,2450.5471770451
"parent_excitation_sparse",4,"one_step_shared_gamma_poisson",TRUE,"",FALSE,4.61168601842739e+36
"parent_excitation_dense",4,"recursive_gamma_poisson",TRUE,"",TRUE,15543.9684780626
"parent_excitation_dense",4,"one_step_gamma_poisson",TRUE,"",TRUE,17491.6974920439
"parent_excitation_dense",4,"one_step_shared_gamma_poisson",TRUE,"",TRUE,19546.0400850248
"parent_excitation_sparse",5,"recursive_gamma_poisson",TRUE,"",TRUE,5510.57321453759
"parent_excitation_sparse",5,"one_step_gamma_poisson",TRUE,"",TRUE,2153.71209712328
"parent_excitation_sparse",5,"one_step_shared_gamma_poisson",TRUE,"",TRUE,4606.99603865644
"parent_excitation_dense",5,"recursive_gamma_poisson",TRUE,"",TRUE,20966.2473833841
"parent_excitation_dense",5,"one_step_gamma_poisson",TRUE,"",TRUE,21580.1893702876
"parent_excitation_dense",5,"one_step_shared_gamma_poisson",TRUE,"",TRUE,31826.8285512372
"parent_excitation_sparse",6,"recursive_gamma_poisson",TRUE,"",TRUE,15258.9144099565
"parent_excitation_sparse",6,"one_step_gamma_poisson",TRUE,"",TRUE,1887.27405153999
"parent_excitation_sparse",6,"one_step_shared_gamma_poisson",TRUE,"",TRUE,3286.10625240006
"parent_excitation_dense",6,"recursive_gamma_poisson",TRUE,"",TRUE,37323.1987594621
"parent_excitation_dense",6,"one_step_gamma_poisson",TRUE,"",TRUE,65383.7200756238
"parent_excitation_dense",6,"one_step_shared_gamma_poisson",TRUE,"",TRUE,47254.3602969784
"parent_excitation_sparse",7,"recursive_gamma_poisson",TRUE,"",TRUE,5553.52582662769
"parent_excitation_sparse",7,"one_step_gamma_poisson",TRUE,"",TRUE,2084.66029595014
"parent_excitation_sparse",7,"one_step_shared_gamma_poisson",TRUE,"",TRUE,2940.97990485058
"parent_excitation_dense",7,"recursive_gamma_poisson",TRUE,"",TRUE,15542.8872703177
"parent_excitation_dense",7,"one_step_gamma_poisson",TRUE,"",TRUE,11534.3007995033
"parent_excitation_dense",7,"one_step_shared_gamma_poisson",TRUE,"",TRUE,19311.5268401412
"parent_excitation_sparse",8,"recursive_gamma_poisson",TRUE,"",TRUE,1465.40488976289
"parent_excitation_sparse",8,"one_step_gamma_poisson",TRUE,"",TRUE,788.247278931821
"parent_excitation_sparse",8,"one_step_shared_gamma_poisson",TRUE,"",TRUE,2714.28605037391
"parent_excitation_dense",8,"recursive_gamma_poisson",TRUE,"",TRUE,143718.61856442
"parent_excitation_dense",8,"one_step_gamma_poisson",TRUE,"",TRUE,105362.985733157
"parent_excitation_dense",8,"one_step_shared_gamma_poisson",TRUE,"",TRUE,36563.7429306211
"parent_excitation_sparse",9,"recursive_gamma_poisson",TRUE,"",TRUE,6749.71710796697
"parent_excitation_sparse",9,"one_step_gamma_poisson",TRUE,"",TRUE,27352.8828375732
"parent_excitation_sparse",9,"one_step_shared_gamma_poisson",TRUE,"",TRUE,8516.6347001625
"parent_excitation_dense",9,"recursive_gamma_poisson",TRUE,"",TRUE,21759.9500619574
"parent_excitation_dense",9,"one_step_gamma_poisson",TRUE,"",TRUE,10515.826589122
"parent_excitation_dense",9,"one_step_shared_gamma_poisson",TRUE,"",TRUE,18302.0128105546
"parent_excitation_sparse",10,"recursive_gamma_poisson",TRUE,"",TRUE,5624.19394433304
"parent_excitation_sparse",10,"one_step_gamma_poisson",TRUE,"",TRUE,2374.07309228768
"parent_excitation_sparse",10,"one_step_shared_gamma_poisson",TRUE,"",FALSE,1236852845635234048
"parent_excitation_dense",10,"recursive_gamma_poisson",TRUE,"",TRUE,10137.1034011388
"parent_excitation_dense",10,"one_step_gamma_poisson",TRUE,"",TRUE,18739.8965474621
"parent_excitation_dense",10,"one_step_shared_gamma_poisson",TRUE,"",TRUE,22297.5270556787
