"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias","mean_contraction"
"parent_excitation_dense","one_step_gamma_poisson","growth",30,0.633333333333333,-0.0279698337417746,0.073744683329563,0.0478563742503067,1.39660587504551,0.982395256588771
"parent_excitation_sparse","one_step_gamma_poisson","growth",30,1,-0.00710884663433699,0.101164940484333,0.100860356416849,0.7791448480551,0.963819064986247
"parent_excitation_dense","one_step_shared_gamma_poisson","growth",30,0.633333333333333,-0.02682652697133,0.0744777806169695,0.0451428413363684,1.50528565293282,0.983196524345285
"parent_excitation_sparse","one_step_shared_gamma_poisson","growth",21,1,-0.0137438062406405,0.0748876187940718,0.0902187646514769,0.752484391318383,0.967043684925136
"parent_excitation_dense","recursive_gamma_poisson","growth",30,0.566666666666667,-0.0282581299476209,0.076357717541908,0.0396810436985608,1.68416547977669,0.985313442152559
"parent_excitation_sparse","recursive_gamma_poisson","growth",30,0.9,-0.00216400098832785,0.0939828326477382,0.0796883861864845,0.916707271372509,0.970895876790074
"parent_excitation_dense","one_step_gamma_poisson","process",10,NA,NA,NA,0.541330703936202,NA,0.729334648031899
"parent_excitation_sparse","one_step_gamma_poisson","process",10,NA,NA,NA,0.486933346433727,NA,0.756533326783137
"parent_excitation_dense","one_step_shared_gamma_poisson","process",10,NA,NA,NA,0.615204043604246,NA,0.692397978197877
"parent_excitation_sparse","one_step_shared_gamma_poisson","process",7,NA,NA,NA,0.531534717852345,NA,0.734232641073828
"parent_excitation_dense","recursive_gamma_poisson","process",10,NA,NA,NA,0.494062615465895,NA,0.752968692267053
"parent_excitation_sparse","recursive_gamma_poisson","process",10,NA,NA,NA,0.530445375099243,NA,0.734777312450378
"parent_excitation_dense","one_step_gamma_poisson","recruit_size",30,1,0.0109623482117373,0.0553159346596259,0.0550323681890172,0.60360816197991,0.985736880141759
"parent_excitation_sparse","one_step_gamma_poisson","recruit_size",30,0.933333333333333,0.030776352878777,0.127530096369761,0.114634743528187,0.732013810262245,0.970087658433392
"parent_excitation_dense","one_step_shared_gamma_poisson","recruit_size",30,1,0.0079689033173906,0.0503235416840502,0.049238831891052,0.638350838546371,0.987624981241118
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruit_size",21,0.952380952380952,0.016923997971261,0.108674516196415,0.0959843483009953,0.700948300582534,0.975865450764984
"parent_excitation_dense","recursive_gamma_poisson","recruit_size",30,1,0.00898595174847876,0.0593804180698755,0.0556591543931323,0.635274023682843,0.985463699705008
"parent_excitation_sparse","recursive_gamma_poisson","recruit_size",30,1,0.0284880344475083,0.116774184757535,0.111541808236104,0.737467821573807,0.971173027194384
"parent_excitation_dense","one_step_gamma_poisson","recruitment",20,0.85,0.00122293917604895,0.0352300922947934,0.0223321262523964,1.2106724189199,0.982964863345242
"parent_excitation_sparse","one_step_gamma_poisson","recruitment",20,1,-0.00519191027401198,0.0508389881220084,0.0478010460279306,0.874076951263697,0.963500404707876
"parent_excitation_dense","one_step_shared_gamma_poisson","recruitment",20,0.85,0.000341393052567451,0.0319566259826625,0.0240916173793443,1.01318110319506,0.981633363380402
"parent_excitation_sparse","one_step_shared_gamma_poisson","recruitment",14,1,0.00497561776114774,0.0502508714745938,0.0513102536652116,0.775831527305801,0.96087151758815
"parent_excitation_dense","recursive_gamma_poisson","recruitment",20,0.85,-0.000412091786971436,0.033661970191465,0.0212977494016599,1.36105241179631,0.98379702457742
"parent_excitation_sparse","recursive_gamma_poisson","recruitment",20,0.7,-0.00118694781599867,0.0770324045509942,0.0417369839082128,1.59618628650222,0.968253835131808
"parent_excitation_dense","one_step_gamma_poisson","survival",20,1,0.00338251759104208,0.0185177847173416,0.0359673933932323,0.405397499549755,0.971283292916843
"parent_excitation_sparse","one_step_gamma_poisson","survival",20,1,-0.0135761490798207,0.0616867792379353,0.0728489922181014,0.748268990294539,0.941750680605854
"parent_excitation_dense","one_step_shared_gamma_poisson","survival",20,1,0.00350893138128422,0.0181637799425711,0.038648177354769,0.361095885282606,0.969572906291273
"parent_excitation_sparse","one_step_shared_gamma_poisson","survival",14,0.928571428571429,-0.0165313133703854,0.0656085911045939,0.0848669108513572,0.663922968175167,0.933423607550883
"parent_excitation_dense","recursive_gamma_poisson","survival",20,1,0.00318387797233277,0.018897015143045,0.0247862644076971,0.674721477266125,0.980154385498656
"parent_excitation_sparse","recursive_gamma_poisson","survival",20,0.9,-0.0165777129038826,0.0567952545145399,0.047086426696958,0.991427320101646,0.962355333935329
