"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"parent_excitation_dense","one_step_gamma_poisson","growth",400,0.8025,-0.0724634038664288,0.126092416455576,0.0911051492459914,1.17674627892155
"parent_excitation_sparse","one_step_gamma_poisson","growth",400,0.95,-0.0639159963735206,0.18221039691121,0.183878666022557,0.829472426292268
"standard","one_step_gamma_poisson","growth",392,0.727040816326531,0.438833929693358,1.74732896441615,1.22104598159974,1.5149583240099
"parent_excitation_dense","recursive_gamma_poisson","growth",400,0.7075,-0.0720865785218603,0.127512154152733,0.0753128730787612,1.41169329894402
"parent_excitation_sparse","recursive_gamma_poisson","growth",400,0.86,-0.0653714304821943,0.182499562026583,0.148869580535371,1.05870106668887
"standard","recursive_gamma_poisson","growth",392,0.798469387755102,0.191131111486993,1.21666292897111,0.907056684825244,1.41505784135619
"parent_excitation_dense","one_step_gamma_poisson","lambda",100,1,-0.00165147767183515,0.00737504845819469,0.0121225276025711,0.500398185848452
"parent_excitation_sparse","one_step_gamma_poisson","lambda",100,0.95,-0.00577906802673979,0.0217082200778324,0.024813772537481,0.711323070423873
"standard","one_step_gamma_poisson","lambda",98,0.959183673469388,-0.0248891491372133,0.0449355267827524,0.0569930214682549,0.695404976677865
"parent_excitation_dense","recursive_gamma_poisson","lambda",100,0.96,-0.00085107739213552,0.00691655712107089,0.00720560037744432,0.76857497038788
"parent_excitation_sparse","recursive_gamma_poisson","lambda",100,0.92,-0.00281814844489179,0.0174074380909684,0.0142853787405631,0.989594585237921
"standard","recursive_gamma_poisson","lambda",98,0.76530612244898,-0.0147472360671153,0.0311380244559815,0.020056699794227,1.27333157779008
"parent_excitation_dense","one_step_gamma_poisson","recruit_size",400,0.9675,-0.0105819181976248,0.106408308589373,0.0923562229764717,0.794380241899365
"parent_excitation_sparse","one_step_gamma_poisson","recruit_size",400,0.965,-0.0145469631221569,0.205248681336071,0.190786815629977,0.744766155316588
"standard","one_step_gamma_poisson","recruit_size",392,0.903061224489796,0.22437113868807,1.1007313774231,0.825314649868641,0.953776366192048
"parent_excitation_dense","recursive_gamma_poisson","recruit_size",400,0.9525,-0.00812134188574409,0.110087155344717,0.0937636502939425,0.796659158105144
"parent_excitation_sparse","recursive_gamma_poisson","recruit_size",400,0.9775,-0.02247614611973,0.199235942517399,0.186637792811069,0.740432517034632
"standard","recursive_gamma_poisson","recruit_size",392,0.928571428571429,0.179233807998533,1.02089314510793,0.880704741605238,0.849350026906061
"parent_excitation_dense","one_step_gamma_poisson","recruitment",300,0.716666666666667,-0.00375623144125707,0.0255869637860972,0.0108442465506655,1.40831010472838
"parent_excitation_sparse","one_step_gamma_poisson","recruitment",300,0.8,-5.02064406102797e-05,0.0453733245331825,0.0224643228351931,1.13737646635491
"standard","one_step_gamma_poisson","recruitment",294,0.479591836734694,0.00544035102853028,0.330596137122057,0.109688763636391,2.01792029915732
"parent_excitation_dense","recursive_gamma_poisson","recruitment",300,0.693333333333333,-0.00349190990541068,0.0257600989687857,0.0106654531302088,1.4648851986125
"parent_excitation_sparse","recursive_gamma_poisson","recruitment",300,0.733333333333333,0.00133620122242369,0.0469626795975877,0.0211676504437019,1.40045945674193
"standard","recursive_gamma_poisson","recruitment",294,0.568027210884354,-0.0169175040449645,0.272764197016451,0.0883863768687933,2.84346675517973
"parent_excitation_dense","one_step_gamma_poisson","survival",300,0.996666666666667,0.000397805835381476,0.00598169863061594,0.0101193074984396,0.50199159642654
"parent_excitation_sparse","one_step_gamma_poisson","survival",300,0.983333333333333,-0.00160309482873374,0.0174315596129893,0.0206055405710812,0.685285819291504
"standard","one_step_gamma_poisson","survival",294,0.938775510204082,0.00858067675134466,0.0439376461549073,0.045250227457592,0.797249085032752
"parent_excitation_dense","recursive_gamma_poisson","survival",300,0.973333333333333,0.000576709422112395,0.00659324934678314,0.00745672918560568,0.713525036995841
"parent_excitation_sparse","recursive_gamma_poisson","survival",300,0.926666666666667,-0.000772620296471804,0.0153659000791924,0.0146693625203916,0.840962318699854
"standard","recursive_gamma_poisson","survival",294,0.931972789115646,0.00424449035031741,0.0274574257357446,0.0262527084022146,0.8278957811937
