"scenario","method","quantity","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_110",100,0.97,-0.0217938936593265,0.0725319364859396,0.085937542605522,0.651050359317184
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_110",100,0.98,-0.0144853113917614,0.16065784243503,0.173183562828188,0.799789053722703
"standard","one_step_gamma_poisson","growth_increment_110",98,0.928571428571429,0.211149461455234,1.23321364526899,1.37293268077724,1.29474695646705
"parent_excitation_dense","recursive_gamma_poisson","growth_increment_110",100,0.87,-0.0195809944620003,0.0728516111871933,0.0621087175839555,0.90103766502125
"parent_excitation_sparse","recursive_gamma_poisson","growth_increment_110",100,0.87,-0.00750197086846423,0.157328584107159,0.123404270347354,1.09762111731762
"standard","recursive_gamma_poisson","growth_increment_110",98,0.795918367346939,-0.175566356713813,0.979654023249568,0.727460515710229,1.58133580422998
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_50",100,0.94,-0.0531727962653447,0.124397046742146,0.122081693166391,0.831250635031157
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_50",100,0.97,-0.0710377318032763,0.221395033809588,0.248333000828375,0.703529959252421
"standard","one_step_gamma_poisson","growth_increment_50",98,0.897959183673469,-0.787608087611342,1.39354597282443,1.44788838855636,0.893627034617001
"parent_excitation_dense","recursive_gamma_poisson","growth_increment_50",100,0.9,-0.0516300201819133,0.122476340896396,0.10709678766584,0.897412000029425
"parent_excitation_sparse","recursive_gamma_poisson","growth_increment_50",100,0.93,-0.0512395271468236,0.207558891325589,0.210652466898988,0.80599341425093
"standard","recursive_gamma_poisson","growth_increment_50",98,0.877551020408163,-0.119450237026409,1.20931436056366,1.20411927168706,1.1140543447976
"parent_excitation_dense","one_step_gamma_poisson","growth_increment_80",100,0.95,-0.0374833449623354,0.0819213337609304,0.082260687892369,0.826719278185478
"parent_excitation_sparse","one_step_gamma_poisson","growth_increment_80",100,0.94,-0.0427615215975188,0.153963112824285,0.166418403199816,0.742700544658876
"standard","one_step_gamma_poisson","growth_increment_80",98,0.938775510204082,-0.288543717027781,0.977801569418278,1.14428688568356,0.960806072607379
"parent_excitation_dense","recursive_gamma_poisson","growth_increment_80",100,0.88,-0.0356055073219548,0.0802722428641941,0.0699065272716196,0.917600451988693
"parent_excitation_sparse","recursive_gamma_poisson","growth_increment_80",100,0.92,-0.0293707490076443,0.141931779757313,0.137828875707912,0.841659454884249
"standard","recursive_gamma_poisson","growth_increment_80",98,0.918367346938776,-0.147508296870111,0.937094513652848,0.835062535295835,1.35829113849173
"parent_excitation_dense","one_step_gamma_poisson","growth_sd.log_growth_sd",100,0.35,-0.177403580578709,0.190133053351299,0.0741406733196832,2.3979648431524
"parent_excitation_sparse","one_step_gamma_poisson","growth_sd.log_growth_sd",100,0.91,-0.127379420701526,0.185124745855845,0.14757969723385,1.07187014753507
"standard","one_step_gamma_poisson","growth_sd.log_growth_sd",98,0.142857142857143,2.62033806195732,2.79172918764352,0.919075971381805,2.91065323234819
"parent_excitation_dense","recursive_gamma_poisson","growth_sd.log_growth_sd",100,0.18,-0.181529792121573,0.195667967537595,0.0621394597936298,2.93072307873672
"parent_excitation_sparse","recursive_gamma_poisson","growth_sd.log_growth_sd",100,0.72,-0.173373474905845,0.212712843310009,0.123592709187228,1.48953028030267
"standard","recursive_gamma_poisson","growth_sd.log_growth_sd",98,0.602040816326531,1.20704933655831,1.61887781363432,0.861584416607855,1.60655007790545
"parent_excitation_dense","one_step_gamma_poisson","lambda",100,1,-0.00165147767183515,0.00737504845819469,0.0121225276025711,0.500398185848452
"parent_excitation_sparse","one_step_gamma_poisson","lambda",100,0.95,-0.00577906802673979,0.0217082200778324,0.024813772537481,0.711323070423873
"standard","one_step_gamma_poisson","lambda",98,0.959183673469388,-0.0248891491372133,0.0449355267827524,0.0569930214682549,0.695404976677865
"parent_excitation_dense","recursive_gamma_poisson","lambda",100,0.96,-0.00085107739213552,0.00691655712107089,0.00720560037744432,0.76857497038788
"parent_excitation_sparse","recursive_gamma_poisson","lambda",100,0.92,-0.00281814844489179,0.0174074380909684,0.0142853787405631,0.989594585237921
"standard","recursive_gamma_poisson","lambda",98,0.76530612244898,-0.0147472360671153,0.0311380244559815,0.020056699794227,1.27333157779008
"parent_excitation_dense","one_step_gamma_poisson","recruit_mean_110",100,0.95,-0.00876221011199788,0.0542458562385319,0.0541628840304195,0.832278402312718
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_110",100,0.97,-0.0138041487720995,0.106094904107863,0.110662719862391,0.751269897112272
"standard","one_step_gamma_poisson","recruit_mean_110",98,0.948979591836735,-0.0450503776266473,1.15923534835141,0.65807682529796,0.724829660846813
"parent_excitation_dense","recursive_gamma_poisson","recruit_mean_110",100,0.93,-0.00698981935292835,0.0553970970285932,0.0548933013058922,0.825260939330146
"parent_excitation_sparse","recursive_gamma_poisson","recruit_mean_110",100,0.97,-0.0175221286663518,0.100886418705486,0.109490810978357,0.741642186131415
"standard","recursive_gamma_poisson","recruit_mean_110",98,0.948979591836735,0.0466924004154696,0.471007666413484,0.591446515348987,0.714873025998792
"parent_excitation_dense","one_step_gamma_poisson","recruit_mean_50",100,0.97,-0.0190162867491148,0.171672771062661,0.1784306490862,0.792349647640795
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_50",100,0.99,-0.0212937187973136,0.329676969578124,0.369810493066285,0.692078756937114
"standard","one_step_gamma_poisson","recruit_mean_50",98,0.846938775510204,0.771549340620223,1.59448117546138,1.48965060106099,1.14111391190809
"parent_excitation_dense","recursive_gamma_poisson","recruit_mean_50",100,0.95,-0.0145686701072346,0.178029340230022,0.181223957915229,0.80136163272484
"parent_excitation_sparse","recursive_gamma_poisson","recruit_mean_50",100,1,-0.0383741112557561,0.321111930339762,0.360542244923483,0.708160704271869
"standard","recursive_gamma_poisson","recruit_mean_50",98,0.908163265306122,0.487824918117746,1.72285305518144,1.68855902547482,0.915075518838455
"parent_excitation_dense","one_step_gamma_poisson","recruit_mean_80",100,0.97,-0.0138892484305592,0.111645549439195,0.114275344927007,0.805171867441324
"parent_excitation_sparse","one_step_gamma_poisson","recruit_mean_80",100,0.96,-0.0175489337847087,0.215044571360093,0.235691692304813,0.708029949360583
"standard","one_step_gamma_poisson","recruit_mean_80",98,0.887755102040816,0.363249481496796,0.920266527397432,0.879317560501504,0.931982289405129
"parent_excitation_dense","recursive_gamma_poisson","recruit_mean_80",100,0.95,-0.0107792447300838,0.115256416257623,0.115827798264615,0.81163992050166
"parent_excitation_sparse","recursive_gamma_poisson","recruit_mean_80",100,0.98,-0.027948119961053,0.208357785236734,0.230763502917429,0.723479972945704
"standard","recursive_gamma_poisson","recruit_mean_80",98,0.918367346938776,0.26725865926661,0.955970339998689,0.997226511061037,0.871224654999117
"parent_excitation_dense","one_step_gamma_poisson","recruit_sd.log_recruit_sd",100,0.98,-0.000659927498827245,0.020298536756156,0.0225560138622602,0.747721050202621
"parent_excitation_sparse","one_step_gamma_poisson","recruit_sd.log_recruit_sd",100,0.94,-0.00554105113450586,0.0481755554349489,0.0469823572864182,0.827686017856383
"standard","one_step_gamma_poisson","recruit_sd.log_recruit_sd",98,0.928571428571429,-0.192263889738091,0.33667635461789,0.274213612614111,1.01717960260816
"parent_excitation_dense","recursive_gamma_poisson","recruit_sd.log_recruit_sd",100,0.98,-0.000147633352729681,0.0207219993505635,0.0231095436900332,0.748374139863929
"parent_excitation_sparse","recursive_gamma_poisson","recruit_sd.log_recruit_sd",100,0.96,-0.00606022459575895,0.045562431988222,0.0457546124250048,0.788447204789542
"standard","recursive_gamma_poisson","recruit_sd.log_recruit_sd",98,0.938775510204082,-0.0848407458056936,0.254835422160932,0.245586914536103,0.896226907787881
"parent_excitation_dense","one_step_gamma_poisson","recruitment_110",100,0.75,-0.0109074562619465,0.0431416366278999,0.025705685438754,1.3829230017871
"parent_excitation_sparse","one_step_gamma_poisson","recruitment_110",100,0.78,-0.00330731446800289,0.0766205721312196,0.0531264199946841,1.15220090366566
"standard","one_step_gamma_poisson","recruitment_110",98,0.704081632653061,-0.240617940418456,0.512101700776494,0.197855045301889,1.82211554666203
"parent_excitation_dense","recursive_gamma_poisson","recruitment_110",100,0.72,-0.0102646812044303,0.0434610723648415,0.0255948568071758,1.40624064231698
"parent_excitation_sparse","recursive_gamma_poisson","recruitment_110",100,0.79,0.0004607230200436,0.0788249420695133,0.0506895544319205,1.23248734474384
"standard","recursive_gamma_poisson","recruitment_110",98,0.775510204081633,-0.204322591732842,0.425071865381076,0.170275061016095,3.13412710611375
"parent_excitation_dense","one_step_gamma_poisson","recruitment_50",100,0.68,6.92395263542596e-05,0.00181338376106618,0.000980435523832486,1.46147000901686
