"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","scenario","replicate","method","group"
"survival_50",0.354343693774205,0.342448215019562,0.0248775955208678,0.297023987074194,0.341986020496164,0.389837885109454,TRUE,-0.478160308726978,"standard",1,"recursive_gamma_poisson","survival"
"survival_80",0.589040434058665,0.587826739323497,0.0318386018187453,0.522565815455883,0.588274520852675,0.647202211224458,TRUE,-0.0381202272033593,"standard",1,"recursive_gamma_poisson","survival"
"survival_110",0.789181706522253,0.794384406313034,0.0380994070191933,0.711561490797734,0.798110572982494,0.863662134221092,TRUE,0.136555925612175,"standard",1,"recursive_gamma_poisson","survival"
"growth_increment_50",12,12.4975983670099,1.69929822251316,9.41247609118433,12.5963003608499,15.6356022418093,TRUE,0.292825803274253,"standard",1,"recursive_gamma_poisson","growth"
"growth_increment_80",8.4,8.30263702773952,1.17743137111345,6.05762651701053,8.37783271714931,10.4706616655719,TRUE,-0.0826909955426147,"standard",1,"recursive_gamma_poisson","growth"
"growth_increment_110",4.8,4.10767568846912,0.878780731035888,2.45495269954974,4.11371292570773,6.00722919303555,TRUE,-0.787823727899433,"standard",1,"recursive_gamma_poisson","growth"
"growth_sd.log_growth_sd",4.5,6.34093008350987,0.865361752868668,4.92281792141056,6.24434470056163,8.17480443757193,FALSE,2.12735318773589,"standard",1,"recursive_gamma_poisson","growth"
"recruitment_50",0.019387103915861,0.110811500137246,0.0471957265097463,0.0429345705008184,0.099950966278301,0.221422825663534,FALSE,1.93713293517169,"standard",1,"recursive_gamma_poisson","recruitment"
"recruitment_80",0.183939720585721,0.433794419234217,0.0804353318031469,0.292218540121217,0.425938581507334,0.602906977693067,FALSE,3.10628044974038,"standard",1,"recursive_gamma_poisson","recruitment"
"recruitment_110",1.74517147873092,1.795106581444,0.1818021874384,1.47736492408791,1.79259076205495,2.17045670147819,TRUE,0.27466722714761,"standard",1,"recursive_gamma_poisson","recruitment"
"recruit_mean_50",44,45.3102446485136,1.85210301949031,41.7875082198963,45.2903612195037,48.8787667602755,TRUE,0.707436160259703,"standard",1,"recursive_gamma_poisson","recruit_size"
"recruit_mean_80",44.6,45.3902705601038,0.839426751291978,43.7758718778127,45.3836889432909,47.0475449927943,TRUE,0.941440761671556,"standard",1,"recursive_gamma_poisson","recruit_size"
"recruit_mean_110",45.2,45.470296471694,0.365880764471459,44.7365077751509,45.4943720655519,46.1731643453567,TRUE,0.738755621888188,"standard",1,"recursive_gamma_poisson","recruit_size"
"recruit_sd.log_recruit_sd",3.5,3.78697662803194,0.214465628787211,3.37796775444648,3.786250667168,4.20652618506743,TRUE,1.3381007933755,"standard",1,"recursive_gamma_poisson","recruit_size"
