"scenario","replicate","method","success","error","positive_definite","condition_number"
"standard",1,"recursive_gamma_poisson",TRUE,"",TRUE,2063.06369880208
"standard",1,"one_step_gamma_poisson",TRUE,"",TRUE,2013.0723692134
"parent_excitation_sparse",1,"recursive_gamma_poisson",TRUE,"",TRUE,16247.7105581986
"parent_excitation_sparse",1,"one_step_gamma_poisson",TRUE,"",TRUE,4605.76429617267
"parent_excitation_dense",1,"recursive_gamma_poisson",TRUE,"",TRUE,4496.96200451648
"parent_excitation_dense",1,"one_step_gamma_poisson",TRUE,"",TRUE,4366.5196171445
"standard",2,"recursive_gamma_poisson",TRUE,"",TRUE,4392.29267558114
"standard",2,"one_step_gamma_poisson",TRUE,"",TRUE,1946.8726021219
"parent_excitation_sparse",2,"recursive_gamma_poisson",TRUE,"",TRUE,14912.9720843505
"parent_excitation_sparse",2,"one_step_gamma_poisson",TRUE,"",TRUE,1790.1663390879
"parent_excitation_dense",2,"recursive_gamma_poisson",TRUE,"",TRUE,26522.1417002371
"parent_excitation_dense",2,"one_step_gamma_poisson",TRUE,"",TRUE,19970.4248288412
"standard",3,"recursive_gamma_poisson",TRUE,"",TRUE,2128.11666180412
"standard",3,"one_step_gamma_poisson",TRUE,"",TRUE,1569.61958796992
"parent_excitation_sparse",3,"recursive_gamma_poisson",TRUE,"",TRUE,5727.3620974394
"parent_excitation_sparse",3,"one_step_gamma_poisson",TRUE,"",TRUE,2244.24881036032
"parent_excitation_dense",3,"recursive_gamma_poisson",TRUE,"",TRUE,41180.4525133975
"parent_excitation_dense",3,"one_step_gamma_poisson",TRUE,"",TRUE,40605.8560980212
"standard",4,"recursive_gamma_poisson",TRUE,"",TRUE,11328.3714409592
"standard",4,"one_step_gamma_poisson",TRUE,"",TRUE,11327.2587308175
"parent_excitation_sparse",4,"recursive_gamma_poisson",TRUE,"",TRUE,15258.9144099565
"parent_excitation_sparse",4,"one_step_gamma_poisson",TRUE,"",TRUE,1887.27405153999
"parent_excitation_dense",4,"recursive_gamma_poisson",TRUE,"",TRUE,37323.1987594621
"parent_excitation_dense",4,"one_step_gamma_poisson",TRUE,"",TRUE,65383.7200756238
"standard",5,"recursive_gamma_poisson",TRUE,"",TRUE,1708.01132941599
"standard",5,"one_step_gamma_poisson",TRUE,"",TRUE,8454.12969309017
"parent_excitation_sparse",5,"recursive_gamma_poisson",TRUE,"",TRUE,7231.22888784981
"parent_excitation_sparse",5,"one_step_gamma_poisson",TRUE,"",TRUE,2445.93058853515
"parent_excitation_dense",5,"recursive_gamma_poisson",TRUE,"",TRUE,14260.175011074
