"scenario","replicate","total_profile_counts"
"standard",1,1444
"parent_excitation_sparse",1,10943
"parent_excitation_dense",1,46062
"standard",2,1409
"parent_excitation_sparse",2,11077
"parent_excitation_dense",2,45122
"standard",3,1587
"parent_excitation_sparse",3,11518
"parent_excitation_dense",3,45837
"standard",4,1702
"parent_excitation_sparse",4,10701
"parent_excitation_dense",4,43025
"standard",5,1419
"parent_excitation_sparse",5,11277
"parent_excitation_dense",5,49382
"standard",6,1457
"parent_excitation_sparse",6,11553
"parent_excitation_dense",6,44985
"standard",7,1444
"parent_excitation_sparse",7,11131
"parent_excitation_dense",7,46255
"standard",8,1304
"parent_excitation_sparse",8,11109
"parent_excitation_dense",8,44807
"standard",9,1410
"parent_excitation_sparse",9,11347
"parent_excitation_dense",9,44592
"standard",10,1447
"parent_excitation_sparse",10,10682
"parent_excitation_dense",10,44513
"standard",11,1644
"parent_excitation_sparse",11,11128
"parent_excitation_dense",11,46043
"standard",12,1801
"parent_excitation_sparse",12,11658
"parent_excitation_dense",12,45885
"standard",13,1369
"parent_excitation_sparse",13,11213
"parent_excitation_dense",13,43812
"standard",14,1421
"parent_excitation_sparse",14,10963
"parent_excitation_dense",14,46404
"standard",15,1462
"parent_excitation_sparse",15,11153
"parent_excitation_dense",15,45222
"standard",16,1419
"parent_excitation_sparse",16,11168
"parent_excitation_dense",16,44160
"standard",17,1689
"parent_excitation_sparse",17,11324
"parent_excitation_dense",17,46970
"standard",18,1392
"parent_excitation_sparse",18,11250
"parent_excitation_dense",18,45623
"standard",19,1361
"parent_excitation_sparse",19,11116
"parent_excitation_dense",19,44308
"standard",20,1511
"parent_excitation_sparse",20,11268
"parent_excitation_dense",20,44474
"standard",21,1374
"parent_excitation_sparse",21,10783
"parent_excitation_dense",21,47310
"standard",22,1563
"parent_excitation_sparse",22,11278
"parent_excitation_dense",22,42693
"standard",23,1491
"parent_excitation_sparse",23,10898
"parent_excitation_dense",23,45481
"standard",24,1511
"parent_excitation_sparse",24,10901
"parent_excitation_dense",24,43229
"standard",25,1410
"parent_excitation_sparse",25,11575
"parent_excitation_dense",25,44469
"standard",26,1402
"parent_excitation_sparse",26,11158
"parent_excitation_dense",26,43451
"standard",27,1479
"parent_excitation_sparse",27,11317
"parent_excitation_dense",27,44267
"standard",28,1308
"parent_excitation_sparse",28,11106
"parent_excitation_dense",28,45042
"standard",29,1465
"parent_excitation_sparse",29,11323
"parent_excitation_dense",29,41178
"standard",30,1451
"parent_excitation_sparse",30,10413
"parent_excitation_dense",30,44208
"standard",31,1507
"parent_excitation_sparse",31,10889
"parent_excitation_dense",31,46065
"standard",32,1299
"parent_excitation_sparse",32,11308
"parent_excitation_dense",32,45900
"standard",33,1528
"parent_excitation_sparse",33,10872
"parent_excitation_dense",33,43627
"standard",34,1450
"parent_excitation_sparse",34,11394
"parent_excitation_dense",34,43253
"standard",35,1468
"parent_excitation_sparse",35,11484
"parent_excitation_dense",35,43691
"standard",36,1512
"parent_excitation_sparse",36,10910
"parent_excitation_dense",36,44048
"standard",37,1573
"parent_excitation_sparse",37,10995
"parent_excitation_dense",37,47221
"standard",38,1479
"parent_excitation_sparse",38,10462
"parent_excitation_dense",38,44445
"standard",39,1506
"parent_excitation_sparse",39,11135
"parent_excitation_dense",39,43898
"standard",40,1335
"parent_excitation_sparse",40,11078
"parent_excitation_dense",40,42940
"standard",41,1478
"parent_excitation_sparse",41,11038
"parent_excitation_dense",41,46575
"standard",42,1456
"parent_excitation_sparse",42,11378
"parent_excitation_dense",42,44113
"standard",43,1391
"parent_excitation_sparse",43,11395
"parent_excitation_dense",43,43864
"standard",44,1691
"parent_excitation_sparse",44,10870
"parent_excitation_dense",44,43110
"standard",45,1412
"parent_excitation_sparse",45,10805
"parent_excitation_dense",45,44804
"standard",46,1544
"parent_excitation_sparse",46,11140
"parent_excitation_dense",46,45594
"standard",47,1492
"parent_excitation_sparse",47,11301
"parent_excitation_dense",47,45701
"standard",48,1621
"parent_excitation_sparse",48,11551
"parent_excitation_dense",48,44615
"standard",49,1386
"parent_excitation_sparse",49,11257
"parent_excitation_dense",49,43793
"standard",50,1399
"parent_excitation_sparse",50,11518
"parent_excitation_dense",50,46546
"standard",51,1312
"parent_excitation_sparse",51,11409
"parent_excitation_dense",51,45269
"standard",52,1557
"parent_excitation_sparse",52,11293
"parent_excitation_dense",52,45898
"standard",53,1336
"parent_excitation_sparse",53,11640
"parent_excitation_dense",53,44789
"standard",54,1417
"parent_excitation_sparse",54,10676
"parent_excitation_dense",54,46373
"standard",55,1421
"parent_excitation_sparse",55,11267
"parent_excitation_dense",55,46657
"standard",56,1584
"parent_excitation_sparse",56,10876
"parent_excitation_dense",56,45110
"standard",57,1544
"parent_excitation_sparse",57,11227
"parent_excitation_dense",57,44617
"standard",58,1381
"parent_excitation_sparse",58,11053
"parent_excitation_dense",58,46174
"standard",59,1363
"parent_excitation_sparse",59,11362
"parent_excitation_dense",59,44565
"standard",60,1370
"parent_excitation_sparse",60,11775
"parent_excitation_dense",60,47188
"standard",61,1330
"parent_excitation_sparse",61,11190
"parent_excitation_dense",61,45695
"standard",62,1519
"parent_excitation_sparse",62,11356
"parent_excitation_dense",62,44555
"standard",63,1453
"parent_excitation_sparse",63,11049
"parent_excitation_dense",63,44972
"standard",64,1454
"parent_excitation_sparse",64,11267
"parent_excitation_dense",64,43812
"standard",65,1505
"parent_excitation_sparse",65,10789
"parent_excitation_dense",65,47321
"standard",66,1385
"parent_excitation_sparse",66,10996
"parent_excitation_dense",66,45306
"standard",67,1360
"parent_excitation_sparse",67,11670
"parent_excitation_dense",67,43833
"standard",68,1333
"parent_excitation_sparse",68,10825
"parent_excitation_dense",68,42954
"standard",69,1407
"parent_excitation_sparse",69,11964
"parent_excitation_dense",69,44578
"standard",70,1478
"parent_excitation_sparse",70,10932
"parent_excitation_dense",70,45895
"standard",71,1431
"parent_excitation_sparse",71,11645
"parent_excitation_dense",71,43721
"standard",72,1542
"parent_excitation_sparse",72,11419
"parent_excitation_dense",72,44986
"standard",73,1361
"parent_excitation_sparse",73,10849
"parent_excitation_dense",73,47159
"standard",74,1353
"parent_excitation_sparse",74,11402
"parent_excitation_dense",74,44431
"standard",75,1450
"parent_excitation_sparse",75,11057
"parent_excitation_dense",75,45150
"standard",76,1488
"parent_excitation_sparse",76,11246
"parent_excitation_dense",76,45355
"standard",77,1618
"parent_excitation_sparse",77,11537
"parent_excitation_dense",77,45005
"standard",78,1573
"parent_excitation_sparse",78,11199
"parent_excitation_dense",78,44182
"standard",79,1498
"parent_excitation_sparse",79,10970
"parent_excitation_dense",79,45671
"standard",80,1370
"parent_excitation_sparse",80,11292
"parent_excitation_dense",80,44364
"standard",81,1491
"parent_excitation_sparse",81,11171
"parent_excitation_dense",81,45415
"standard",82,1482
"parent_excitation_sparse",82,11291
"parent_excitation_dense",82,43808
"standard",83,1431
"parent_excitation_sparse",83,10896
"parent_excitation_dense",83,44134
"standard",84,1567
"parent_excitation_sparse",84,11359
"parent_excitation_dense",84,43791
"standard",85,1483
"parent_excitation_sparse",85,11575
"parent_excitation_dense",85,44910
"standard",86,1315
"parent_excitation_sparse",86,11803
"parent_excitation_dense",86,47044
"standard",87,1476
"parent_excitation_sparse",87,10715
"parent_excitation_dense",87,46253
"standard",88,1356
"parent_excitation_sparse",88,10878
"parent_excitation_dense",88,44641
"standard",89,1309
"parent_excitation_sparse",89,11094
"parent_excitation_dense",89,45973
"standard",90,1471
"parent_excitation_sparse",90,11705
"parent_excitation_dense",90,44202
"standard",91,1374
"parent_excitation_sparse",91,11028
"parent_excitation_dense",91,45545
"standard",92,1498
"parent_excitation_sparse",92,11446
"parent_excitation_dense",92,43185
"standard",93,1391
"parent_excitation_sparse",93,11160
"parent_excitation_dense",93,44795
"standard",94,1678
"parent_excitation_sparse",94,11221
"parent_excitation_dense",94,43956
"standard",95,1303
"parent_excitation_sparse",95,10503
"parent_excitation_dense",95,44341
"standard",96,1520
"parent_excitation_sparse",96,11234
"parent_excitation_dense",96,47476
"standard",97,1533
"parent_excitation_sparse",97,10851
