"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias","mean_contraction"
"parent_excitation_dense","one_step_gamma_poisson","growth",300,0.756666666666667,-0.0225056779657186,0.0583841320252779,0.0478523712027515,1.29367359883079,0.982356412875186
"parent_excitation_sparse","one_step_gamma_poisson","growth",300,0.94,-0.0178886726725559,0.102670551031945,0.0966769624126974,0.840062232658728,0.964696290868469
"standard","one_step_gamma_poisson","growth",294,0.663265306122449,0.161526031518591,0.710642705409036,0.611232707261445,1.88238621551286,0.812263403679126
"parent_excitation_dense","recursive_gamma_poisson","growth",300,0.653333333333333,-0.02211498559644,0.0580050408669666,0.0398176737287888,1.55979128505404,0.985356524587587
"parent_excitation_sparse","recursive_gamma_poisson","growth",300,0.846666666666667,-0.0182981182958524,0.0977826205584438,0.0785688893651583,1.09353368111973,0.971036256426386
"standard","recursive_gamma_poisson","growth",294,0.80952380952381,0.0130963937419322,0.608421550080019,0.450548488852194,1.39718149425926,0.839742462450488
"parent_excitation_dense","one_step_gamma_poisson","process",100,NA,NA,NA,0.578880776546207,NA,0.710559611726896
"parent_excitation_sparse","one_step_gamma_poisson","process",100,NA,NA,NA,0.526708223052424,NA,0.736645888473788
"standard","one_step_gamma_poisson","process",98,NA,NA,NA,0.613326858584015,NA,0.693336570707992
"parent_excitation_dense","recursive_gamma_poisson","process",100,NA,NA,NA,0.541637538186904,NA,0.729181230906548
"parent_excitation_sparse","recursive_gamma_poisson","process",100,NA,NA,NA,0.623348540853122,NA,0.688325729573439
"standard","recursive_gamma_poisson","process",98,NA,NA,NA,0.795782183352443,NA,0.602108908323778
"parent_excitation_dense","one_step_gamma_poisson","recruit_size",300,0.973333333333333,-0.00356583099058446,0.0687062029974606,0.054855227977601,0.771340314355564,0.985814114262086
"parent_excitation_sparse","one_step_gamma_poisson","recruit_size",300,0.966666666666667,-0.00560725819838983,0.13233308025241,0.113634206263224,0.731430692737721,0.970446284082581
"standard","one_step_gamma_poisson","recruit_size",294,0.914965986394558,0.00889908789155658,0.669878497567249,0.526508548619835,0.946810834637688,0.827857267416185
"parent_excitation_dense","recursive_gamma_poisson","recruit_size",300,0.963333333333333,-0.00277822023682485,0.0710404015342211,0.0557338524037254,0.779592401712473,0.985533006957128
"parent_excitation_sparse","recursive_gamma_poisson","recruit_size",300,0.976666666666667,-0.00763357833035678,0.128406681417125,0.110877825651952,0.727322117218237,0.971274459950038
"standard","recursive_gamma_poisson","recruit_size",294,0.928571428571429,0.0299875815854287,0.638422923303495,0.561001320364484,0.836607222218992,0.830056259402162
"parent_excitation_dense","one_step_gamma_poisson","recruitment",200,0.67,-0.00294076511219186,0.0425420536527496,0.0222611326491992,1.53934706571168,0.983046490673113
"parent_excitation_sparse","one_step_gamma_poisson","recruitment",200,0.79,6.75144261594382e-05,0.0719300601792842,0.046029741430723,1.23839199613575,0.964880545211814
"standard","one_step_gamma_poisson","recruitment",196,0.36734693877551,-0.0336123086338998,0.702267091928636,0.23378526579091,2.7329058030644,0.810612827719438
"parent_excitation_dense","recursive_gamma_poisson","recruitment",200,0.68,-0.00268999194602985,0.0425890683194937,0.0208299254753257,1.62396405947653,0.984150422666862
"parent_excitation_sparse","recursive_gamma_poisson","recruitment",200,0.675,0.000924281296769822,0.0839096035405442,0.0408803211292426,1.65549776166435,0.9689092283203
"standard","recursive_gamma_poisson","recruitment",196,0.479591836734694,-0.0648282076808159,0.70366725646513,0.228844335608231,2.62101043739325,0.816485761960316
"parent_excitation_dense","one_step_gamma_poisson","survival",200,1,0.0033259158885064,0.0204665196751424,0.0353434933478699,0.443432923611607,0.971792232106609
"parent_excitation_sparse","one_step_gamma_poisson","survival",200,0.99,-0.00472085109015527,0.0594688176613547,0.0713062062791933,0.682542166716036,0.943080174371852
"standard","one_step_gamma_poisson","survival",196,0.969387755102041,-0.0314935695723391,0.126274796733263,0.150672264124255,0.702471632044472,0.878295955646528
"parent_excitation_dense","recursive_gamma_poisson","survival",200,0.965,0.00518906752242275,0.0217854684546783,0.0242096812377117,0.719266291220924,0.980593968629264
"parent_excitation_sparse","recursive_gamma_poisson","survival",200,0.92,0.000208649936061599,0.0521270374079485,0.0476175948086088,0.8324316163155,0.961852617404555
"standard","recursive_gamma_poisson","survival",196,0.928571428571429,0.0136635433257695,0.0920666605206692,0.0887454813546581,0.829047432885681,0.927686963080837
