"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias","prior_sd","contraction","scenario","replicate","method","group"
"survival_at_80",0.36,0.356518650452645,0.132063919485705,0.0903250643619555,0.356836957486236,0.606765148790814,TRUE,-0.0263610951493238,1.5,0.91195738700953,"standard",1,"recursive_gamma_poisson","survival"
"survival_slope_20",0.64,0.673907602385145,0.0840638170282508,0.508624562378097,0.676245225046063,0.838836124353433,TRUE,0.403355493288507,1,0.915936182971749,"standard",1,"recursive_gamma_poisson","survival"
"growth_increment_80",8.4,8.30263702773952,1.17743137111345,6.05762651701053,8.37783271714931,10.4706616655719,TRUE,-0.0826909955426147,6,0.803761438147758,"standard",1,"recursive_gamma_poisson","growth"
"growth_slope_20",-2.4,-2.79664089284693,0.444017205600605,-3.58652677802564,-2.8040535204973,-1.98088497521042,TRUE,-0.893300727638273,3,0.851994264799798,"standard",1,"recursive_gamma_poisson","growth"
"log_growth_sd",1.50407739677627,1.83783338282806,0.135627550454493,1.59388103341427,1.83167620403213,2.10105671507114,FALSE,2.4608273535381,0.7,0.806246356493582,"standard",1,"recursive_gamma_poisson","growth"
"log_recruitment_at_80",-1.69314718055995,-0.852219228301651,0.185235343873087,-1.23026366525487,-0.85346028785396,-0.505993180521423,FALSE,4.53978131103562,1.5,0.876509770751276,"standard",1,"recursive_gamma_poisson","recruitment"
"recruitment_slope_20",1.5,0.954799845016644,0.158189283698369,0.642950251809493,0.961807749045582,1.27759854786588,FALSE,-3.44650498590617,1,0.841810716301631,"standard",1,"recursive_gamma_poisson","recruitment"
"recruit_mean_80",44.6,45.3902705601038,0.839426751291978,43.7758718778127,45.3836889432909,47.0475449927943,TRUE,0.941440761671556,10,0.916057324870802,"standard",1,"recursive_gamma_poisson","recruit_size"
"recruit_mean_slope_20",0.4,0.0533506077268277,0.691998681284249,-1.34238399954126,0.0926568251087769,1.33685914470259,TRUE,-0.500939382759865,2,0.654000659357875,"standard",1,"recursive_gamma_poisson","recruit_size"
"log_recruit_sd",1.25276296849537,1.32996762074006,0.0566593273909137,1.21727410380371,1.33137624870295,1.43663495897875,TRUE,1.36261152046561,0.7,0.919058103727266,"standard",1,"recursive_gamma_poisson","recruit_size"
"log_process_precision",NA,2.99341747084764,0.429043136711105,2.13754155625013,2.9793271246023,3.80372353041722,NA,NA,2,0.785478431644448,"standard",1,"recursive_gamma_poisson","process"
"survival_at_80",0.36,0.440415398159678,0.214599491405836,0.0208905789651598,0.434617182467118,0.873316456881305,TRUE,0.374723153502737,1.5,0.856933672396109,"standard",1,"one_step_gamma_poisson","survival"
"survival_slope_20",0.64,0.595802767637411,0.143563948884254,0.327356988461022,0.589539356190075,0.859413068446568,TRUE,-0.307857457990534,1,0.856436051115746,"standard",1,"one_step_gamma_poisson","survival"
"growth_increment_80",8.4,7.31634429342683,1.32566409923854,4.63126360767215,7.30308817785215,9.80251119489024,TRUE,-0.817443654991957,6,0.779055983460244,"standard",1,"one_step_gamma_poisson","growth"
"growth_slope_20",-2.4,-2.26932183223029,0.631158564182628,-3.45540669485247,-2.29524667515327,-0.975297941569428,TRUE,0.207044909449876,3,0.789613811939124,"standard",1,"one_step_gamma_poisson","growth"
"log_growth_sd",1.50407739677627,1.98912769967285,0.114092113848806,1.78204299108099,1.99290928584224,2.21417362947303,FALSE,4.25139202468773,0.7,0.837011265930277,"standard",1,"one_step_gamma_poisson","growth"
"log_recruitment_at_80",-1.69314718055995,-1.61666273309779,0.391283805667141,-2.34809834684408,-1.61569399291814,-0.870987157819736,TRUE,0.19547051616857,1.5,0.739144129555239,"standard",1,"one_step_gamma_poisson","recruitment"
"recruitment_slope_20",1.5,1.47212050372711,0.213485386894381,1.06804811462288,1.46500315374913,1.87279301835285,TRUE,-0.130592059149618,1,0.786514613105619,"standard",1,"one_step_gamma_poisson","recruitment"
"recruit_mean_80",44.6,44.910491719916,1.33480698200512,42.2315839233711,44.9220239015037,47.4131706429712,TRUE,0.232611698996077,10,0.866519301799488,"standard",1,"one_step_gamma_poisson","recruit_size"
"recruit_mean_slope_20",0.4,0.215970916243678,0.733750521391959,-1.09508908990105,0.18940257701096,1.67685523800353,TRUE,-0.250806068808251,2,0.633124739304021,"standard",1,"one_step_gamma_poisson","recruit_size"
"log_recruit_sd",1.25276296849537,1.29342733389388,0.0659232672140209,1.16594250834246,1.2907736508408,1.41445091915343,TRUE,0.616843902267307,0.7,0.90582390397997,"standard",1,"one_step_gamma_poisson","recruit_size"
"log_process_precision",NA,2.6179972689055,0.300652772093675,2.01889131592765,2.60725693063342,3.20314143530303,NA,NA,2,0.849673613953163,"standard",1,"one_step_gamma_poisson","process"
"survival_at_80",0.36,0.312040606894596,0.0558733571812189,0.199076029904477,0.315870295582713,0.416775036521418,TRUE,-0.85835889455958,1.5,0.962751095212521,"parent_excitation_sparse",1,"recursive_gamma_poisson","survival"
"survival_slope_20",0.64,0.685380521922756,0.0359354441729121,0.619656582163927,0.685580352924329,0.755414166892082,TRUE,1.26283459039483,1,0.964064555827088,"parent_excitation_sparse",1,"recursive_gamma_poisson","survival"
"growth_increment_80",8.4,8.41812221792197,0.143141307922355,8.14546790437274,8.42049832574213,8.68644898592582,TRUE,0.126603691030929,6,0.976143115346274,"parent_excitation_sparse",1,"recursive_gamma_poisson","growth"
"growth_slope_20",-2.4,-2.34636958839592,0.0702635075836832,-2.48257521070442,-2.34436501586025,-2.21049925750517,TRUE,0.763275467570565,3,0.976578830805439,"parent_excitation_sparse",1,"recursive_gamma_poisson","growth"
"log_growth_sd",1.50407739677627,1.49649909070502,0.0272499536859379,1.43927990463542,1.49682061256965,1.54879035765927,TRUE,-0.278103447755976,0.7,0.961071494734374,"parent_excitation_sparse",1,"recursive_gamma_poisson","growth"
"log_recruitment_at_80",-1.69314718055995,-1.75392571598422,0.0579854048154614,-1.86496614726934,-1.75455112428108,-1.65020854994478,TRUE,-1.04816954572797,1.5,0.961343063456359,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruitment"
"recruitment_slope_20",1.5,1.52993408995671,0.0220783200913777,1.48793601044365,1.52944011587267,1.57432804764321,TRUE,1.35581374999643,1,0.977921679908622,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruitment"
"recruit_mean_80",44.6,44.5872782362474,0.225160370260218,44.149607875578,44.5849919913319,44.9926543185851,TRUE,-0.0565009008376321,10,0.977483962973978,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruit_size"
"recruit_mean_slope_20",0.4,0.39637168081553,0.0832716552066504,0.241212486346945,0.391135273639828,0.557694516370818,TRUE,-0.0435720795445463,2,0.958364172396675,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruit_size"
"log_recruit_sd",1.25276296849537,1.25829725011262,0.0124580841840853,1.23554716647793,1.25835904118374,1.28122911239102,TRUE,0.444232157647583,0.7,0.982202736879878,"parent_excitation_sparse",1,"recursive_gamma_poisson","recruit_size"
"log_process_precision",NA,6.02600920942105,0.670172543596707,4.70964510773215,6.02833999968338,7.32258554045584,NA,NA,2,0.664913728201646,"parent_excitation_sparse",1,"recursive_gamma_poisson","process"
"survival_at_80",0.36,0.331018273119474,0.0821054273009915,0.166006874800232,0.329626106723463,0.48628660300803,TRUE,-0.352981865306928,1.5,0.945263048466006,"parent_excitation_sparse",1,"one_step_gamma_poisson","survival"
"survival_slope_20",0.64,0.683791358155442,0.0551120770308778,0.580778631556233,0.684979628216019,0.788593564132048,TRUE,0.79458733030342,1,0.944887922969122,"parent_excitation_sparse",1,"one_step_gamma_poisson","survival"
"growth_increment_80",8.4,8.38591720443001,0.174410607398828,8.06144613946142,8.38307999632022,8.73376815454139,TRUE,-0.0807450635028686,6,0.970931565433529,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
"growth_slope_20",-2.4,-2.29586153377976,0.0911005037527218,-2.47748319918837,-2.2932398525846,-2.1146518267523,TRUE,1.14311624997058,3,0.969633165415759,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
"log_growth_sd",1.50407739677627,1.50968454818588,0.0318260990117819,1.4454051881037,1.51172581285928,1.56885067661159,TRUE,0.176180920179201,0.7,0.954534144268883,"parent_excitation_sparse",1,"one_step_gamma_poisson","growth"
"log_recruitment_at_80",-1.69314718055995,-1.69141192910367,0.0648966751783262,-1.80784975290738,-1.69301203940027,-1.5602384322954,TRUE,0.0267386803947159,1.5,0.956735549881116,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruitment"
"recruitment_slope_20",1.5,1.50041379412075,0.0256493427832189,1.45090005678017,1.50072257092049,1.54693890629932,TRUE,0.0161327377565528,1,0.974350657216781,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruitment"
"recruit_mean_80",44.6,44.6218026322221,0.237677043500897,44.1557945724614,44.6225965216918,45.0983444449075,TRUE,0.0917321753120009,10,0.97623229564991,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruit_size"
"recruit_mean_slope_20",0.4,0.3815025972448,0.0926651450454864,0.187239838867983,0.378051154563555,0.556795381543585,TRUE,-0.199615537709678,2,0.953667427477257,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruit_size"
"log_recruit_sd",1.25276296849537,1.25726861145156,0.0135667510820712,1.2326637419847,1.25650992223187,1.28459655953761,TRUE,0.33210920794015,0.7,0.980618927025613,"parent_excitation_sparse",1,"one_step_gamma_poisson","recruit_size"
"log_process_precision",NA,5.35120931583251,0.476955158155756,4.40082442891713,5.35249029909442,6.27902477863144,NA,NA,2,0.761522420922122,"parent_excitation_sparse",1,"one_step_gamma_poisson","process"
"survival_at_80",0.36,0.366111006351646,0.0320885488936218,0.303365688142452,0.367026549277345,0.431243232865866,TRUE,0.19044196644433,1.5,0.978607634070919,"parent_excitation_dense",1,"recursive_gamma_poisson","survival"
"survival_slope_20",0.64,0.635553450966946,0.0223218610748725,0.591745105788015,0.63551624316071,0.678334747549372,TRUE,-0.199201536921094,1,0.977678138925128,"parent_excitation_dense",1,"recursive_gamma_poisson","survival"
