"scenario","populations","transitions","initial_n","profile_detection","initial_design","replicate","task_id"
"standard",3,4,500,0.25,"baseline",1,1
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",1,2
"parent_excitation_dense",8,2,500,1,"parent_excitation",1,3
"standard",3,4,500,0.25,"baseline",2,4
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",2,5
"parent_excitation_dense",8,2,500,1,"parent_excitation",2,6
"standard",3,4,500,0.25,"baseline",3,7
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",3,8
"parent_excitation_dense",8,2,500,1,"parent_excitation",3,9
"standard",3,4,500,0.25,"baseline",4,10
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",4,11
"parent_excitation_dense",8,2,500,1,"parent_excitation",4,12
"standard",3,4,500,0.25,"baseline",5,13
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",5,14
"parent_excitation_dense",8,2,500,1,"parent_excitation",5,15
"standard",3,4,500,0.25,"baseline",6,16
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",6,17
"parent_excitation_dense",8,2,500,1,"parent_excitation",6,18
"standard",3,4,500,0.25,"baseline",7,19
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",7,20
"parent_excitation_dense",8,2,500,1,"parent_excitation",7,21
"standard",3,4,500,0.25,"baseline",8,22
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",8,23
"parent_excitation_dense",8,2,500,1,"parent_excitation",8,24
"standard",3,4,500,0.25,"baseline",9,25
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",9,26
"parent_excitation_dense",8,2,500,1,"parent_excitation",9,27
"standard",3,4,500,0.25,"baseline",10,28
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",10,29
"parent_excitation_dense",8,2,500,1,"parent_excitation",10,30
"standard",3,4,500,0.25,"baseline",11,31
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",11,32
"parent_excitation_dense",8,2,500,1,"parent_excitation",11,33
"standard",3,4,500,0.25,"baseline",12,34
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",12,35
"parent_excitation_dense",8,2,500,1,"parent_excitation",12,36
"standard",3,4,500,0.25,"baseline",13,37
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",13,38
"parent_excitation_dense",8,2,500,1,"parent_excitation",13,39
"standard",3,4,500,0.25,"baseline",14,40
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",14,41
"parent_excitation_dense",8,2,500,1,"parent_excitation",14,42
"standard",3,4,500,0.25,"baseline",15,43
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",15,44
"parent_excitation_dense",8,2,500,1,"parent_excitation",15,45
"standard",3,4,500,0.25,"baseline",16,46
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",16,47
"parent_excitation_dense",8,2,500,1,"parent_excitation",16,48
"standard",3,4,500,0.25,"baseline",17,49
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",17,50
"parent_excitation_dense",8,2,500,1,"parent_excitation",17,51
"standard",3,4,500,0.25,"baseline",18,52
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",18,53
"parent_excitation_dense",8,2,500,1,"parent_excitation",18,54
"standard",3,4,500,0.25,"baseline",19,55
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",19,56
"parent_excitation_dense",8,2,500,1,"parent_excitation",19,57
"standard",3,4,500,0.25,"baseline",20,58
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",20,59
"parent_excitation_dense",8,2,500,1,"parent_excitation",20,60
"standard",3,4,500,0.25,"baseline",21,61
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",21,62
"parent_excitation_dense",8,2,500,1,"parent_excitation",21,63
"standard",3,4,500,0.25,"baseline",22,64
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",22,65
"parent_excitation_dense",8,2,500,1,"parent_excitation",22,66
"standard",3,4,500,0.25,"baseline",23,67
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",23,68
"parent_excitation_dense",8,2,500,1,"parent_excitation",23,69
"standard",3,4,500,0.25,"baseline",24,70
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",24,71
"parent_excitation_dense",8,2,500,1,"parent_excitation",24,72
"standard",3,4,500,0.25,"baseline",25,73
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",25,74
"parent_excitation_dense",8,2,500,1,"parent_excitation",25,75
"standard",3,4,500,0.25,"baseline",26,76
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",26,77
"parent_excitation_dense",8,2,500,1,"parent_excitation",26,78
"standard",3,4,500,0.25,"baseline",27,79
"parent_excitation_sparse",8,2,500,0.25,"parent_excitation",27,80
"parent_excitation_dense",8,2,500,1,"parent_excitation",27,81
"standard",3,4,500,0.25,"baseline",28,82
