"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"dense_profiles","one_step_gamma_poisson","growth",40,1,0.21989572789922,0.445417161659023,0.569128108519264,0.584690945764767
"rich_design","one_step_gamma_poisson","growth",40,0.5,-0.516088960865678,2.10880590815017,0.480859223537138,Inf
"standard","one_step_gamma_poisson","growth",36,0.722222222222222,0.288642803103277,1.57244668186832,1.14486816951117,1.45972585859852
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","growth",40,1,0.209453317328804,0.449730319573759,0.580368566110827,0.589914357385643
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","growth",40,0.475,-0.297104761276506,1.39993043643041,0.549778370205481,2.36793767637649
"standard","one_step_gamma_poisson_fixed_recruitment_slope","growth",40,0.675,-0.156024313313801,1.99846243040044,1.32614422755321,1.45271296939664
"dense_profiles","one_step_gamma_poisson_shape_informed","growth",40,0.975,0.20663205893231,0.4401153311567,0.566493236031841,0.596305062134677
"rich_design","one_step_gamma_poisson_shape_informed","growth",40,0.55,-0.235872198808609,1.32004497142663,0.538158864695166,2.23450294942747
"standard","one_step_gamma_poisson_shape_informed","growth",40,0.75,0.0171544217083256,1.83021503888203,1.26274108525056,1.35453218312127
"dense_profiles","one_step_shared_gamma_poisson","growth",40,0.95,0.196529098766496,0.431913814010669,0.549878917333159,0.620194414219337
"rich_design","one_step_shared_gamma_poisson","growth",40,0.375,-0.35998570426278,1.43947979714012,0.480465882030232,2.82088493242979
"standard","one_step_shared_gamma_poisson","growth",40,0.625,0.0174486092906262,1.75577501003731,1.03909197079665,2.06415748994718
"dense_profiles","recursive_gamma_poisson","growth",40,0.975,0.210097007250751,0.448712454691294,0.474973553002852,0.703065848043691
"rich_design","recursive_gamma_poisson","growth",40,0.95,0.0204668763629247,0.389119170782656,0.342327220175621,0.898275719213344
"standard","recursive_gamma_poisson","growth",36,0.777777777777778,0.136212490875765,1.15863444772674,0.819129878570082,2.79323076894299
"dense_profiles","one_step_gamma_poisson","lambda",10,1,0.000194147204910289,0.0162723740683824,0.0286068986249074,0.524152115757743
"rich_design","one_step_gamma_poisson","lambda",10,0.9,-0.0143316009663948,0.021710321349993,0.0229845656093012,0.919268760524484
"standard","one_step_gamma_poisson","lambda",9,1,-0.00668789348640582,0.0242212650849699,0.0593256893499118,0.280210100688144
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","lambda",10,1,0.00615450013901153,0.0122305362131051,0.0288970056055683,0.322038131970023
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","lambda",10,1,-0.00381546237778732,0.0112688298710231,0.0253283520329203,0.395667030336873
"standard","one_step_gamma_poisson_fixed_recruitment_slope","lambda",10,1,-0.00513331032584911,0.0272817760318898,0.0555510324420845,0.378561952071565
"dense_profiles","one_step_gamma_poisson_shape_informed","lambda",10,1,0.00117174394105113,0.0158326615644937,0.0282487172948836,0.508395140164855
"rich_design","one_step_gamma_poisson_shape_informed","lambda",10,1,-0.00994609926776802,0.0119254738100254,0.0238820779749091,0.466091142005681
"standard","one_step_gamma_poisson_shape_informed","lambda",10,1,-0.0140617877779485,0.0298359832782498,0.0547283633779213,0.375144575416213
"dense_profiles","one_step_shared_gamma_poisson","lambda",10,1,0.00168344293393545,0.0172464492431804,0.0324458852450654,0.472567388922664
"rich_design","one_step_shared_gamma_poisson","lambda",10,1,-0.00957471958101197,0.0148386032394921,0.029980645243922,0.442474511518926
"standard","one_step_shared_gamma_poisson","lambda",10,1,-0.0109230151952843,0.031157994384689,0.0662316247314835,0.335835157071115
