"scenario","method","quantity","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias"
"dense_profiles","one_step_gamma_poisson","growth_increment_110",10,1,0.107938840747267,0.428578553877972,0.609671618057655,0.623883434214149
"rich_design","one_step_gamma_poisson","growth_increment_110",10,0.8,-0.738868106382148,1.56379994890282,0.458118197434737,Inf
"standard","one_step_gamma_poisson","growth_increment_110",9,0.888888888888889,-0.146291550288314,0.868681607175365,1.21514847792644,1.06836771294453
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","growth_increment_110",10,1,0.105991074778074,0.437655066644042,0.615036044173166,0.614430007083673
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","growth_increment_110",10,0.9,-0.453787343700169,0.580629331156951,0.560157914188865,0.888203884826934
"standard","one_step_gamma_poisson_fixed_recruitment_slope","growth_increment_110",10,1,-0.533630946730426,1.09579262420337,1.41714353820555,0.73431933750706
"dense_profiles","one_step_gamma_poisson_shape_informed","growth_increment_110",10,1,0.097580460792979,0.444723840610059,0.606615439690323,0.652288844040124
"rich_design","one_step_gamma_poisson_shape_informed","growth_increment_110",10,0.9,-0.396240818383456,0.546531582855747,0.525847882537291,0.881477180620135
"standard","one_step_gamma_poisson_shape_informed","growth_increment_110",10,1,-0.426195729847445,1.0491416871817,1.35891816967011,0.725632067221806
"dense_profiles","one_step_shared_gamma_poisson","growth_increment_110",10,1,0.084448772846007,0.396731137444449,0.601014454953547,0.59622402324099
"rich_design","one_step_shared_gamma_poisson","growth_increment_110",10,0.8,-0.479550002598985,0.634603428955849,0.499133271483651,1.2207000499616
"standard","one_step_shared_gamma_poisson","growth_increment_110",10,0.8,-0.40003665396379,1.03367472999923,1.1053391060995,1.9779452946668
"dense_profiles","recursive_gamma_poisson","growth_increment_110",10,1,0.0416787881304041,0.267860448275744,0.364259621379116,0.558586498153741
"rich_design","recursive_gamma_poisson","growth_increment_110",10,0.9,-0.0267394060184769,0.284126618807729,0.243463673823309,1.06094497751794
"standard","recursive_gamma_poisson","growth_increment_110",9,0.666666666666667,-0.32548588516549,1.08016568540833,0.623553197738914,4.46015300859027
"dense_profiles","one_step_gamma_poisson","growth_increment_50",10,1,0.291465640384622,0.49870468416415,0.638625747362379,0.542298111917967
"rich_design","one_step_gamma_poisson","growth_increment_50",10,0.5,-1.59819908367832,2.01292826982859,0.617854824177209,2.83819687419034
"standard","one_step_gamma_poisson","growth_increment_50",9,0.888888888888889,-0.739203531857276,1.16564263438311,1.37548583969613,0.920064991431102
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","growth_increment_50",10,1,0.233855606003721,0.502489782948912,0.654671101293201,0.570176928107646
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","growth_increment_50",10,0.3,-1.53398993929121,1.67787836757654,0.692546107413256,2.20129550777054
"standard","one_step_gamma_poisson_fixed_recruitment_slope","growth_increment_50",10,0.8,-1.7235685223048,2.07952966700277,1.66024192049645,1.1053681453303
"dense_profiles","one_step_gamma_poisson_shape_informed","growth_increment_50",10,0.9,0.273999975483636,0.478028374233818,0.630922085706275,0.53867423129621
"rich_design","one_step_gamma_poisson_shape_informed","growth_increment_50",10,0.5,-1.38150573655123,1.5459693353526,0.693052087318627,2.00165008252992
"standard","one_step_gamma_poisson_shape_informed","growth_increment_50",10,0.9,-1.28463544571995,1.7148786493859,1.56609163643141,0.850036739125559
"dense_profiles","one_step_shared_gamma_poisson","growth_increment_50",10,0.9,0.232425222986241,0.450537608486064,0.605678725641854,0.639418004769252
"rich_design","one_step_shared_gamma_poisson","growth_increment_50",10,0.2,-1.62013149817042,1.80660742815228,0.587086038667669,2.89359616504169
"standard","one_step_shared_gamma_poisson","growth_increment_50",10,0.7,-1.22252799852011,1.65773157378643,1.2288983400564,1.52550940158078
"dense_profiles","recursive_gamma_poisson","growth_increment_50",10,1,0.391816676000334,0.516901772065882,0.610556657615977,0.805643936866786
"rich_design","recursive_gamma_poisson","growth_increment_50",10,1,-0.0597598097445072,0.408201137461018,0.454725769850259,0.768411784998728
"standard","recursive_gamma_poisson","growth_increment_50",9,0.888888888888889,-0.0374489557070843,1.18007239227457,1.09893412092371,1.99104203970121
"dense_profiles","one_step_gamma_poisson","growth_increment_80",10,1,0.199702240565944,0.375690394654142,0.511008398615551,0.511405766473857
"rich_design","one_step_gamma_poisson","growth_increment_80",10,0.6,-1.52244741022074,2.76861347765165,0.447130657466616,6.52491491292315
"standard","one_step_gamma_poisson","growth_increment_80",9,0.888888888888889,-0.442871486874471,0.867489359744459,1.06417814574433,1.03014516357043
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","growth_increment_80",10,1,0.169923340390894,0.391835995154353,0.52285632437639,0.508736297547816
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","growth_increment_80",10,0.6,-0.993888641495689,1.10278737149217,0.533990616043226,1.88095143647932
"standard","one_step_gamma_poisson_fixed_recruitment_slope","growth_increment_80",10,0.8,-1.13052221756254,1.5126879771445,1.25795005456309,0.993125832521974
"dense_profiles","one_step_gamma_poisson_shape_informed","growth_increment_80",10,1,0.185790218138311,0.37941405421209,0.50753092250133,0.547051242754031
"rich_design","one_step_gamma_poisson_shape_informed","growth_increment_80",10,0.7,-0.888873277467342,1.01930309111844,0.523838600210183,1.73095060652481
"standard","one_step_gamma_poisson_shape_informed","growth_increment_80",10,0.9,-0.856500020695348,1.31449809957129,1.18005090764345,0.922199306531078
"dense_profiles","one_step_shared_gamma_poisson","growth_increment_80",10,1,0.158436997916123,0.330050986602959,0.49293085071843,0.495024407341471
"rich_design","one_step_shared_gamma_poisson","growth_increment_80",10,0.4,-1.0498407503847,1.19393827813004,0.458608046980615,2.52493262122814
"standard","one_step_shared_gamma_poisson","growth_increment_80",10,0.8,-0.81166171739489,1.24930908458609,0.947334831395407,1.76038871550366
"dense_profiles","recursive_gamma_poisson","growth_increment_80",10,1,0.216747732065368,0.280855667278197,0.426326467442171,0.603280811167248
"rich_design","recursive_gamma_poisson","growth_increment_80",10,1,-0.0432496078814867,0.321317672688375,0.312723371216923,0.928705178948283
"standard","recursive_gamma_poisson","growth_increment_80",9,0.777777777777778,-0.181467420436289,1.05528063554692,0.752710741438571,3.30220582317873
"dense_profiles","one_step_gamma_poisson","growth_sd.log_growth_sd",10,1,0.280476189899047,0.469101886709848,0.517206670041472,0.661176470453097
"rich_design","one_step_gamma_poisson","growth_sd.log_growth_sd",10,0.1,1.7951587568185,1.90412141017801,0.40033321506999,4.61125180697453
"standard","one_step_gamma_poisson","growth_sd.log_growth_sd",9,0.222222222222222,2.48293778143317,2.65037468941063,0.924660214677786,2.82032556644802
"dense_profiles","one_step_gamma_poisson_fixed_recruitment_slope","growth_sd.log_growth_sd",10,1,0.328043248142528,0.459843511370786,0.52891079460055,0.666314196803436
"rich_design","one_step_gamma_poisson_fixed_recruitment_slope","growth_sd.log_growth_sd",10,0.1,1.79324687938104,1.86297468691156,0.412418843176576,4.50129987642918
"standard","one_step_gamma_poisson_fixed_recruitment_slope","growth_sd.log_growth_sd",10,0.1,2.76362443334257,2.85691762490406,0.96924139694776,2.97803856222723
"dense_profiles","one_step_gamma_poisson_shape_informed","growth_sd.log_growth_sd",10,1,0.269157581314315,0.452283731039979,0.520904496229435,0.647205930448342
"rich_design","one_step_gamma_poisson_shape_informed","growth_sd.log_growth_sd",10,0.1,1.7231310371676,1.80066047823622,0.409896888714564,4.32393392803502
"standard","one_step_gamma_poisson_shape_informed","growth_sd.log_growth_sd",10,0.2,2.63594888309604,2.76212527567473,0.945903627257267,2.92026061960662
"dense_profiles","one_step_shared_gamma_poisson","growth_sd.log_growth_sd",10,0.9,0.310805401317611,0.526198427493923,0.499891638018805,0.750111221525636
"rich_design","one_step_shared_gamma_poisson","growth_sd.log_growth_sd",10,0.1,1.70957943410298,1.78783886914247,0.377036170988992,4.64431089348772
"standard","one_step_shared_gamma_poisson","growth_sd.log_growth_sd",10,0.2,2.5040208070413,2.63697799317502,0.874795605635285,2.99278654803748
"dense_profiles","recursive_gamma_poisson","growth_sd.log_growth_sd",10,0.9,0.190144832806899,0.62253907541835,0.498751465574144,0.844752145986989
"rich_design","recursive_gamma_poisson","growth_sd.log_growth_sd",10,0.9,0.21161632909617,0.505028479752253,0.358396065811993,0.83504093538843
"standard","recursive_gamma_poisson","growth_sd.log_growth_sd",9,0.777777777777778,1.08925222481192,1.30260859629193,0.801321454179131,1.41952220430176
"dense_profiles","one_step_gamma_poisson","lambda",10,1,0.000194147204910289,0.0162723740683824,0.0286068986249074,0.524152115757743
"rich_design","one_step_gamma_poisson","lambda",10,0.9,-0.0143316009663948,0.021710321349993,0.0229845656093012,0.919268760524484
