"scenario","replicate","method","success","error","positive_definite","condition_number"
"standard",1,"recursive_gamma_poisson",TRUE,"",TRUE,2063.06369880208
"standard",1,"one_step_gamma_poisson",TRUE,"",TRUE,2013.0723692134
"standard",1,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1947.992866962
"standard",1,"one_step_gamma_poisson_shape_informed",TRUE,"",TRUE,2086.63861442721
"standard",1,"one_step_gamma_poisson_fixed_recruitment_slope",TRUE,"",TRUE,852.661068787544
"dense_profiles",1,"recursive_gamma_poisson",TRUE,"",TRUE,4474.6432614119
"dense_profiles",1,"one_step_gamma_poisson",TRUE,"",TRUE,5278.21298254945
"dense_profiles",1,"one_step_shared_gamma_poisson",TRUE,"",TRUE,3410.57889779401
"dense_profiles",1,"one_step_gamma_poisson_shape_informed",TRUE,"",TRUE,5229.21989492315
"dense_profiles",1,"one_step_gamma_poisson_fixed_recruitment_slope",TRUE,"",TRUE,1339.38833779698
"rich_design",1,"recursive_gamma_poisson",TRUE,"",TRUE,7415.6515546743
"rich_design",1,"one_step_gamma_poisson",TRUE,"",TRUE,2407.44414707502
"rich_design",1,"one_step_shared_gamma_poisson",TRUE,"",TRUE,2246.38033376658
"rich_design",1,"one_step_gamma_poisson_shape_informed",TRUE,"",TRUE,2473.9381665483
"rich_design",1,"one_step_gamma_poisson_fixed_recruitment_slope",TRUE,"",TRUE,860.299769047063
"standard",2,"recursive_gamma_poisson",TRUE,"",TRUE,4392.29267558114
"standard",2,"one_step_gamma_poisson",TRUE,"",TRUE,1946.8726021219
"standard",2,"one_step_shared_gamma_poisson",TRUE,"",TRUE,1588.33996319978
"standard",2,"one_step_gamma_poisson_shape_informed",TRUE,"",TRUE,2081.42356888354
"standard",2,"one_step_gamma_poisson_fixed_recruitment_slope",TRUE,"",TRUE,625.945234115433
"dense_profiles",2,"recursive_gamma_poisson",TRUE,"",TRUE,8891.2882126973
"dense_profiles",2,"one_step_gamma_poisson",TRUE,"",TRUE,7495.70002395182
"dense_profiles",2,"one_step_shared_gamma_poisson",TRUE,"",TRUE,7338.43477950488
"dense_profiles",2,"one_step_gamma_poisson_shape_informed",TRUE,"",TRUE,7584.77123297566
"dense_profiles",2,"one_step_gamma_poisson_fixed_recruitment_slope",TRUE,"",TRUE,2196.65770761599
"rich_design",2,"recursive_gamma_poisson",TRUE,"",TRUE,6801.53603066169
"rich_design",2,"one_step_gamma_poisson",TRUE,"",TRUE,36646.4422864988
"rich_design",2,"one_step_shared_gamma_poisson",TRUE,"",TRUE,2606.94713019353
