"scenario","replicate","total_profile_counts"
"standard",1,1444
"dense_profiles",1,5644
"rich_design",1,8817
"standard",2,1409
"dense_profiles",2,6049
"rich_design",2,9074
"standard",3,1587
"dense_profiles",3,7176
"rich_design",3,9033
"standard",4,1702
"dense_profiles",4,5653
"rich_design",4,8154
"standard",5,1419
"dense_profiles",5,6187
"rich_design",5,7679
"standard",6,1457
"dense_profiles",6,5947
"rich_design",6,9415
"standard",7,1444
"dense_profiles",7,6069
"rich_design",7,8502
"standard",8,1304
"dense_profiles",8,5506
"rich_design",8,8811
"standard",9,1410
"dense_profiles",9,5833
"rich_design",9,8628
"standard",10,1447
"dense_profiles",10,5931
"rich_design",10,8386
